,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,빠사삭튀김포차,서울시 관악구 신림동 1537-13,4.5,148751.0,61.0,"[['맛있다', '\n          가고싶다.\n        '], ['맛있다', '\n          맛있네요\n        '], ['맛있다', '\n          수능을 한번 더 봐야하나..싶은 맛예전에 실기 보러 선배집에서 몇번 녹두거리에서 신세진 적은 있었는데..아무튼 ""이게 왜 이렇게 맛있지?""를 연발했다.사장님만의 철학도 분명 있으셨다. 이건 이렇게, 저건 저렇게, 여기서 저기로, 처음엔 여기서 끝엔 저걸로. 이가격에 정말 말도 안되는 퀄리티다. 술을 좀 마시다보니 나중에 정확한 맛을 느끼기는 어려웠지만, 말이 안됐다!이 가격에, 이 퀄리티에, 이 서비스라니.녹두거리.. 살고싶다..\n        '], ['맛있다', '\n          자주가는집인데 너무 맛나요사장님도 친절하시고 가격도 저렴하고 무엇보다 튀김이 너무 맛이 좋습니다..또 갈께요\n        '], ['맛있다', '\n          ㅎㅎ\n        ']]","[['1인 세트', '6,500원'], ['빠사삭 A', '15,500원'], ['빠사삭 B', '15,500원']]","
기타 한식
",만원 미만,17:00 - 01:00,월,관악구
1,박승광최강해물손칼국수,경기도 김포시 장기동 157-2,3.9,47128.0,40.0,"[['별로', '\n          왜 인기가 있는지 모르겠는 집육수는 먹었을때 너무 밍숭맹숭하고 맛자체가 미묘하게 다 부족했던 집\n        '], ['맛있다', '\n          너무 맛있었습니다!1. 일단 깔끔한 국물이 너무 시원합니다 (맑은탕기준)2. 그리고 양도 엄청나게 많네요.3. 마지막으로 꼭 시켜야할 해물파전, 바삭하니 식감도 끝내줍니다. 나중에 술한잔 하고 싶기도 해요.\n        '], ['괜찮다', '\n          김포에 이사온 지 얼마되지 않았을 때부터 자주 갔던 곳인데 특히 맑은 국물은 아이들이 잘 먹어서 더 자주 갔던 것 같아요.늘 낙지를 추가해서 먹었구요, 보리새우로 국물내서 시원하고 맛있어요^^\n        '], ['맛있다', '\n          오늘은 빨간색 버전 먹으러 왔습니다. 신라면도 못 먹는 맵찔이 기준으로 말씀드립니다. 맵찔이도 먹을 수 있어요. 1인분 12000 칼국수 포함 가격입니다. 평일 5시에 왔더니 역시 사람이 별로 없군요하지만 먹다 보니 점점 사람이 오고 평일에도 가게 반은 다 찹니다. 날이 춥다보니 많이 오시네요. 해물은 그날 상황에 따라 달라집니다. 여전히 푸짐해요. 빨간 버전 국물이라 얼큰함과 매콤함이 추가되었고기본적인건 비슷합니다. 오늘따라 칼국수 면이 더 쫄깃하네요. 평일에 가면 더 그런건가요? 그렇다면 평일 방문을 추천해요\n        '], ['별로', '\n          맛없다..너무실망..국물도맛없고 면은쫄깃하다\n        ']]","[['해물칼국수', '12,000원'], ['해물파전', '13,000원'], ['보쌈한판', '12,000원'], ['새우튀김 (4마리)', '8,000원'], ['돈까스', '8,000원']]","
국수 / 면 요리
",만원 미만,11:00 - 21:30,없음,김포시
2,"보타보타 (휴업중)
                                    (마리나베이스타점)",경기도 김포시 고촌읍 전호리 641 MK빌딩 1F,4.0,32432.0,21.0,"[['맛있다', '\n          음식들 맛있어요! 매장도 넓고 큼직하고 좋아요다만 가격이 좀 쎄지만…. 그래도 서비스 매장 음식 종합적으로 추천하는 곳입니다 :)\n        '], ['괜찮다', '\n          큰창으로 보이는 풍경이 좋아요. 보통은 아침에 빵과 커피를 먹으러 갔었는데요. 처음으로 브런치 시간에 갔습니다.   생모짜렐라 포모도르 파스타와 연어 샐러드 스칼렙 알리오올리오 파스타, 버섯피자. 화이트와인 곁들임으로 먹었는데요. 무난한 맛과 적당한 양 풍부한 색감과 향이 좋아요. 4가지중 저는 버섯피자 추천! 포모도르 파스타 2번째 추천 합니다. 무난한 맛! 좋은 뷰. 자리도 넓직하여 가족들과 가기도 좋은 식당입니다. 오랜만에 갔더니 로봇이 서빙을 하네요. 지하주차장은 사용 안되고 좀 떨어진 곳에 주차해야 합니다. \n        '], ['맛있다', '\n          너무나 애정하는 식당! 창이 굉장히 커고 채광이 좋아서 사진이 잘나오는 곳ㅋㅋㅋ 뷰맛집이라 사실 맛에대해 큰 기대를 안햇는데... 음식이 생각보다 너무 맛있어서 좋은 의미로 깜짝 놀랐다. 제일 좋아하는 메뉴는 페퍼로니 피자.. 피자가 너무 맛있는 곳ㅜ.ㅜ 그리고 파스타 리조또 메뉴도 거의 다 한번씩 먹어본것같은데 뭘 골라도 평타이상 하는곳! 이 주변 갈때는 여기서 식사하는게 고정스케줄..\n        '], ['맛있다', '\n          샐러드와 함께 먹었던 빵도 괜찮은 편. 점심시간 쯤 소음은 제법 동반되지만 보트 정박장을 바라보며 광합성하기에 너무 좋다. 규모는 큰데 테이블 배치가 애매해서 테이블 사이 지나다니기가 불편하고, 주차안내 시스템은 보완이 필요해보인다. \n        '], ['괜찮다', '\n          맛있다. 하지만 양에 비해 비싸다.\n        ']]","[['킹프라운 크림파스타', '21,000원'], ['스칼랍 알리오올리오', '20,000원'], ['페퍼로니피자', '18,000원'], ['트러플버섯 크림파스타', '17,000원'], ['리코타치즈샐러드피자', '20,000원']]","
이탈리안
",만원-2만원,10:00 - 24:00,화,김포시
3,강원막국수,경기도 김포시 고촌읍 전호리 3-12,3.9,7185.0,11.0,"[['맛있다', '\n          요즘 날씨가 덥다 보니까 따뜻한 음식들 보다는, 시원한 먹거리가 더 좋아지는듯해요그래서, 차가운 면 요리가 전보다 더 좋아지고 있는데요예전에 아빠도 먹으러 다녀오셨었는데 맛있게 드셨다는 아빠 친구들이 추천의 말 듣고 강원 막국수 다녀왔어요제가 갔던 일요일 저녁에는 따로 웨이팅 할 필요는 없었어요혹여나 대기하시는 분들을 위해서 대기석 마련이 되어 있었었고요간이 너무 세지도 않고 적당해서 딱, 여름에 먹기 좋은 맛이었어요온육수가 특히 맛있길래 두번 먹었구요곱배기로 먹었는데 이날은 유독 맛있어서 많이 먹게 되드라구요! 비빔이랑, 물 두가지 다 맛있었어요\n        '], ['맛있다', '\n          맛잇네요ㅠ 비빔막숙수가 제일 맛있어요!!! 웨이팅 많다고해서 걱정했는데 주말 저녁인데 사람 별로 없엇어요 들어가면서 보니 점심때 웨이팅 엄청 한듯?? 비빔막국수,물막국수,메밀전,전병 시켯는데 메밀전이랑 비빔막국수 너무 맛있고 물막국수랑 전병은 별로였어요ㅠㅋㅋ 근데 비빔국수가 뭔가 자극적이지 않으면서도 착착 감겨서 이거 먹으러 무조건 또 올듯멀리서 찾아올만한데는 아니지만 가깝다면 자주 갈만한곳!!!!!\n        '], ['괜찮다', '\n          비빔막국수는 맛있게 먹었습니다.하지만 어린이 막구수는 좀 심심한 느낌이였어요하지만 이런맛으로 먹는거도 있기에 개인취향일수 있습니다.강원모듬세트는 여러가지를 맛보는 장점이 있지만 음식 상태가 좋지는 않네요친절도는 주문 받는분이 너무 불친절합니다.주문을 하는데 대답은 커녕 손짓으로 주문하라고 하고 음식서빙도 던지듯이 하는 느낌을 받았습니다.\n        '], ['괜찮다', '\n          언제 방문해도 사람은 꾸준히 있는 것 같아요. 그래도 회전율 때문에 크게 고민되지 않는 웨이팅 정도.지난 번에 비빔을 먹어서 이번엔 물막으로 주문. 물막에도 다데기가 꽤 많이 올려져 있는 편인데 이 집은 비빔 + 물인데 비율 차이로 내어주시는 것 같아요. 그래도 육수 간이 있다 보니 다데기 맛이 강하게 나지는 않았던 것 같아요. 육수만 호로록 먹기 시원하긴 했는데 다소 짭짤한 느낌도 있었던 것 같아요. 맛이 없지는 않은데 물막국수라고 하기엔 뭔가 어색한 느낌. 그냥 시원한 맛으로 먹기엔 나쁘지 않은데 맛있다는 생각이 들진 않았어요.사이드로 시킨 만두는 시장 왕만두 스타일. 적당히 촉촉한 피와 알차게 들어있는 소가 나쁘지 않았어요. 하나만 먹어도 배가 좀 차는 편이라 여럿이서 인원 수에 맞게 쉐어하는 게 좋을 것 같아요!개인적으로는 물보단 비빔이 나은 거 같고 인근에서는 먹을 데가 많지 않다보니 사람이 많은 거도 이해가 되는 집!\n        '], ['맛있다', '\n          주말에는 주차대란 일어날 정도로 인기 많은 집이에요. 인근에 거주하는 사람들도 없는 것 같은데 어떻게 알고 다들 찾아오시는지 신기할 따름. 항상 웨이팅이 있었는데 면종류라 회전율은 좋아서 그리 길지 않은 시간 안에 들어갈 수 있어요.물보단 비빔이 괜찮다는 평이 있어서 비빔을 시켜봤는데 물기도 살짝 있어서 물+비빔의 매력을 모두 느낄 수 있는 메뉴. 메밀 함량이 높은 뚝뚝 끊기는 면은 아니었던 것 같은데 면빨도 나쁘지 않고 양념 간이 적당해서 좋았어요. 매콤새콤 밸런스가 좋았던 양념. 막 대단한 맛은 아니지만 누구나 먹어도 오 괜찮네 맛있네라는 얘기 나올 수 있을 것 같아요!나오기 전에는 온육수를 주시는데 육향이 찐하게 나서 맛있네요. 몸 으슬으슬한 겨울에 더 생각날 것 같아요. 배고플 때는 메뉴 나오기 전에 두 잔도 마셨네요. 홀짝홀짝 계속 마시게 되는 육수..언제 가도 인기가 많은 집. 맛도 나쁘지는 않고 근처에 맛집이 많지 않아서 괜찮은 선택지인데 막 찾아갈 정도, 웨이팅 할 정도의 맛집은 아닌 것 같아요.\n        ']]",[],"
국수 / 면 요리
",만원 미만,11:30 - 20:00,없음,김포시
4,"카페진정성
                                    (하성본점)",경기도 김포시 하성면 양택리 287-11,3.9,18657.0,39.0,"[['별로', '\n          김포 하성에 있는 카페. 왜 유명한지 전혀 모르겠다. 커피도 일반적이고 밀크티도 달기만 하고 인테리어도 별로고 공장지대에 뷰도 별로고 가지않아도 되겠다\n        '], ['맛있다', '\n          #밀크티돌고 돌아 결국 카페 진정성토요일날 여자들끼리 점심 집들이 후 커피는 나가서 마시기로 했는데, 단톡방에 언급이 되었던 곳이 카페 진정성, 카페 나울, 뱀부포레스트, 기타 몇 곳이 있었음.가장 먼저 김포 신상카페라는 카페 나울을 갔는데, 주차 공간은 있는데 차 마실 자리가 없어 그 옆 뱀부포레스트를 가려고 했으나 패스결국 더 위에 있는 카페 진정성을 가게 되었음 주차 공간이 넉넉하다 보니 주차가 편해 좋았는데 여기도 자리는 없었음 (토요일 오후에 가다 보니 카페들이 만석이었음) 밀크티는 맛있었고 파릇파릇 풀밭을 보며 여유롭게 차를 마실 수 있단 점은 좋았음 주말 오후에 갔더니 자리 잡기가 너무 힘들어서나중에 가게 되면 붐비는 시간대는 좀 피해 가야겠음\n        '], ['맛있다', '\n          주말에 드라이브 겸 밀크티 먹고 싶을때 방문하는 곳김포에 진정성 기점,하성본점 총 두곳인데기점은 자리 별로 없어서 하성본점으로 가게 되더라구요하성본점은 별관도 있고 뛰어놀기 좋은 곳인데주말은 사람 너무 많아서 자리 잡는데 힘들어요오리지널 골드 밀크티 5,200원정말 착한 밀크쉐이크 6,500원진정성 밀크티는 한 입 먹으면 진하고 깊다란 말이 나와요밀크티 많이 먹어본건 아니지만 상위권 안에 들어요밀크티 맛집으로 유명한데엔 이유가 있는 법...밀크쉐이크는 이름 그대로 연한 느낌인데아무것도 첨가하지 않고 우유+얼음만 간 것 같아요구움과자 먹고 밀크쉐이크 먹으면 아무 맛 안 나요전 그래도 맛있게 잘 먹었어요!휘낭쉬에,마들레도 주문했는데 구움과자도 맛있어요툭히 휘낭쉬에 쫀득쫀득한게 존맛탱입니다\n        '], ['맛있다', '\n          서점으로 가려다가 잘못 들른 곳. 다음에는 여길 즐기러 와야지!\n        '], ['맛있다', '\n          잔디가 있어서 아기 데리고 바람쐐러 가기 좋은 커피숍밀크티가 유명하고,간간히 계절 음료가 나오는듯 함커피도 원두선택해서 먹을 수 있음\n        ']]",[],"
카페 / 디저트
",만원 미만,10:00 - 21:00,없음,김포시
5,꼬꼬오리주물럭,경기도 김포시 양촌읍 흥신리 381-7,3.9,32080.0,24.0,"[['맛있다', '\n          진짜 좋아하는 오리주물럭 집이에요 멀지만 일부러 가서 먹을 정도! 가성비 좋고 맛있고 정말 좋아요 포장해다가 집에서도 먹고요~김치 같이 구워서 먹으면 진짜 꾸르맛오리 양도 많고 양념도 진짜 맛있어요! 밥도 꼭 볶아먹어야해요!!!! 또먹고싶네요 ㅠㅠ !!\n        '], ['맛있다', '\n          색다른 분위기에서 즐길 수 있는 맛있는 오리주물럭! 찾아가기 힘들지만.... 길도 별로 좋진않지만 막상 도착하면 주차장 잘해놨고 건물 신축이라 위생도 좋다. 모든게 다 셀프고 추가비용이 있지만 다 맛있다!!!! 대낮부터 취하기 제격이다!!! 운전기사를 데려오던지 택시타고 오던지해야함 ㅋㅋㅋㅋ\n        '], ['맛있다', '\n          역시 김포 맛집!  오픈 시간이 10시여서 시간 맞춰 가족들이랑 갔어요. 10시 조금 넘어서였는데 벌써 식사하고 있는 손님들이 있더라구요. 주문하는곳과 먹는 곳은 다른 건물이에요. 주문하고 계산하고 은색쟁반에 주문한 음식 들고 먹을 수 있는 건물로 이동해서 팬에 종이 호일 깔고 오리주물럭 투하~  맛있게 볶아 드심돼요. 카운터 옆에 물이랑 숭늉도 있구요. 표고버섯 추가해서 드시길 추천합니당! 밥 볶아먹는것도 필수!! 다 먹고 나올때쯤엔 주차장에 차가 가득..  놀랐어요ㅋ ㅋ 사진으로 다 남길것.   후회했어요ㅋㅋ 3월31일 이전한다고 하니 그전에 들르셔서 식사하시고 이전한 곳에서 사용할 수 있는 쿠폰도 받아보시길~  어쨋든 추천합니당!!\n        '], ['별로', '\n          최악.조금이라도 까다롭거나 비위 약하면 절대 가면 안됨.구조- 한쪽 건물에서 양념된 오리고기와 밑반찬을 받아서 옆 건물에서 직접 구워먹는 형태. 가격이 저렴한 이유는 이러한 셀프서비스 기반이기 때문인듯. 먹는 곳의 불판, 의자가 굉장히 불편함. 높이가 낮아서 목욕탕의자에 쭈그려앉는 것과 비슷한 정도의 자세. 허리가 아플 수 있음.위생- 길거리 포장마차 수준의 위생상태. 제대로 청소 안함+안되어있음, 불판, 식탁, 식기에 물때와 알 수 없는 이물질이 많음. 식당 바닥도 불결함. 쌈채소는 비닐봉지에 담겨진 채로 나옴. 구워먹는 건물은 꾀죄죄한 샌드위치 패널과 듬성듬성 틈이 보이는 석면 천장으로 이루어져 있음. 여름에 왔다면 벌레때문에 아주 볼만할듯.맛- 간이 싱거움. 짜지 않지만 건강한 맛도 아님. 오리고기 잡내는 적었지만 완전히 잡힌것도 아님. 오리고기가 원래 기름이 많은 편이지만 고기반 비계반임. 고기도 지나치게 퍽퍽하고 텁텁함. 뭔가 특색이 있는 맛이라거나 본질적인 맛을 잘 살린 것도 아님. 결론- 음식점으로서 모든 분야의 기준을 총체적으로 충족하지 못하는 곳. 왜 맛집인지도 모르겠고 사람들이 많이 찾는것도 이해가 되지 않는다.\n        '], ['괜찮다', '\n          가성비가 아주 훌륭한 가게맛도 괜찮고 계산도 시원시원하게 그냥 하고 한상 가지고 가서 구워먹고 나가면 되는 가게막 엄청 맛있지도 않고 평범한데 가격이 너무 좋아서 사람이 많은것같다요즘 코로나 시국이라 캠핑을 그리워 하는 사람들이 더 방문하는것같기도하고\n        ']]","[['오리주물럭 (중)', '28,000원'], ['오리주물럭 (대)', '40,000원']]","
닭 / 오리 요리
",만원-2만원,10:00 - 22:00,없음,김포시
6,"카페진정성
                                    (기점)",경기도 김포시 양촌읍 석모리 981,3.9,14949.0,10.0,"[['괜찮다', '\n          밀크티의 성지라고 불리는 진정성 사실 그닥 밀크티를 좋아하진 않고 갑자기 비가 많이와서 방문하게 됐어요 카페 진정성은 김포에 본점이 있어서 그런지 김포에 지점들이 꽤 여러곳 있더라구요 주차공간 여유롭고 모던하고 깔끔한 인테리어가 눈에 띄어요 직원분들도 친절하고 커피맛도 괜찮았습니다 산미없이 고소한 스타일이라 더 맘에들었어요 건물들이 통유리로 되어있어서 앉아있으면 원두를 로스팅하는 것도 직접볼수 있어요 밀크티는 병으로 판매중이고 베이커리 종류도 꽤 다양합니다 분위기가 좋았고 날씨만 좋았다면 야외자리에 앉았을 텐데 아쉬웠어요\n        '], ['별로', '\n          생각보다 실망...김포에서 유명한 곳이라 해서 가봤는데,밀크티는  쏘쏘...커피가 훨씬 맛있음..앉아있기 불편해서 잠깐 앉아있다 나옴..테이크 아웃 전문점인가..\n        '], ['맛있다', '\n          여기는 김포의 카페 진정성 로스팅 전문점입니다. 그래서 그런지 엄청 큰 기계들이 주를 이루고좌석은 별로 없어요. 외부랑 내부에 1층 테이블4-5개?주차는 코다리찜집 말고 진정성 바로 앞에 있어요. 저는 덜 달다 해서 오리지널 다크 밀크티랑 7500초록색이라 녹차처럼 보이지만 쑥 밀크티를 샀어요. 8000플레인 마들렌 2000무화과얼그레이파운드 3400움… 진정성 밀크티는 저랑 초큼 안 맞아요 ㅠ뭔가 약간 화장품 맛이 나는? ㅠㅠ근데 쑥 밀크티는 맛있네요. 진짜 쑥떡을 갈아 넣은 맛입니다. 무화과 얼그레이도 맛있어요. 무화과가 쫀득쫀득 되게 많이 씹혀요. 몇 개 안들어간게 아니라 왕창 들어가있답니다!!\n        '], ['맛있다', '\n          오랜만에 카페 진정성! 진정성이 김포에서 출발한 곳이라곤 하는데, 항상 서울 지점에서 사먹었던지라 김포에 와서는 처음 먹어봤어요.기점은 석모리에 위치해 있어서 일부러 찾아오기엔 조금 애매한 위치같아요.오리지날 골드 밀크티 보틀이랑 풀 블렌딩 콜드브루 워터 테이크아웃 했어요! 진정성 밀크티는 우유 잔물감이 거의 없어서 좋아요. 과하지 않은 단맛, 깔끔한 느낌! 콜드브루는 풀 블렌딩이었는데, 무거운 느낌 아닌 대신 좀 시큼한 편이었어요. 밀크티에만 주력하는 곳인 줄 알았는데 1층 사이드 전체가 로스팅 공간인 걸 보니 커피도 유명했었나봐요. 매장이 예뻐서 오래 시간 보내다 가면 좋을텐데 그러지 못해서 아숩 ㅜㅜ 구움과자도 있다고 하는데 저녁때 가니 솔드아웃이었어요.\n        '], ['맛있다', '\n          차로 갈때 입구 찾기가 너무 힘드네요. 옆 코다리집 앞을 가로질러 가야되요. ㅡㅡ그런데, 이런 외진 곳에 멋진 카페가 있다는게 더 놀랍네요. 카페 내부는 작업실이 대부분이고 앉을 자리가 많지 않네요. 주문은 2층에서...오리지날 골드 밀크티 7000 & 오리지날 다크 밀크티 7000. 둘다 보틀.골드는 좀 달달하고, 다크는 덜 달아요. 개인적으로는 달달한 디저트와 더 잘 어울리는거 같은 다크가 좋네요. ^^\n        ']]","[['에스프레소', '4,200원'], ['아메리카노', '4,200원'], ['플랫화이트', '4,500원'], ['오리지널 골드밀크티', '6,000원'], ['하동어린쑥차', '6,000원']]","
카페 / 디저트
",만원 미만,10:00 - 21:00,없음,김포시
7,카페타비,경기도 김포시 구래동 6882-15 연세프라자5차 7F,3.9,17276.0,16.0,"[['맛있다', '\n          드디어 왔다!금요일 휴무라서 목요일에 옴수플레 20-30분 기다려야 한다길래 미리 전화 주고시간 딱 맞게 도착!!!수플레 13000 x2 -2000할인오렌지 주스 6500아메리카노 45001인 1음료시 수플레 천원 씩 할인사진 보니 옛날엔 (2022년 4월?쯤까지) 3덩이였는데 ㅠ 이젠 2덩이만 나온다 흑흑 ㅠ신기하게 로봇이 서빙해주며 자꾸 뱅글뱅글돌아서 웃기면서 신기하고 사진찍으려는데 움직여서 짜증 살짝 ㅋㅋ폭신 폭신 수플레! 10년동안 구운 솜씨답게 부드럽고 연하다. 비린 맛이 하나도 안 난다!!버터에 짠맛이 있어서 단짠단짠 지대로\n        '], ['맛있다', '\n          로제우동인가요 너무 맛있고플랫화이트도 너무 잘해요이집 때문에 플랫화이트에 반했어요! 자주 못갔는데 오래 계셨으면 좋겠어요\n        '], ['맛있다', '\n          분위기와 맛 모두 훌륭한 카페네여.주말에 다녀왔는데 7층에 있음에도 불구하고 계속 사람들이 들어와서 신기했아요.#수플레 팬케이크(￦12000)가 전 제일 맛있었어요!!모두가 아는 그맛이에요ㅠㅠ 부드럽고 포슬포슬♡ 옆에 크림이 존맛이었구요과일양이 조금 더 많으면 좋겠는데 뭐 가격대비 만족해여.동행이 계란 비린내에 예민한 편인데 전혀 안나고 맛있게 먹었습니다. ㅎㅎ 저도 계란 비린내는 못느꼈어요5분뒤에  토스트 나온다하셨는데 다먹고 기다리기까지 한거 보면 진짜 빨리 먹은 듯...ㅋㅋㅋ 맛있어서 순삭이에요.#프렌치토스트(￦11000)는 비주얼보고 안시킬 수가 없었어요.저는 집에서 아무리 빵을 구워도 저렇게 안나오던데;;동행들은 프렌치토스트를 더 좋아했아요!저는 맛있긴 했는데 묘하게 짠맛?고기맛? 같은 거슬리는 맛이 느껴져서 ㅠ둘중 하나만 시킨다면 수플레를 추천합니다^^커피류는 그냥 그랬습니다. 탄맛이 너무 강해요 ㅠ#아이스레고라떼(￦6500)는 신기해서 동행이 시켰는데매번 따라먹기 귀찮아 보였어요...ㅎㅎㅎ저는 분위기<편안함파라 요새 유행하는 좁은 테이블과 불편한 의자를 극혐하는 편인데 ㅋㅋㅋ 오래 있어도 편안했어요!!^^여기 개선할 사항은 음식이나 인테리어가 아닌...화장실이에요!!!! ㅠㅠ이런 신식 건물에서 이런 화장실이...?냄새가 너무 심하게 나서 잠깐 손씻기도 힘들정도에요;;;이것만 좀 고쳤으면 좋겠습니당.\n        '], ['맛있다', '\n          기다리는 자에게 낙이 온다는 말이 딱 맞는 곳. 팬케이크 먹으려면 30분은 기다려야 한다ㅠㅠ 게다가 못먹을 때도 많다. 근데진짜 맛있다. 사장님이 일본에서 요리를 배우고 오셨는지 진짜 부들부들 짱이다..!! 팬케이크 존맛탱\n        '], ['맛있다', '\n          수플레 먹으러 가는 곳! 익선동보다 개인적으로 가격도 합리적이고 더 맛있음ㅋㅋㅋ 그냥 수플레랑 얼그레이 수플레 둘 다 맛있는데, 보통 주문하면 그 이후에 만드시느라 시간이 걸리는거 참고하시고. 원두도 적절히 고소하고 적당히 신맛이 잘 밸런스 잡혀있어서 레고라떼?랑 플랫화이트가 특히 맛있다. 주차도 가능해서 더 만족ㅋㅋㅋ \n        ']]",[],"
카페 / 디저트
",만원 미만,월-토: 11:30 - 22:00 일: 12:00 - 22:00,없음,김포시
8,빈치하다,경기도 김포시 풍무동 820-36,3.9,5090.0,7.0,"[['맛있다', ""\n          가죽 공방과 같이 운영되는 곳. 김포 풍무동 아파트 건너편 쪽 카페가 많은 골목이랑은 조금 떨어져 있는 곳에 있다. 접근성이 썩 좋지는 않은 편이지만, 감안하고 올 만할 정도로 좋은 곳.신기한 직접 만든 가죽 제품들이 있다. 저런 핸드메이드 가죽제품에 막 관심이 있는 편은 아니라 잘 모르겠는데 일단 눈에는 이뻐보여서 관심있는 사람들은 '살 만 하겠는데' 라는 생각을 했다.바나나 케이크 : 바나나가 듬뿍 들어 간 케이크. 생크림 맛있다. 요즘 진짜 생크림 맛있게 휘핑해주는 곳 많은 것 같다. 확실히 고소하고 달고 맛있는, 느낌 좋은 디저트. 브레드 푸딩같은 느낌도 있는데 아무튼 맛있게 먹을 만 했다.테린느가 유명한 것 같다. 이 날은 그냥 뭔가 바나나케이크가 땡겨서 먹었는데, 나중에 테린느 한 번 먹으러 와 볼 듯.---제가 많이 업로드를 했다거나 막 여기 유저들과 교류가 있었던 건 아니지만, 많은 망플 유저들의 좋은 리뷰들로 맛있는 곳 하나하나 알아 갈 때마다 좋은 추억 만들어 주셔서 기분 좋은 식사 많이 했네요 ! 정말 감사합니다.종료 날 다시 오겠습니다. 혹시 인스타하시는 분들 저랑 맞팔해요 ! 맛집 많이 알려주세요 ....@wisey_dessertlover 입니다 !\n        ""], ['맛있다', '\n          녹차 테린느도 넘 마싯! 여기 다른디저트는 그냥.. 그냥 그런데 테린느는 진짜 넘 마싯어요 치즈도 마차도 둘다 성공!! 강추 강추!! 크로플이랑 다른거 바나나..? 그런거는 다 제 입맛에는 좀 아녓어요 ㅋㅋㅋ\n        '], ['맛있다', '\n          가죽 공방 옆에 있어요. 통창이라 채광이 좋고, 전신 거울도 있네요.당고 쑥라떼 6000 & 바나나케이크 6000.당고를 먹고 쑥 라떼를 마시면 그냥 쑥떡이네요. ㅡㅡ 쑥향이 진하기는 한데, 입안에 느껴지는 질감이 라떼처럼 부드러우면서 진하다기 보다는 차같이 묽어요. 바나나 케이크는 바나나 푸딩같은 느낌인데 빵이 크림보다 비중이 조금 더 많아요. 맛은 건강한 홈메이드 맛. 근데 쫌 땡기는 맛.\n        '], ['괜찮다', '\n          가죽공방과 같이 운영되고 있는 빈치하다메뉴에는 테린느 4종 (치즈.초코.녹차.오레오) 하지만 오레오는 이제 단종되어서 판매 안한다고 해요!다소 당황스러운 테린느 포장상태. 박스에서 열자마자 랩으로 칭칭 쌓여진 테린느 한조각을 보고 매우 당황했다랩이라니...ㅎㅎㅎㅎㅎㅎㅎ 테린느가 유명한곳이라 테린느만도 많이 포장해 간다고 들었든데 다들 이런걸 받으시는거겠쬬...? ㅎㅎㅎㅎ맛은 보통 꾸덕한 치즈케이크와 다르지 않지만 케이크보다는 묵직함과 되직함이 강하고 많이 달아서 커피랑 먹기에는 괜찮을것 같아요. 그렇지만 뭐 특별할것 없는 맛이었어요여러분 부디 포장하지 마시고 매장에서 드시길 추천합니다 (전 코시국이라 테이크아웃만 가능했어요ㅜㅜ) \n        '], ['맛있다', '\n          김포에 있는 숨은 맛집인테리어가 너무 예쁘고 곳곳에 폴 고갱 그림, 소품들이 자리잡고 있음인스타 감성 제대로 느끼고 싶다면...\n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,김포시
9,Bake29s,경기도 김포시 고촌읍 태리 219-1 2F,3.8,21361.0,20.0,"[['맛있다', '\n          맛있어요!\n        '], ['맛있다', '\n          이곳의 레드벨벳 바나나푸딩은 저의 인생 디저트왕복 40분이넘게걸리지만 종종 그것만을 위해달려갑니다.강아지들이 놀수있게도 잘되어있어서 개팅하러도 자주 갑니다커피도 특히 라떼 너무 맛있어요\n        '], ['별로', '\n          여기 왜?인기가 있는지 모르겠음. 단 동물들과함께 가는건 좋은데 동물들 싫어하는사람은갈필요성도 없고 음료가 맛있는것도 아니고. 가격이 저렴한것도 아님.분위기? 이런곳 많이 있음..구지?\n        '], ['맛있다', '\n          날씨좋은 날 오랜만에 바람쐬고싶어서 서울근교카페 보다가 거리도 가깝고 분위기 예뻐서 다녀와봤어요!!저는 평일에 가서 여유롭게 조용히 다녀왔어요~햇빛도 잘 들고 인테리어도 깔끔했어요ㅎㅎ날씨는 아직 추워서 테라스는 못 올라가봤구요ㅜ여름에 한번쯤 다시 가서 테라스도 가보고싶더라구요~!본관,별관 나뉘어져있어서 공간도 넓고 좋았어요디저트도 남자친구 입맛에도 맛있을정도로 너무 달지않고 맛있었어요ㅎㅎ 성공적인 카페였어요\n        '], ['맛있다', '\n          먹을거에 진심이지만 울 댕댕이에게 더 진심이라카페에서 케이크 스콘 쿠키에 여유로운 티 한잔 포기하고반려견놀이터로 향했는데,알고보니 놀이터 옆에 (반려견동반은 안되지만) 베이커리 카페가 있어서 냉큼 들렸어요 ㅎㅎ레몬얼그레이쿠키 / 스콘 / 딸기케이크 주문했는데,밖에 세시간 서있느라 너무 추웠어서 혀가 얼어가는 느낌이었음에도, 레몬 얼그레이 쿠키는 너무 맛있었어요.얼그레이 향이나 맛은 잘 안느껴졌지만, 상콤한 레몬아이싱 꾸덕꾸덕한 쿠키라 순식간에 하나 뚝딱했어요ㅜㅜ 댕댕이와 반려견놀이터 방문하시는분들은 댕댕이 간식말고 사람간식도 여기서 꼭 함께 챙기시길 추천드려요\n        ']]",[],"
카페 / 디저트
",만원 미만,11:30 - 20:00,화,김포시
