,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,파스티안,경기도 의정부시 녹양동 404,0,16385.0,10.0,"[['괜찮다', '\n          음식 자체는 맛있었지만책상이 좀 끈적여서 불쾌했어요ㅜㅠㅠ리조또랑 파스타 맛 자체나 서비스는 다 좋았어요~~그리고 여기서 수제피클 담그시는데피클맛집입니다자리가 많진 않아서 예약하고 가는게 낫더라구요~맛있다고해서 찾아갔지만 괜찮긴한데 찾아갈정도는 아닌 것 같아요..!\n        '], ['맛있다', '\n          까르보+치킨추가로 먹었습니다. 사실 의정부에서 이동네에 이런곳에 이런 파스타맛집이? 하는 생각이 여러번 드는 곳입니다.녹양동에 있으시기 아까울 정도로 너무나도 애정하고 아끼는 파스타집입니다.미군이나 외국인분들도 종종방문 하시는 곳이라 이곳이 외국에 온게 아닐까라는 생각이 듭니다.외국에가서 파스타를 즐기고 싶지만 이곳에서나마 편안함과 그리운 맛을 느낄수 있어서 좋았습니다.꼭 미리 예약을 하고 방문하시길 추천드려요.3ㅡ5시는 브레이크 타임.\n'], ['맛있다', '\n          아진짜 진심 여기 가지마세요ㅡㅡ 여기 미쳤어요다들 여기가지마세요!!!!!!!ㅡㅡ 진짜 너무하네이곳은 나만알고 싶은 매장이니까...예약은 꽉차니 포장해서 먹는데나만먹고싶은데 그러기엔 너무 마시써!!!!파스티안 사장님 적게 일하고 많이 버소서...내가 이 집 파스타 다 정복할 예정임..포장하면 평소보다 양을 넉넉히 주십니다.하지만 그걸 순삭하게 만드는 살람...그리고 포장용기가 재활용이 가능한 친환경 소재이다보니 마음이 더갔어요.싸장님.. 옆에 주차장도 밀고 매장키워요...‼️\n        '], ['맛있다', '\n          색다른 맛이 있는 이탈리안 음식점이탈리안 음식점에서 색다른 맛을 느낀적이 오랜만이라서 너무 반가웠어요.대표메뉴로보이는 아라비아따와 맛있어 보이는 청양크림 버섯리조또를 주문하였는데, 두 메뉴 모두 맛있었어요.아라비아따는 얇은 면이 딱 제가 좋아하는 익힘으로 익혀져서 소스와 같이 먹기 너무 좋았고 간도 맞았어요.청양크림버섯리조또는 강렬한 맛이에요. 자극적인 음식 좋아하시는 분들께 추천드리고 매워요. 먹고나서 뜨끈한 속이 한시간은 간것같아요 ㅎㅎ청양고추의 매콤한 맛이 크림소스랑 잘 어우러져서 계속해서 땡기는 맛이에요.음식들이 모두 정형화된 맛이라기 보다는 가정집에서 잘 차려주신 맛 같아서 좋았고, 매장도 예쁜 액자들로 잘 꾸며져 있어요. 또 양이 많고 가격이도 저렴했어요 :) 음료메뉴도 작은 까페수준으로 잘 구비되어있더라구요.나무벽쪽에 구멍이 뚫려서 바람이 들어오던데 쪼금 추웠던 것 빼고는 아주아주 만족입니당 :)\n        '], ['맛있다', '\n          맛은 있지만 예전과는 달라진 예약시스템으로만 운영되어서 방문하기 불편해요. 오픈하자마자 마감되었다하고... 예전과는 달라진 시스템? 이라 좀 슬프네요.. ㅠ 인기많으니 미리 오픈하자마자 연락해보세요\n        ']]","[['에그베네딕트', '20,000원'], ['청양크림리조또', '17,000원'], ['아라비아따', '16,000원'], ['매운엔초비오일파스타', '16,000원'], ['타코라구파스타', '24,000원']]","
브런치 / 버거 / 샌드위치
",만원-2만원,10:00 - 21:00,"일, 월",의정부시
1,"돈까스잔치
                                    (의정부녹양점)",경기도 의정부시 녹양동 108-3,0,3833.0,6.0,"[['맛있다', '\n          비빔국수 종류는 비추 근데 자꾸 시켜먹게 됨 왕돈까스에 일식 돈까스까지 두루두루 호불호 없는 맛이다 돈까스 샐러드가 맛있음!!\n        '], ['괜찮다', '\n          평타치는 국수와 돈까스창렬하는 가격대.굳이 이곳까지 찾아올 이유가 있을까?가격대가 저렴하거나 엄청맛있거나 분위기가 좋거나 한 것도 아니다. 단팥빵을 파는데 가격대도 높지만 그래도 팥은 많이 들어있고 맛있는편.전체적으로 가격대 조율과 맛에 대해서 다시한번 생각해봣으면 하는 곳. 아쉽다.\n        '], ['맛있다', '\n          가게규모자체가 굉장히 커서 여러명이서가서 먹기 참 괜찮은 곳이랍니다.잔치국수,단팥빵도 함께 판매하는 곳이에요.화장실이2층에 있어서 올라가보니 현재2층은식사가 아닌 카페공간이라고 하시더라구요.돈까스 종류도 참 다양했지만 저는 퉁퉁돈까스치즈듬뿍돈까스,냉모밀을 시켜 먹었습니다.치즈돈까스는 정말 치즈가 드음뿍 들어있어서너무 좋았구요.퉁퉁돈까스는 등심인 것 같은데고기가 실해서 진짜 맛있었어요.냉모밀은 그냥냉모밀맛..가성비좋고 편하게 돈까스 먹고오기 좋은 곳 같아요.\n        '], ['괜찮다', '\n          의정부 녹양에있는 돈까스잔치의 체인점. 전참시에서 이영자 누님이 맛있게 드셨다는 집이다. 돈까스 자체는 평범했으나 비빔국수가 기가 막히게 맛있어서 비빔숯불이나 비빔 돈까스가 정말 맛있더라... 근데 내가시킨건 돈까스 카레라 평점은 ""괜찮다""로 가야겠다... \n        '], ['맛있다', '\n          의정부 녹양동에 있는 돈까스 잔치에 다녀왔습니다전지적 참견시점에 이영자가 추천했던곳으로 티비에 나와 유명해진것같습니다 저희는 비빔국수돈까스와 치즈돈까스 해서 총 2만원에 먹고왔습니다양이 적지도 않고 둘이서 잘 먹었습니다이공국시와 비슷하게 비빔국수에 먹는데 이공국시보다 맛있게 먹고왔습니다돈까스집에 가끔 가서 먹으면 입안이 다 상처나고 그랬었는데 여기는 빵가루로 튀겨서 그런지 부드러워서 그런가 입안에 상처가 안나고 바삭바삭하게 먹고왔습니다~^^\n        ']]",[],"
기타 한식
",만원 미만,10:30 - 21:30,없음,의정부시
2,"백세삼계탕
                                    (의정부점)",경기도 의정부시 가능동 92-11,0,1084.0,4.0,"[['맛있다', '\n          정말 진득하고 진한 삼계탕입니다!먹으면서 건강해지는 걸 느낄 수 있어요.신기했던 점은, 저 뚝배기에 바로 먹으면 안되고 꼭 그릇에 덜어서 먹으라고 하더라구요! 뚝배기에 바로 먹으면 침이랑 닿아서 국물이 흐물흐물해진대요!그릇에 계속 덜어 먹어서 그런지, 더 깔끔하게 먹을 수 있었던 것 같아요! 고기도 부드럽고 안에 찹쌀들어있어서 짱 맛있습니다ㅠㅠ닭발편육은... 굳이 안먹어도 될듯싶어요\n'], ['맛있다', '\n          할머님이 굉장히 좋아하셨어요\n        ']]",[],"
탕 / 찌개 / 전골
",만원-2만원,없음,없음,의정부시
3,강남동태찜,경기도 의정부시 녹양동 37-7,0,1985.0,0.0,[],[],"
해산물 요리
",만원-2만원,11:00 - 22:00,토,의정부시
4,예향재,경기도 의정부시 녹양동 2-13,0,10322.0,3.0,"[['별로', '\n          아기 백일때문에 가족들 식사할곳을 찾아서 예약했는데 일단 예약금 걸어야하는 식당 처음보네요. 룸에서 먹었는데 테이블이 한쪽으로 쏠려있어서 가운데로 살짝밀어뒀더니 서빙하는분이 오자마자 우리 서빙해야되는데 불편하게 해놨다고 짜증스럽게 말해서 저희가 원래대로 옮겼습니다. 25000원짜리 정식 먹었는데 메뉴 구성도 구색맞추기식으로 찔끔 나오고 집에서 해먹는것보다도 맛없더군요  새우튀김 튀김옷이 새우크기보다 컸으니 말다했죠. 조기구이는 살이없어서 무슨 어포인줄 알았습니다. 돌솥밥이 나오길래 뭔가 봤더니 아무것도 안들은 그냥 밥... 먹다보니 더워서 에어컨 온도좀 낮출수 있냐고 물었더니 통유린데 손님이 뭐때문인지 모르겠지만 블라인드를 열어뒀으니 더운거 아니냐고 에어컨 18도라며.. 오래된 벽걸이 에어컨은 전혀 찬바람이 나오지 않았습니다.. 좋게 말해줄수도 있는걸 꼭 그렇게 빈정상하게 할수있는지 이해가 안되네요. 어른들도 같이 계셔서 그냥 조용히 먹고 나왔지만 대접하는 입장에서 너무나 민망하고 죄송했네요;; 집근처가 아니라면 굳이 그 동네에 그 언덕까지 올라가서 먹을 가치는 없는곳이네요  특히나 가족모임하기 좋은곳이라고 써있던데 절대...\n        '], ['괜찮다', '\n          15000원의 런치 정식 먹었어요, 엄청 맛있는건 모르겠고. 깔끔하고 어르신들이 좋아할 느낌 ! 어르신들 많고 단체도 많아요 ~ 방에 들어가지않는이상 일층 밖에서 사람 많을때 식사하면 조금 어수선했어요 ^^ 15000원짜리 기본정식이라 특별히 맛있었던건 없는듯해요\n        '], ['맛있다', '\n          솔바람 15000원(평일점심아닐땐 2만원) 2인상~여긴 조금이 아니라 진짜 맛있는 한정식 집이당 ㅎㅎ 와서 보니 응팔1988에서도 촬영왔던 곳!2번가봤는데 갈때마다 만족만족^^\n        ']]",[],"
한정식 / 백반 / 정통 한식
",2만원-3만원,11:00 - 22:00,없음,의정부시
5,불만난쭈꾸미,경기도 의정부시 녹양동 32,0,3817.0,2.0,"[['맛있다', '\n          22-180의정부 한쪽에 위치한 쭈꾸미 전문점쭈꾸미 볶음을 하는곳이 다 그러하듯 여기도 세트메뉴가 알차게 있습니다도토리전의 비쥬얼과 맛이 참 독특합니다보기에는 아주 바게트빵같이 바삭 딱딱할것 같은데 실제로는 생각보다 부드럽고 묘한 식감입니다쭈꾸미는 색깔보다는 덜 맵습니다  불맛도 강합니다다만 그 정도의 쭈꾸미 볶음의 평범함을 벗어나지는 못하네요매장도 넓고 주차도 원활하여 손님들도 제법 많습니다한번쯤 방문 추천합니다방문추천 70%친절도 중청결 중주차는 앞뒤 주차장 약 20 여대 가능\n        '], ['맛있다', '\n          동네에서 가장 좋아하는 음식점 입니다!웰빙세트(1인당 만원) - 샐러드,도토리전,묵사발,쭈꾸미퓨전세트(1인당 만천원) - 도토리전 대신 고르곤졸라피자가격대비 나오는 것들이 많아 언제나 배터지게 먹고 갑니다~뭐 하나 빠지는거 없이 다 푸짐하고 맛있습니다웰빙세트를 더 선호하는 편인데 도토리전이 진짜 너무 맛있습니다 ㅠ더욱 번창해서 오래오래 장사해주세요~\n        ']]",[],"
해산물 요리
",만원-2만원,11:00 - 22:00,없음,의정부시
6,한국관,경기도 의정부시 녹양동 83-4,0,483.0,2.0,"[['괜찮다', '\n          여긴 진짜 오랜 식당이다 시댁에서 아주 오래전부터 다니던 곳이라는데 주인아저씨가 친절하진 않으시다 정말 안친절하다 그치만 칡냉면 포기못해 냉면에 참기름이 많이 들어가서 미끄덩하고 양념도 찰지고 배에 무에 빠질것 없이 들어가고열무 넣어 먹으면 훨씬 맛있다 냉면이 찰지고 시원하고 고기나 반찬도 그에 못지 않게 맛있다 게장도 나오고 게장 맛도 괜찮고 내부에서부터 오랜미 엔틱이 뿜뿜이긴 하다 크크 그냥 주말에 가족이랑 옛 추억 더듬으며 먹는 곳 주차가 어렵고 친절의 정도가 매우 하라는 것만 인지하면그런대로 올만하다 고기 질도 괜찮고 양념 맛도 괜찮고 냉면도 맛있다\n        '], ['괜찮다', '\n          여기는 아주 역사와 전통이 있는 돼지갈비, 냉면집돼지갈비가 맛있고 같이 나오는 게장도 맛있고 무엇보다 냉면이 아주 참기름의 꼬소함이 가득하다칡냉면으로 가게 내부 여기저기 칡냉면에 대한 이야기가 있다 주인아줌마와 아저씨 이렇게 일하시는데 주인아저씨의 안친절함이 시크로 단정짓기엔 좀… 아마 젊은 사람들은 안갈 것 같다 나는 같이 간 어른이 어린시절부터 먹었던 곳이라 추억도 있고 이미 그 불친절함에 익숙한터라그냥 먹었는데 우잉 별로당 쌈장 가져다 주시는데 본인 손가락으로 쌈장을 묻히고는그리고는 내비두고 가서 손 닦으신다 크크크알굴에서 웃음기를 찾아볼 수 없다 그래서 나는 비추 하지만 냉면은 어느집과 다른 맛이난다나는 그게 고소한 참기름 때문인것 같은데 대기업 참기름맛은 아니기에 .. 냄새부터 다르다 아주 꼬순 냄새 진동하는 냉면 드실 분들께 추천\n        ']]",[],"
고기 요리
",만원-2만원,없음,없음,의정부시
7,"착한낙지
                                    (의정부 본점)",경기도 의정부시 녹양동 108-3,0,4499.0,2.0,"[['별로', '\n          낙지덮밥 1인분에 만원 3인상~여태까지 가본 낙지덮밥집 중 양이 제일 적다!이 양에 만원이면 비싼편인듯 ㅋㅋㅋ양념은 맛있는데 굉장히 찐덕함 ㅋㅋ서비스도 별로구.. 밑반찬들 다 셀프여서 굳이 종업원이 많이 필요해보이지도 않음 ㅋㅋ본점인데 매우 실망\n        ']]",[],"
해산물 요리
",만원-2만원,11:00 - 22:00,없음,의정부시
8,전국5대짬뽕 교동짬뽕,경기도 의정부시 녹양동 327-4,0,2547.0,3.0,"[['맛있다', '\n          가고싶다.\n        '], ['맛있다', '\n          의정부 해장원탑 순두부짬뽕 집입니다.점심에 가면 웨이팅도 있구..혼밥하러 오시는 아저씨분들부터 다양합니다.찐득해보이는 국물에 후추 톡 뿌려져있는 비쥬얼부터침샘 폭발합니다.엄청 맵지는 않은데 적당히 짭짤하구 매콤해서밥시키고 싶은 맛이에요...짬뽕순두부 시키면 면이랑 순두부 같이해서 나옵니다.양파랑 배추 단맛 때문에 조화가 더 좋은것 같아요강릉에서 먹은 짬순보다 여기가 더 맛있어요...동네 꽉잡고있는듯합니다가게가 크진 않아서 좀 오래걸리기도하고주변 주차나 교통이 많이 불편하긴 하지만..!맛있습니다..!!!탕수육도 시켰는데 기본에 충실한 편이에요바삭하기보단 소스 부어서 눅눅하게 부들부들한 맛으로 전혀 비리지도 않고 맛있었어요\n        '], ['맛있다', '\n          여기가 리뷰가 없다니..! 짝꿍이 의정부에 유명한 짬뽕집이 있다고 꼭 그거 먹어야한다고 해서 뭔 짬뽕이 맛있어봤자지 라고 생각했는데 진짜 너무 맛있었다. 예전엔 무척 좋아했지만 학부때 실기실에서 하도 시켜먹은데다 중국집 먹고나면 대부분 속이 부대껴 점점 먹지 않게 되는 음식 중의 하나였는데 여기는 정말 찐이다. 순두부짬뽕이 유명하다고 해서 순두부 하나, 그냥 짬뽕 하나 주문. 둘의 차이점은 그냥 순두부의 유무이다. 순두부 들어갔다고 간이 약하거나 그렇지는 않음. 영양학적으로는 순두부 들어간게 더 좋긴 할테지만. 짬뽕국물이 마치 할머니가 집에서 48시간 고아낸 대추차마냥 녹진하고 푹 고아져있다. 일반적으로 떠먹는 그런 평범한 국물이 아님. 온갖 야채와 해산물을 고아낸 국물이다. 면은 색만 봐도 면 삶고 국물 끼얹은 그런 느낌이 아니라 애초에 같이 고아진것같은 색이다. 간이 잘 배어있고 엄청 자극적으로 보이는데 전혀 자극적이지 않은 맛이다. 그렇다고 간이 약한것도 아님. 약간 엄마가 정성들여 달여준 그런 맛..? 자극적이지 않은데 맛있는 맛이라 코박고 먹게 된다. 해물도 홍합을 다 살로 발라내서 나와서 그냥 먹기만 하면 됨; 탕수육은 남길까봐 고민하다가 남으면 포장되는지까지 묻고 소자 하나 추가주문했는데 싹다 먹어서 괜한 걱정이었음^^.. 탕수육은 약간 색이 특이한데 탄 향?이랄까 그런 향이 나는데 그게 고기가 탔네 하는 그런 거슬리는 탄 향이 아니라 마치 훈연의 그것이다. 하지만 나는 초딩시절부터 고수해온 찍먹파라 탕수육은 점점 바삭함을 잃어가는게 별로였음. 맛은 있는데 찍먹파들은 미리 말씀드리시거나 나오자마자 눅눅해지기 전에 드시길. 너무 맛있어서 그런가 면이 좀 적은 느낌이라 곱빼기도 거뜬할듯. \n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,10:30 - 21:00,월,의정부시
9,"무한버섯나라
                                    (녹양점)",경기도 의정부시 녹양동 412-9,0,2616.0,1.0,"[['맛있다', '\n          23-5버섯과 샤브용 고기가 산처럼 나오는곳정말 거대하게 나옵니다버섯도 각 종류별로 푸짐하게 주셔서 무한리필집이지만 한번 먹고 나니 더 먹을 엄두가 안납니다맛도 꽤 괜찮습니다소스의 맛이 감친맛있게 맛있어서 양파와 같이 샤브 고기와 궁합이 좋습니다그래서인지 손님들이 무척 많고 식사시간엔 대기석에서 웨이팅 하시는 분들도 꽤 있습니다반찬도 맛있고 손님이 많은 이유가 있습니다만 서빙보시는분들의 친절함이 조금 아쉽습니다방문추천 80%친절도 중청결 중주차는 지하주차장에 약 30 여대 가능 \n        ']]",[],"
탕 / 찌개 / 전골
",만원 미만,10:30 - 22:30,없음,의정부시
