,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,안녕커피야,경기도 양주시 덕계동 670-5 101동 103호,0,634.0,4.0,"[['맛있다', '\n          진짜 미친맛 ㅠㅠ\n        '], ['맛있다', '\n          브라운치즈 도넛 진짜 맛있어요!! 미리 선주문 해야되고 포장,배달은 안된대요!!\n        '], ['맛있다', '\n          진짜진짜지짜진짜로 쫀맛이에요! 사장님도 엄청 친절하십니다!!\n        '], ['맛있다', '\n          커피가 향긋하고 좋다 맛이 도넛과 매우 잘 어울린다조용한 장소디저트류가 맛있다선물하기 좋다\n']]",[],"
베이커리
",만원 미만,없음,없음,양주시
1,"택이네조개전골
                                    (양주회천점)",경기도 양주시 회정동 352-8,0,76.0,1.0,"[['괜찮다', '\n          아주 깔끔한 매장이였어요 쌩뚱맞은 위치에 있었지만 앞에 주차 4-5대 가능하구요무엇보다 열무랑 보리밥에 비빔밥을 해먹을 수 있게 되어 있어요 저는 칼국수 그렇게 좋아하진 않아서 이 열무비빔밥을 먹을 수 있는거가 너무 좋았네요 짝꿍이 칼국수 좋아해서 너 많이 먹어 하고선 전 보리밥을 먹었네요 진짜 조금씩 해서 3번 먹은거 같아요 둘이 번갈아 크크진짜 맛있어요 그리고 음식이 깔끔하게 나와서 신뢰가 가더라구요 근데 이미 저희는 파주 복많네에 만족하니까 자꾸 비교하게 되더라구요 해산물이 금액대비 부족하다 그 금액을 비빔밥에 투자하신거 같아요 여기도 후추를 엄청 쓰더라구요 해물칼국수집에서 후추는 기본인가봐요 암튼 괜찮게 먹었습니다\n        ']]",[],"
해산물 요리
",2만원-3만원,없음,없음,양주시
2,양주정쿡,경기도 양주시 회정동 453-19 양주LF스퀘어 4F,0,2158.0,0.0,[],[],"
이탈리안
",만원-2만원,없음,없음,양주시
3,와이키키카페,경기도 양주시 고암동 541-6,0,749.0,2.0,"[['맛있다', '\n          이동네에서 이런곳을 발견하다니... 맛도있고 분위기도 좋다.. 지나가는길이면 강추... 7~만원정도하는 가격도 착함... \n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,양주시
4,발칙한 김돼지네,경기도 양주시 덕계동 455-1,0,2788.0,2.0,[],[],"
고기 요리
",만원-2만원,없음,없음,양주시
5,황금불판생고기,경기도 양주시 덕계동 411-60,0,488.0,1.0,"[['맛있다', '\n          동네서 맛난 곳인가봄가격도 저렴하고 맛있다아아아아주차공간은 없어서 가게 앞에 주차함갠적으로 갈비탕 대존맛그리고 항정살 도 !!그다음이 삼겹살, 밥!도 맛났음. 갈매기살은 장아찌랑 먹기에 굳\n        ']]",[],"
고기 요리
",만원-2만원,없음,없음,양주시
6,박가네 옹심이메밀칼국수,경기도 양주시 덕계동 479-1,0,200.0,1.0,"[['맛있다', '\n          세상 쫀득쫀득하고 맛있다주말 낮에 방문했어요. 오픈 시간에 맞춰가서 그런지 사람은 별로 없었어요. 주문은 옹심이칼국수! 메뉴판에도 써있지만 음식이 나오기까지는 시간이 상당히 걸리더라구요. 사람이 많으면 더 오래 걸릴 수 있다고 하니 참고하시면 좋을 거 같아요. * 메뉴판은 다운 받았어요.아무튼 오랜 기다림 끝에 나온 음식은 세상 맛있었어요. 국물은 걸쭉하면서도 헤비한? 맛이었는데 너무 좋았고, 옹심이도 진짜 세상 쫀듯쫀듯함이었어요. 메밀면도 메밀향이 잘 느껴지면서 맛있긴 했는데 옹심이가 너무 맛있어서 조금 묻혔어요..ㅋㅋ 진짜 재방문하기 쉽지 않은 위치긴 한데요, 나중에 옹심이가 생각나면 한번쯤 찾아와서 먹을 생각이에요! 아마..?ㅎ\n']]",[],"
국수 / 면 요리
",만원 미만,없음,없음,양주시
7,맛있는한우랑,경기도 양주시 덕계동 513-1,0,1883.0,0.0,[],[],"
고기 요리
",3만원-4만원,없음,없음,양주시
8,초원마차,경기도 양주시 회정동 347 근린상가 1F,0,1692.0,1.0,"[['맛있다', '\n          술안주 메뉴들인데, 대체로 소주랑 많이 먹을듯한 메뉴들이져ㅎㅎ 영업도 새벽까지 하시더라구요~ 닭발은 물론 넘 맛있고용~ 오돌뼈랑 제육볶음도 맛있었어요~ 가끔 집에 술모임있거나 하면 꼭 사다 놓는 음식이예요ㅋㅋ\n        ']]",[],"
닭 / 오리 요리
",없음,없음,없음,양주시
9,해송,경기도 양주시 덕계동 408-2,0,971.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,양주시
