,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,밀밭칼국수,경기도 양주시 덕정동 151-63,3.6,12816.0,18.0,"[['맛있다', '\n          밀밭은 진짜 찐 사랑입니다…동네에 이런 칼국수집이 있어서 행복해요…이동네 밀밭 미만 잡인고 다 소문난 사실이죵?무채도 넘 맛있구 ㅠㅠ…사진을 안찍어와서 아쉽지만 언제나 맛있게 먹고옵니다❤️\n        '], ['맛있다', '\n          양주 덕정 칼국수 맛집 !분명 밥을 먹고 갔는데도 너무 맛있어서 자꾸만 먹게되는 맛있는 칼국수 ㅎㅎㅎ 반찬으로 나오는 김치와 무생채가 매운 편인데, 감칠맛이 나서 자꾸 손이 갑니다. 2인분 시켰는데 양도 많고, 바지락은 또 얼마나 많은지... 먹고 먹어도 끝이 없었어요. 무생채 비빔밥도 먹어야 진짜 제대로 즐기는 거라는데, 밥을 먹고 온 터라 아쉽게도 먹지 못했어요. 그치만,,, 무생채 먹어보니 정말 ㅎ 저건 맛 없을 수가 없겠구나 싶었습니다.다음에 가면 무생채 비빔밥까지 제대로 즐겨보고 싶슴니다 ㅎㅎ1인분에 9000원이고, 저는 2호점 다녀왔는데- 2호점이 주차가 훨씬 편해요 :)\n        '], ['맛있다', '\n          칼국수도 쫀맛인데 무생채가 신의 한수....\n        '], ['맛있다', '\n          양주에서 칼국수 하나로 소문난 집.저 멀리 타지에서도 인생 칼국수라고 소문 나 찾아와서 드신다고 한다. 메뉴는 단촐하게 칼국수, 매운칼국수 단 두개인데,모두가 약속이나 한 듯 일반 칼국수만 드신다. 우선 면은 생면이라 일반 칼국수면이랑은 식감이 완전 다른데,넓적한 우동면 먹는 느낌. 쫄깃함이 남다르다.국물은 바지락이 가득해서 끓일수록 지인해지고,김치마저 매운김치라 바지락칼국수랑 완벽 조합.칼국수 치고 좀 비싸다 싶지만,요즘같이 선선한 날씨엔 간절한 맛일듯!- 칼국수 / 1인 9,000원\n        '], ['맛있다', '\n          김치가 엄청 매운데 맛있음!! 양이 많은 편이고 깔끔한 맛이라 부모님 모시고 가면 좋은데 주차할 곳이 마땅치 않고 좌식 테이블이라는 점을 감안해야 함 \n        ']]",[],"
국수 / 면 요리
",만원 미만,11:00 - 21:30,화,양주시
1,덕화원,경기도 양주시 덕정동 350-84,0.0,5406.0,6.0,"[['괜찮다', '\n          생각보다 왁!! 맛있네 하지는 않았다 주말 저녁 브레이크타임 걸려서 5시 15분에 갔는데도손님이 꽉 차있어서 엄청난 맛집인가보다 했는데 먹어보니 간짜장이 엄청 맹숭맹숭 하더라 내가 이미 너무 쎈 간에 익숙해져서인건가 ~ 탕수육은 투명한 소스에 안에 들어간 오이를 건져먹는 맛이너무 좋더라 탕수육 튀김도 적절하고 고기만 꽉차게 들어가고 오버쿡 될랑 말랑할때 건져낸 그런 느낌의 탕수육이 아주 맛있었다 짬뽕국물도 먹었는데 생강향이 어마어마했음짬뽕에 대한 기억은 생강이 다 한듯식사하는 공간은 안에도 단체룸이 따로 있고 포장 요청한 사람들 먼저 빼주는 느낌이여서 엄청 오래 기다렸다 대기로 기다리고 앉아서도 30분을 기다리니맛에 대한 기대가 더 컸을지도 막상 먹으니 그냥 그랬다 밖에 블루 리본 갯수에 당황 크그래도 탕슈육은 추천!!\n        '], ['괜찮다', '\n          덕정역 앞 중식당웬만한 도시에는 인기있는 중식당 하나 쯤은 있다. 덕정역 바로 건너 오십년 넘은 중국집. 입구는 좁지만 안으로 들어가면 곳곳에 방이 있어 넓다. 점심시간엔 대기나 합석하기 일쑤라 한다. 팔보채와 깐풍기 주문. 이젠 좀처럼 보기힘든 사이즈의 큰 접시에 담아내 온다. 팔보채는 양이 많고 재료도 넉넉히 넣어 다섯이 나누어도 남는다. 깐풍기는 닭토막 사이즈를 작게하고 약간 칼칼할 정도로 볶았다. 요리 두 가지 나눠 먹으니 허기가 금새 해결된다. 가격도 좋다. 식사로 이집에서 인기있다는 삼선간짜장으로 통일. 나온걸 보니 면위에 계란후라이 올려져 있고 따론 낸 소스가 큼직한 그릇에 담겨져 있다. 첫눈에 흥건한 물. 이건 간짜장이 아니라 짜장면인데? 삼선짜장이다. 물어보니 삼선은 짜장 간짜장이 따로 없다고 한다. 그건 삼선간짜장은 바로 볶지 않는다는 뜻. 전분은 없이 볶았지만 이건 건짜장이 아니다. 이름을 제대로 써야 한다. 수저로 건더기만 건져 면위에 올려 비벼 먹었다. 하지만 아무래도 바로 볶은 되직한 간짜장 맛은 느낄 수 없다. 차라리 그냥 간짜장을 시키는건데. 삼선이 들어갔다고 다 좋은 건 아니다. 짜파게티 물조절에 실패해 흥건해진 면 건져 먹는 기분. 야채니 새우니 멍텅구리 많이 들어가도 농도 조절에 실패한 간짜장은 오히려 물과 전분 넣고 볶은 짜장면만도 못하다. 메뉴 통일이 패착이다. 여럿이 가서 여러 메뉴를 시켜 맛보는 즐거움이 있는데, 식사를 한 메뉴로 통일하는 건 좀 위험하다. 식사도 여러가지로 나누어 맛보는 게 유리하다. 하긴 돈내는 사람 마음이긴 하지만. 이젠 친구들이 모두 은퇴하니 대낮에 모여 한 차로 점심 투어를 갈 수 있게 되었다. 단풍놀이겸. 현직일 때는 꿈도 못꾸던. 서울 근교의 맛집들도 둘러 볼 수 있게 되었으니 친구들과 함께 누리는 즐거움이 크다. 건짜장이면 어떻고 물간짜장이면 어떠랴. \n        '], ['맛있다', '\n          55년째 영업중인 중국집 덕화원. 리모델링한건지 오래된 가게느낌은 아니었고 가게가 안쪽으로 깊은편이라 무슨 동굴을 파서 만들었나 싶은 느낌. 실제로 제일 안쪽자리 앉았는데 신호가 끊기기도 한다.주말 2시 넘어갔는데도 만석이었고 음식나오는데 시간이 좀 걸렸다.특이하게 여름한정으로 밀면이 메뉴에 있길래 주문해봤다. 사진 찾아보니 오징어랑 새우까지 들어가길래 중국냉면인가보다 했는데 먹어보니까 진짜로 중식 터치가 더해진 밀면이다. 당연하게 땅콩소스가 나올줄 알았는데 매운양념이 곁들여나옴. 육수는 밀면답게 너무 시지도 않고 적당한 단맛이 있는 육수. 면도 그냥 중화면인줄 알았는데 밀면의 그맛. 쫀득한데 잘 끊어져서 면이 특히 맛있었다. 올라가있는 고기는 오향장육 맛. 식초나 겨자를 넣어버리면 흔한 냉면맛이 되기때문에 그냥도 맘에 들었다면 안넣는걸 추천한다.\n        '], ['맛있다', '\n           짜장이 달지않아서 좋았고, 탕수육은 특별한건 없지만 바삭하고 씹히는맛이 좋았다.\n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,11:00 - 21:30,없음,양주시
2,제이청담반점,경기도 양주시 고암동 144-4,0.0,2198.0,0.0,[],[],"
정통 중식 / 일반 중식
",만원 미만,없음,없음,양주시
3,덕정갈비,경기도 양주시 덕정동 136-6,0.0,6092.0,5.0,[],[],"
고기 요리
",만원-2만원,11:00 - 22:00,첫째/셋째 화,양주시
4,모먼츠,경기도 양주시 덕정동 350-134 2F,0.0,4398.0,5.0,"[['맛있다', '\n          오픈때부터 자주가던 카페입니다❤️이 동네에 모먼츠같은 디저트카페 없다는건 이미 다 소문난 사실이쥬~~~?특히 마카롱 진짜 찐입니다 강추강추..최근에 리모델링을 했다고 해서 오랜만에 방문했는데훨씬 깔끔하고 분위기도 좋아지고 깨끗해서 좋아요!오랜만에 가도 기억해주시는 친절한 직원언니들늘 기분좋아지는곳이에용 …✨음료도 넘 맛있구… 돈쭐나세용\n        '], ['별로', '\n          3시간이상 머무를 경우 추가주문이 필수인듯 한데, 이와 관련한 사전 안내가 전혀 없습니다.(보통은 카운터에 써 있는데, 눈을 씻고 찾아봐도 찾지 못했네요)혼자 3~4시간정도 머무를 예정이라 음료 한잔 시키기 죄송해서케이크까지 주문하여 앉아있엇는데 (손님은 한명도 없었어요)정확히 3시간이 되자마자(정확히는 카드결제 후 2시간59분 후) ""손님 시간이 지나셔서 추가주문 하셔야되는데요."" 하고 찾아오셨습니다.그냥 나오긴 했지만 그럴거면 처음에 음료 한잔 시키고 3시간 뒤에 케이크 주문을 했을 것 같아요. 아니면 3시간 되기 전에 나갈 준비를 했던지요.소비자로서 이런 사항은 구매 전에 정보를 제공받아야하는게 당연하다고 생각합니다. 쫒겨나는 기분이었어요.카페에 머무르는 3시간 내내 조용히 앉아만 있었는데마치 귀찮은 진상손님을 보는 듯한 표정이 자꾸 생각나서 다시 방문하지 않을 것 같습니다 .순간 불쾌했던 기억 하나로 쓰는 것이 아니라세번 이상 방문한 뒤 쓰는 후기입니다.(뭐지..? 싶었던 적이 세번 이상이라는 얘기입니다,,)\n'], ['괜찮다', '\n          마카롱 말고 다른 것들은 냉동되어있는것 같은데 좀 당황.. 바로먹으려고 샀는데 냉동이라고 말씀을 안해주셔서ㅠㅠ구움과자류는 당일 구운게 국룰 아닌강..마카롱은 매우 맛있어요! (크림브륄레는.. 너무 딱딱해서 일주일동안 냉장실 숙성햇다가 몉시간 밖에 더꺼내두고 먹었는데도 너무 딱딱했습니당.....)\n        ']]",[],"
카페 / 디저트
",만원 미만,11:00 - 22:00,없음,양주시
5,소셜클럽 더블킹커피,경기도 양주시 덕정동 350-23,0.0,537.0,2.0,"[['괜찮다', '\n          엄청 세련되진 않아요 킹스맨 흉내낸 것 같기도 하고 아님 진짜 소셜클럽 따라한 느낌의 카페예요근처에 덕화원이라는 중국집 소문듣고 먹으러 왔는데부레이크 타임 걸려서 근처 그나마 인지도 있는카페 찾아서 온거예요아니 이런 곳에? 싶은 곳에 있더라구요안에 들어갔더니 진짜 무슨 소셜클럽 같은 느낌이였어요커피는 1인 1주문 하는 사람이 많이 없는지 너무 넓어서 체크가 안되는지 몇분 왔냐고 물어보더라구요커피는 산미 있는 것 없는 것 2가지 버전이고 짝꿍은 산미 없는 것 좋아해서 너무 흡족해 했어요 저는 그냥 그랬어요 커피향이 엄청 나지도 맛있지도 않은건짝꿍꺼 시키면서 원두 산미 있는걸로 체킹 못해서 산미 없이 따뜻한 아메리카노를 먹어서에오 흑흑 암튼 근처 생각하면 이렇게 넓은 공간을 즐길 곳이 없어 보여서 추천이구여~ 맛은 산미 있는거 먹게되면 다시 공유쓰\n        '], ['맛있다', '\n          남양주 근방 사는 친구가 테이크아웃 해다줘서 맛있게 먹었습니다. 각각 티라미수 / 초코 / 고구마 / 생크림딸기 / 순수 우유 / 치즈케이크 였어요. 생크림이 정말 맛있었습니다! 친구는 순수우유를 가장 맛있게 먹었다던데 정말 느끼하지도 않고 고소해서 계속 들어가는 맛이었어요. 시트도 달달하고 촉촉해서 놀랐네요. 원래 제 취향은 치즈케이크쪽인데 소셜클럽 더블킹 커피 치즈케이크는 밑에 쿠키가 너무 달아서 아쉬웠어요. 다이제 뭉친 맛이긴 한데 더 달더라구요. 위에 치즈케이크 부분은 맛있습니다. 카페도 크고 예쁘다고 하니 드라이브 겸 갈만할 것 같아요. 케잌 진짜 맛있어요! 추천드려요\n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,양주시
6,"연안식당
                                    (양주덕정점)",경기도 양주시 덕정동 286-8,0.0,3196.0,1.0,[],[],"
해산물 요리
",만원-2만원,없음,없음,양주시
7,원시쪽갈비,경기도 양주시 덕정동 240-27 인아프라자,0.0,1723.0,1.0,"[['맛있다', '\n          은근 쪽갈비 파는 곳이 별로 없는데 오랜만에 너무 맛있게 먹고 왔어요!기본맛이랑 매운 맛 하나씩 시켜먹었는데개인적으로는 기본 맛이 훨 맛있었어요!!매운 맛은 살은 괜찮은데 뼈에 달린 살부분 먹을때 너무 맵더라구요ㅠㅠ(전 맵찔이)고기도 엄청 부드럽고 살도 많이 달려있어요! 그리고 양념구워먹어도 생각보다 많이 양념이 안타서 먹기 좋았어요~기본으로 나오는 오뎅탕도 맛있었습니다!\n        ']]",[],"
고기 요리
",만원-2만원,없음,없음,양주시
8,"육전국밥
                                    (양주덕정점)",경기도 양주시 덕정동 223-10,0.0,2162.0,0.0,[],[],"
탕 / 찌개 / 전골
",만원 미만,없음,없음,양주시
9,"명륜진사갈비
                                    (양주덕정점)",경기도 양주시 덕정동 350-295,0.0,4116.0,3.0,"[['괜찮다', '\n          덕정에 갈 일이 생겨서 갔다가 저녁 먹으러 들어갔던 곳.1인 13500원에 숯불돼지갈비가 무한 리필인 체인점. 음료수와 공기밥도 무한 리필에 포함된다.숯불 갈비는 그냥 평범한 ... 상상 가능한 그 평범한 갈비맛이었다. (그러나 갈비는 언제나 맛있습니다.)이상하게 손님이 많다 싶었는데 아무래도 저렴한 가격과 무한 리필이라는 점의 메리트가 큰 곳인 듯.굳이 이 곳 포함 다른 체인점을 방문할 생각은 없어요. 엄청 먹는 성장기 학생들 데리고 가지 않는 한.....\n        ']]",[],"
고기 요리
",만원-2만원,12:00 - 23:00,없음,양주시
