,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,도봉산양고기,서울시 도봉구 도봉동 342-1,0,18592.0,10.0,"[['괜찮다', '\n          주말에 방문했는대 음식나오는데 한세월이고 기다린것에 비해 맛있다고는 못느꼈다 근데 사람들 많고 리뷰 좋은거보면 개인적인 입맛만 안 맞나 싶기도하다\n        '], ['맛있다', '\n          양고기 못먹는 사람중에 1인여기 식당만큼은 또 오고싶네요굿굿\n        '], ['맛있다', '\n          진실의미간  ||||||||가성비 맛집서비스 안맛집먹고싶은건 30분전에 시키세요~^^;;ps. 다른거말고 삼각갈비만 드세요\n        '], ['맛있다', '\n          고기는 부드럽고 잡내도 없다. 양도 괜찮은펀. \n        '], ['맛있다', '\n          가격도 맛도 정말 대만족이네요! 양고기에 냄새도 안나고 맛나게 잘 먹을 수 있어요 ㅎㅎ 잔치국수는 가격에비해 양도 맛도 좋네요(^o^)b  직원분이 양고기죽이 가장 맛나다고 추천하셔서 먹어봤는데 전 좀 느끼하네요ㅜ 하지만 일행분들은 맛있다고만 합니다―,.― 참고로  죽은 메뉴판에 없어서 아는 사람들만 먹는 메뉴같습니다.\n        ']]",[],"
고기 요리
",만원-2만원,12:00 - 22:00,없음,수유/도봉/강북
1,도봉산명물호떡,주소없음,0,907.0,1.0,"[['맛있다', '\n          태평숯불갈비에서 숯불갈비와 청국장을 맛있게 먹고 나와 호떡도 좋아하는 메뉸데 태평숯불갈비를 알게됐던  유튜브에서 나왔던 여기 도봉산명물호떡이 근처여서 궁금해 찾아가 봄.도봉119안전센터를 찾아가니 그쪽이 도봉산 등산로 입구 쪽인 건지 등산객들이 많고 포장마차 여러 개가 죽 늘어서 있는데 맨 첫 집이 도봉산명물호떡이었고 메뉴를 보니 호떡과 오뎅을 파는 것 같은데 오뎅보단 호떡이 궁금해 한 개를 부탁드리고 현금 결제만 가능해 계좌이체를 함.쓰여진 메뉴 설명에 보니 마, 연근, 흑미, 수수 등 여러 좋은 것들이 들어간 밀가루로 반죽했다는 호떡은 흔한 기름에 튀기듯 굽는 타입이 아닌 공갈빵 비슷한 느낌의 미아리호떡과 비슷하게 틀에 넣어 굽는 타입임.종이컵에 넣어 건네주신 호떡을 입천장이 안 나가도록 호호 불며 조금 잘라 맛을 보니 호떡은 기름에 튀기듯 구운 게 아니고 틀에 구워선지 크리스피함은 1도 없이 부드럽게 쫀득해 사모님 설명대로 담백한 타입임.씨앗호떡보단 일반 호떡을 좋아하지만 씨앗호떡이란 이름과는 달리 딱히 씨앗 같은 건 잘 안 느껴지고 씨앗은 아니더라도 좀 더 입자감이 느껴지는 흑설탕 속이면 좋겠는데 그렇진 않아 내 타입과는 조금 거리가 있게 느껴짐.오뎅 국물도 맛을 보니 게 향 뿜뿜이진 않아도 적당히 게 향도 나고 비교적 맑고 담백한 타입이어서 이 집은 담백한 게 포인트인 느낌임.적당히 맛있게 먹고 집으로 발걸음을 옮기는데 근처에 김근테 기념 도서관 같은 것도 있음.전체적으로 호떡도 좋아하는 메뉴라 태평숯불갈비에서 나와 디저트 느낌으로 맛본 도봉산명물호떡의 씨앗호떡은 내가 선호하는 기름에 튀기듯 구워내는 흔한 호떡 타입이거나 미아리호떡 느낌의 중국식 공갈빵 타입도 아닌데다 흑설탕 속도 입자감이 덜 느껴져 굳이 재방문하진 않을 것 같지만 가격도 나름 좋고 여러 좋은 재료를 넣어 만드신다니 응원의 맘을 담아 맛있다로..\n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,수유/도봉/강북
2,영수네감자국,서울시 도봉구 도봉동 572,0,6893.0,6.0,"[['맛있다', '\n          창동에 있는 왕골감자탕과 함께 도봉구 감자탕의 양대산맥이라 생각하는 영수네감자국. 감자탕? 감자국? 위 콩비지를 올리는 비주얼 때문 슴슴하지 않을까 예상할수 있지만. 그와 달리 굉장히 매콤하고 마초적인 맛.각자의 동네에 하나씩 있는 감자탕 맛집 그 이상 맛있다고 말하긴 어려운 곳이지만. 등뼈가 신선한건 대번에 느껴진다. 짱짱한 살코기의 탄력이 확실히 다른 곳과 달랐다.어떤 탕이든 어울리는 겉절이와 깍두기도 맛있고. 칼칼한 국물에 말아먹는 라면과 볶음밥 또한 마찬가지. 도봉산 등정 후에 찾았다면 소모한 칼로리 이상을 섭취할수도 있는 곳.\n        ']]",[],"
탕 / 찌개 / 전골
",만원-2만원,11:30 - 22:00,없음,수유/도봉/강북
3,옹기꽃게장,서울시 도봉구 도봉동 286-27,0,10919.0,5.0,"[['괜찮다', '\n          양념도 맛있고 서비스도 괜찮은편근데 예전엔 안그랬는데 이번에가니 처음엔 두마리 딸랑 주고그뒤로는 무한리필게는 정말 손가락 두개만한 게만 줌..무한리필이라 가긴하지만 이번엔 좀 실망..양념 간장 둘 다 맛있지만 게가 넘 작음\n        ']]",[],"
한정식 / 백반 / 정통 한식
",만원-2만원,11:00 - 21:00,없음,수유/도봉/강북
4,대군코다리,서울시 도봉구 도봉동 282-298,0,2297.0,1.0,"[['맛있다', '\n          너무맛나요씨레기 코다리 강추도봉산 초입  대군코다리♡\n        ']]",[],"
해산물 요리
",만원-2만원,없음,없음,수유/도봉/강북
5,콩사랑두부,서울시 도봉구 도봉동 281-10,0,4736.0,3.0,"[['맛있다', '\n          23-133 순두부찌게가 먹고싶어 찾은 도봉산입구의 콩요리 전문점정식 2개를 시키고 콩국수를 하나 시켜서 골고루 맛보았습니다청국장과 콩비지탕 그리고 얼큰순두부두부김치에 양념게장까지...그러나 반전이 있는건 콩국수 였습니다콩요리 전문점이라 그런지 콩국수가 진하고 부드럽고 정말 좋았습니다콩비지탕이 개인적으로는 제일 괜찮더군요단체손님도 많은것 같고 손님들이 계속 끊이지 않습니다다만 일하시는분이 부족한지 필요한걸 주문하기가 힘들더군요방문추천 75%친절도 중청결 중주차는 가게 1층 주차장 6대 가능\n        '], ['맛있다', '\n          등산해서그런가 보쌈 파전 등등 진심 다 맛있음\n        ']]",[],"
기타 한식
",없음,없음,없음,수유/도봉/강북
6,옛골토성,서울시 도봉구 도봉동 288-1,0,4409.0,3.0,"[['맛있다', '\n          여기는 대학때부터 좋아했었는데 이젠 많이 없어진듯그래도 동네 근처에 하나 있길래 찾아갔다 백김치에 오리고기 소스 찍어 올리고 할라피뇨 넣어서 싸먹는 맛이 너무 그리웠다~ 여전히 그리웠던 그 맛을 재연해줬다 집에서 구워먹는 훈제오리랑 큰 차이 없는 것 같으면서맛있는 맛~ 진짜 함나무에 구워서 그런가? 다음에 집에서 먹을때 할라피뇨랑 백김치 준비하고 아 소스 준비가 어렵겠군 암튼 참나무 바베큐라는데 맛있음 다 먹고 후식 잔치국수가 공짜니 꼭 드세요 흐잔치국수 따순것이 맛있었다미리 드시겠냐고 안묻더라니 꼭 드셔요\n        '], ['괜찮다', '\n          대학로에서 처음 먹고 너무 맛있었던 옛골토성 이제 대학로점도 없어지고 많이 사라졌다 느꼈는데 동네 근처에 이렇게 남아있었네 큭여전히 맛있다 고기 굽고 흰 김치에 , 할라피뇨랑 싸먹는 맛이~~ 여전히 맛있더라 그리운 맛… 예전에 소개팅도 이 매장에서 한적 있었는데 ㅋㅋ(˃̶᷄‧̫ ˂̶᷅๑ )대학로점 나는 맘에 안들어서 … 서로 맘에 안들었을지도 그래도 유쾌하게 밥 먹은 기억이 여튼 그리운 추억의 맛이 여기 있어 간만에 가봄 그리우시면 와보셔요 \n        ']]",[],"
스테이크 / 바베큐
",4만원 이상,10:00 - 22:00,없음,수유/도봉/강북
7,산과산사이커피로드,서울시 도봉구 도봉동 44-5 승리빌딩 4F,0,4791.0,2.0,"[['괜찮다', '\n          운동하고 귀가하기 전에 간단히 차한잔 하고 싶었는데 막걸리집 외에 도봉산역 근처 가게들이 찾기 너무 힘들어서 후기 찾아보다 간 곳. 아파트 단지 앞 상가의 4층에 있어서 지나가다 마주치긴 힘들다. 로스팅도 하는 커피중심의 가게인데 에이드나 다른 메뉴도 굉장히 많다. 간단한 베이커리류도 데워서 판매하는 듯. 전면유리창에서 보이는 역과 산 풍경도 좋고 잠시 쉬었다 가기에 아늑한 공간이 괜찮았다. 커피는 신맛이나 탄맛없이 부드러운 맛이 나쁘지 않있고 음료는 단맛이 좀 강했다고 하지만 무난했음...\n        ']]",[],"
카페 / 디저트
",만원 미만,09:00 - 23:00,없음,수유/도봉/강북
8,전라도옛맛손팥칼국수,서울시 도봉구 도봉동 282-333,0,4500.0,2.0,[],[],"
국수 / 면 요리
",만원 미만,11:00 - 20:00,둘째/넷째 화,수유/도봉/강북
9,인디언소울,서울시 도봉구 도봉동 293-2,0,17743.0,2.0,"[['별로', '\n          4인세트, 주류, 된장찌게, 라면 주문종업원분들 친절함, 나름 분위기 있음.다만 고기가 매우 평범한건 아쉬움\n        '], ['괜찮다', '\n          #BBQ2인50,000캠핑레스토랑! 오랜만에 기분전환겸 이색적인 곳 가고싶어서 원정을 떠남. 이런곳은 분위기로 먹는데라며 맛은 기대안했는데 생각보단 괜찮았음. 다만 가격이 안습... 여튼 좀더 캠핑스러웠으면 좋았을텐데 우리자린 별로 그냥 캠핑막만 텨있고 테이블달랑이라 캠핑느낌이 별루안났음...\n        ']]",[],"
스테이크 / 바베큐
",2만원-3만원,11:00 - 23:00,없음,수유/도봉/강북
10,도봉산커피,서울시 도봉구 도봉동 282-316,0,3071.0,1.0,[],[],"
카페 / 디저트
",만원 미만,08:00 - 22:00,없음,수유/도봉/강북
11,"한국통닭
                                    (도봉산지점)",서울시 도봉구 도봉동 282-317,0,822.0,2.0,"[['괜찮다', '\n          도봉산 갔다가 유명한 집이라고 해서 들어가게 되었어요. 매장안에 퍼지는 진한 기름향....  한쪽에서 계속 치킨을 튀기고 계세요  한마리에 5천원으로 저렴한데 크기 보시면 1인 1닭해야 할 정도로 크기가 아주 작아요  저희는 이거 먹고 다른거 또 먹으러 가려고 셋이서 2개랑 치즈볼을 시켰습니다. 가격이 저렴해서 치킨무나 양배추 샐러드 같은건 추가금액이 있어요  취향껏 주문하시면 될 것 같네요. 치킨 한마리은 괜찮았능데 한마리가 꽤 오래튀겨 살코기가 마른 듯 한 느낌의 통닭이었네요. 바삭하니 괜찮긴 했어요  치즈가 진짜 치즌지는 모르겠지만 치즈볼도 낫베드 였습니다. !! 가성비 좋은 치킨집임은 확실하네요\n        ']]",[],"
닭 / 오리 요리
",만원 미만,없음,없음,수유/도봉/강북
12,도봉산갈비,서울시 도봉구 도봉동 559-23,0,4516.0,0.0,[],[],"
고기 요리
",2만원-3만원,10:00 - 22:00,없음,수유/도봉/강북
13,만남의광장카페,서울시 도봉구 도봉동 288-1,0,2986.0,1.0,[],[],"
카페 / 디저트
",만원 미만,월-금: 09:00 - 23:00 토-일: 07:00 - 24:00,없음,수유/도봉/강북
14,섬진강매운탕,서울시 도봉구 도봉동 281-14,0,2796.0,1.0,"[['맛있다', '\n          #도봉산 #매운탕 버섯섞어매운탕(메기+빠가) 중자 49,000원! 보통 매운탕은 회 같은 거 먹구 후식(?)으로 먹어서 좀 끓여야만 국물이 눅진해지는 기분인데, 여기는 처음부터 매운탕을 먹습니다 ㅋㅋ 이게 어떤 양념을 쓰시는지는 모르겠지만.. 첫입부터 벌써 맛있어요. ㅋㅋ 보통 등산 후에 매운탕을 먹을 생각은 잘 안드는데 ㅋㅋㅋ 맛있었습니다 ㅋㅋ 1층은 매운탕, 2층은 오리로스 등을 판다는데 고기도 아주아주 맛있다고 추천 받았어요:)\n        ']]",[],"
해산물 요리
",없음,10:00 - 23:30,없음,수유/도봉/강북
15,"명륜진사갈비
                                    (서울도봉산점)",서울시 도봉구 도봉동 275-1,0,2616.0,1.0,"[['괜찮다', '\n          22-98이제는 하나의 무한리필 대명사가 되어버린 명륜진사갈비더구나 여기 도봉산역점은 지친 산행에 힘을 다쓴 분들이 어머어마하게 몰려서 어마어마하게 고기를 먹는다는 소문이 있더군요그래서일까요?다른곳 대비해서 고기의 퀄러티가 좀 많이 떨어집니다고기가 부드럽게 넘어가지 않고 뭔가 두꺼운 심이 박힌든한 식감과 맛을 꽤 자주 느끼게 합니다뭔지모를 불쾌감이 있습니다나머지부분들은 그냥저냥 넘어갈순 있는데 물냉면이 너무 짜더군요그나마 숯불고기의 달달함 때문에 물냉면을 시켜 얹어먹는 재미가 쏠쏠했는데 말입니다방문추천 50%친절도 중청결 중주차는 주차장에 약 30 여대쯤 가능\n        ']]",[],"
고기 요리
",만원-2만원,없음,없음,수유/도봉/강북
16,한베포차,서울시 도봉구 도봉동 279-14,0,1282.0,1.0,"[['맛있다', '\n          여기는 도봉산 올라가는 길에 보이는 포차예요제가 사먹은 메뉴는 월남쌈인데 사이즈가 아주아주 커요~ 땅콩 소스나 피쉬소스에 찍어먹으면 아주 맛있습니다분위기는 포장마차구요포장해와서 먹으나 가서 먹으나 맛있네요 물론 정식 월남쌈에는 조금 못미치지만요 김밥같아요 \n        ']]",[],"
베트남 음식
",만원 미만,없음,없음,수유/도봉/강북
17,장어가,서울시 도봉구 도봉동 560-14,0,1960.0,2.0,"[['맛있다', '\n          저희가족의 최애 외식집!!여기서 장어먹으면 다른곳에서는 성이 안차요ㅠㅠ통통하고 꼬들하고!!그리고 저 김치랑 같이 먹으면 끝도 없이 먹을 수 있어요!!가격이 좀 비싸긴하지만 그만큼 다른곳보다 너무 맛있어요!!좀 저렴한 곳 찾아가봤다가 매번 실망해거지고ㅠㅠ\n        ']]",[],"
해산물 요리
",없음,없음,없음,수유/도봉/강북
18,도봉산 팔뚝집,서울시 도봉구 도봉동 574-1,0,5896.0,1.0,[],[],"
한정식 / 백반 / 정통 한식
",만원-2만원,화-금: 16:00 - 24:00 토-일: 12:00 - 24:00,월,수유/도봉/강북
19,우리집산꼼장어순대국,주소없음,0,712.0,1.0,"[['괜찮다', '\n          도봉산 정상 정복하기 전에, 든든하게 위장을 채운곳! 안먹고 등산하면 당떨어져서 기절할까봐 탄수화물을 채우고 가기위해 즉흥적으로 먹으러 간곳! 사장님께서 바로앞에서 김밥을 말고 계시고 호객행위도 하셔서 자연스레 들어갔다. 의식의흐름.•순대국 7천원들깨가 많이 들어가서 고소하고 국물이 진하다. 순대도 고기도 많이 들어가 있었다. 같이 나온 반찬들도 간도 잘 맞았다. 순대국을 든든하게 먹어 도봉산 정복할 수 있었음.•야채김밥 : 무난무난하다. 흰쌀밥이 아니고 밥이 살짝 질다. 야외에서 김밥을 말고 계셔서 여름에 오면 김밥이 상할 수도 있을까봐 걱정이 될듯. + 험하디험한 도봉산. 만만하게 보고 필라 운동화 신고갔다가 호되게 당했다. 특히 내려올때 너무 힘들어서 포기하고 싶었지만 낙오될까봐 무서워서 울면서 내려왔다. 그래도 다시 돌이켜 보니 도봉산을 정복했다는게 너무 보람차고 행복했다:)\n        ']]",[],"
해산물 요리
",만원-2만원,없음,없음,수유/도봉/강북
