,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,파인힐커피하우스,경기도 동두천시 안흥동 42-170,3.9,3394.0,7.0,"[['맛있다', '\n          [뷰맛집! 디저트맛집! 차맛집! 합격!]드라이브 겸 뷰가 좋은 카페를 찾다가 발견한 곳. 캠핑장, 글램핑장과 함께 운영되는 꽤 큰 카페였다. 실내외로 모두 잘 꾸며져 있어서, 날이 따뜻해지면 밖에서 풍경보며 커피 한잔 하기에도 좋은 곳. 2층을 올라가면 통창으로 된 유리가 가득한데, 개인적인 꿀팁은 창문 바로 앞 테이블(경쟁이 치열함) 보다는 창문과 반대쪽의 테이블에 앉는걸 추천. 멀리보이는 산풍경은 좋지만, 주변에 고가도로 공사 중이라 가까이서 보면 풍경이 별로다. 여기서 여러 티를 마셨는데, 남자친구가 넘 맘에 들어서 한잔 더 마실 정도! 디저트류도 맛있어서, 날이 따뜻해지면 또 방문하고 싶다\n        '], ['괜찮다', '\n          아기자기한 그릇과 멋진 뷰가 공존하는 카페동두천 산자락에 위치한 카페이다. 캠핑장과 레스토랑까지 함께 운영하는 기업형 카페이다. 음료는 가격이 꽤 비싸다. 시그니처인 리얼바닐라빈 라떼를 시켰는데 7000원이다. 강남의 카페 가격이다. 바닐라빈을 사용한 바닐라 라떼를 좋아하는데 여기도 바닐라 빈을 사용해서 음료를 만들어서 그런지 맛은 괜찮았다.2층으로 올라가면 음료 가격이 왜 비싼지 이해가 된다. 높은 곳에 위치한 카페이다 보니 확 트인 시야가 환상적이다. 그리고 1층에 아기자기한 그릇이 디스플레이 되어 있는데 그릇과 소품을 구경하는 재미도 있다.\n        '], ['맛있다', '\n          뷰맛집! 자리도 다양하게 취향별로 많고 주차장도 넉넉하고!커피는 아아기준 산미가 강해서 취향탈듯함날씨좋을때 야외석에서 즐기기 좋은 카페\n        '], ['맛있다', '\n          산에 위치한 카페라 일단 뷰가 뻥 뚫려서 너무 좋다!대형카페라 자리도 많고!빵종류도 차 종류도 엄청 많다-!이런 산에 위치한 카페는 커피가 맛없는 경우가 많은데여기는 커피 맛도 괜찮다! 리뷰이벤트 작성하면 아메리카노 테이크아웃 한잔 주시길래 그것도 참여해서 받아갔다-!여기에 오려면 차는 필수지만부모님도 엄청 좋아하셨던 곳! 또 가자고 하심!ㅋㅋ\n        '], ['맛있다', ""\n          차로 오르막을 좀 올라가보면, 카페, 레스토랑, 캠핑장이 한 곳에 있습니다. 그중에서 가장 뷰가 좋은 절벽 쪽에 카페가 있어요.높은 곳이라 1층에서도 뷰가 좋습니다. 야외 테이블, 빈백도 많고, 포토존도 있습니다. 2층에는 통유리로 되어 있어, 맞은편 산이 딱 보이는데, 뷰가 정말 좋습니다. 뷰 하나로 '맛있다'입니다. 1층이나 야외에 비해 2층에는 자리가 여유가 좀 있습니다.음료는 평범한데, 그래도 아인슈패너나 아포가토같은 메뉴가 있어요. 아메리카노, 라떼만 있는 곳과는 차별점이 있어요.주차장도 정말 넓고 드라이브 겸 가기 좋습니다.\n        ""]]",[],"
기타 한식
",만원 미만,없음,없음,동두천시
1,파인힐다이닝하우스,경기도 동두천시 안흥동 45-26,0.0,5514.0,0.0,[],[],"
퓨전 양식
",만원-2만원,없음,없음,동두천시
2,"수피자
                                    (동두천점)",경기도 동두천시 동두천동 245-80,0.0,3036.0,0.0,[],[],"
기타 양식
",만원-2만원,월-금: 11:00 - 23:00 토-일: 10:00 - 23:00,수,동두천시
3,유정식당,경기도 동두천시 동두천동 265-1,0.0,2456.0,0.0,[],[],"
탕 / 찌개 / 전골
",만원 미만,10:00 - 21:00,없음,동두천시
4,이공숯불구이,경기도 동두천시 동두천동 220-3,0.0,1232.0,0.0,[],[],"
고기 요리
",만원-2만원,10:00 - 22:00,첫째/셋째 일,동두천시
5,치킨생각,경기도 동두천시 동두천동 224-14,0.0,1120.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
6,쏘리소,경기도 동두천시 동두천동 229-4,0.0,1102.0,0.0,[],[],"
카페 / 디저트
",만원 미만,07:30 - 21:00,일,동두천시
7,"림스치킨
                                    (동두천점)",경기도 동두천시 동두천동 523-23,0.0,886.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
8,작은공간,경기도 동두천시 동두천동 224-14,0.0,680.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
9,오가네소머리국밥,경기도 동두천시 동두천동 367-2,0.0,622.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
10,마초떡볶이,경기도 동두천시 동두천동 289-53,0.0,569.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
11,컨츄리꼬꼬,경기도 동두천시 동두천동 276-7,0.0,549.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
12,카페패널,경기도 동두천시 동두천동 135-8,0.0,431.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
