,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,평남면옥,경기도 동두천시 생연동 824-28,4.0,17107.0,15.0,"[['맛있다', '\n          친정아빠 따라 간 곳인데 제가 알던 냉면맛과는 다른 ㅎㅎ맛있었어요! 아빠 단골집이라고 하니 앞으로는 함께 들리겠습니다~\n        '], ['맛있다', '\n          평양냉면 하면 머리 속에 떠오르는 맛이 하나씩 있는데, 사람들마다 비슷한 경우도 있고 다른 경우도 있다. 근데 평남면옥의 평냉은 내 머리 속에 떠오르는 맛과 일치하지 않는다 (그럼에도 평남면옥은 -주인이 한번 바뀐채- 4대에 걸쳐 68년을 이어온 한강 이북 최고의 평냉 성지 중 하나다).평냉의 핵심은 육수다 (물론 면과 육수의 조화도 그 안에 포함된다). 동치미 국물과 고기 육수가 절묘하게 조화를 이룬 육수를 말함이다. 내게 평남면옥의 육수는 동치미 국물의 비율이 조금 높게 느껴진다. 80:20 정도로 느껴질 만큼 동치미 맛이 먼저 훅 들어온다 (그렇다고 동치미 국물이 맛 없다는 얘기는 절대 아니다!). 게다가 냉면에 얹어 놓은 다대기 양념과의 조화는 감칠맛을 다소 반감시킬 만큼 따로 노는 느낌이다 (앉자마자 맨 처음 주전자 채 나오는 동치미 육수와 비교해 보면 확연한 차이를 느낄 수 있다).면도 내 취향과는 차이가 있다. 메밀을 오래 볶아 면에서 짙은 색이 나는 데다 (메밀 특유의 고소함이 반감되고 쌉쌀함이 늘어난다), 고구마 전분이 제법 많이 포함되어 조금 미끌한 듯한 표면 텍스추어가 느껴진다. 육수의 깊은 맛을 면에 한껏 뭍혀 오기에 부족하단 얘기다 (아님 반대로 육수에 면의 쌉쌀 고소한 맛을 내려 놓기에도..).대신 듬성듬성 거칠게 썰어 나온 돼지고기 편육 맛은 기가 막히다. 잡내도 하나 없이 감칠맛과 고소함이 한껏 풍긴다. 냉면 위에 고명으로 얹어 나오는 소고기, 돼지고기 편육 한 점씩 보다 훨씬 맛있다. 접시에 나온 편육이 따뜻하고 부드러워서 그런 것 같다.평냉이 안땡기는 사람들을 위해 온반이 있는데, 온반은 평안도식 국밥이라고 한다. 전병 하나가 통째로 떡 하니 들어 있는게 특이하다. 게다가 하나도 자극적이지 않은 맛이 건강한 음식의 느낌이다. 아가들을 위한 이유식이 생각났다.그래도 서비스 만큼은 개선해야 겠다는 생각이다. (젊은 사장님인지 아드님인지) 퉁명한 서빙이 눈에 조금씩 박히기 시작했는데, 뒷 테이블의 손님이 물을 좀 달라니까 턱으로 뒤에 컵이 있다며 가르킨다. 손님과 절친이거나 아님 아주 남다른 단골이기를 바란다.\n        '], ['맛있다', '\n          서울에 있었다면 대박집.여름 바쁠땐 육수의 맛 차이가 있지만 그래도 갈때마다 항상 만족하는 집. 인생 냉면집 입니다. 시원한 동치미 국물에 메밀면이 참 잘 어울려요 ㅎ 또 ㄱ가고싶네요\n        '], ['맛있다', '\n          맛집인스타 : @tastekimsolo봄인데 벌써 여름 날씨가 느껴지니 오늘은 냉면.평양냉면으로 유명한 평남면옥을 찾았다.냉면 즐기러 온 사람들로 가득한걸 보고 이미 맛을 짐작했다.면수부터 다르다. 아니 정확히는 냉면 육순데, 동치미 국물 베이스의 육수가 찌르르 개운하다. 단순히 동치미맛에서 그치지 않고 고기국물같은 고소함, 담백함과 감칠맛까지 중층적인 맛이 느껴진다. 한 주전자 다 마실 수도 있을 것 같은 느낌.맛있는데 설명하기 어려울 정도로 다채로운 국물맛이다.냉면은 방금 그 육수에 다대기가 추가되고, 특이하게도 메밀면이다.라면과 우동사이 정도의 두꺼운 면에 맛있는 국물이 잔뜩 묻어 나온다. 면과 국물의 조화는 환상적.툭툭 끊어지는 면과 메밀의 구수함, 고춧가루가 섞여 아까 컵에 따라마실때와는 한층 달라진 국물이 먹을수록 입맛을 당긴다. 담백하지만 그렇다고 약하지 않다.냉면에 필수였던 식초와 겨자는 오늘은 악세사리일 뿐이다.한 그릇으로 이미 완벽하다.국물까지 후루룩 완식.이른 더위를 싹 지워버린 훌륭한 평양냉면이었다.\n        '], ['맛있다', '\n          동치미 베이스의 평양냉면집. 한번 빠지면 끝장. 일반 고깃집 냉면맛 생각하고 가면 오산이다. 새로운 평냉의 세계로 당신을 인도한다. 수육, 제육 다 맛있고, 평냉집에선 맛없다는 비빔냉면도 맛있다(일반 함흥냉면 다대기맛 생각하면 안된다)평양냉면은 다대기 빼고 시키시는 걸 권한다.소주 한잔 하실 땐 겨자무침 추천이요\n        ']]","[['냉면', '9,000원'], ['비빔냉면', '9,000원'], ['온면', '9,000원'], ['온반', '10,000원'], ['돼지고기편육', '15,000원']]","
국수 / 면 요리
",만원 미만,11:30 - 21:00,없음,동두천시
1,송월관,경기도 동두천시 생연동 683-23,3.5,22862.0,20.0,"[['맛있다', '\n          시어버님께서 가장 좋아하시는 식당이다. 집에서 1시간30분을 가야하는 곳인데 여기 모시고 간다고 하면 가장 좋아하신다. 입맛이 없어 못드시다가도 여기서는 떡갈비 1인분을 다 드신다. 여기 떡갈비가 덕인관보다 더 맛있다고 하는 사람도 있다. 나는 덕인관은 못가봤으니... 모르겠고. 오랫만에 방문한 송월관은 가격을 올리지않고 버티기위해 애쓰는 것 같았다. 로봇이 써빙을하고 반찬의 종류와 양도 좀 줄어든 것같다. 그렇지만 떡갈비 맛은 여전히 좋았다. 갈비살을 다져 갈비에 붙여 숯불에 구워 숯불향이 은은하고 깊다. 어른들과 아이들이 먹기에 안성맞춤이다. 물론 나도 최소의 저작활동으로 갈비를 먹으니 좋다. 시간이 된다면 어른들 모시고 드라이브겸 다녀오면 좋아하실 식당이다. 주변에 별 볼거리는 없지만... 차타고 나오는 것만으로도 좋아하시는 어르신들이라면 왕복거리도 꽤 나오고 음식 맛도 있어서 좋아하실 곳이다. 다만, 메뉴에 있는 모든 음식이 다 되지는 않는다. 이날은 메밀비빔국수, 된장찌게 등이 안되서 좀 서운했다. 그리고 여기서는 꼭 솥밥 미리 주문해서 드시기를. 그리고 반찬으로 나오는 가지튀김은 리필이 안된다고 하니 섭섭해마시기를...ㅠ\n        '], ['별로', '\n          유명하다고해서 방문했지만여기가 정말 떡갈비 맛집이 맞는지 의문이다동네 시장 떡갈비가 더 맛있다기름지고 다 식은것 한덩이씩 접시에 주누데뭔맛으로 먹는지 소문난 잔치에 먹을거없네요\n        '], ['맛있다', '\n          대박맛있어요 다음에 또 갈게요 대박이네요\n        '], ['맛있다', '\n          리뷰원정대 3번째 리뷰. 예전 사진을 가져오다보니 역시... 가족 외식이 많다. 송월관은 첫 리뷰에서도 언급했듯이 울 할아버지의 최애 외식장소다. 멀다보니 드라이브도 되고, 반찬도 다양하게 나와 상도 예쁘고, 무엇보다 맛있는 떡갈비가 있기 때문이다. 지난번에 체하고 교훈을 얻어,, 이번엔 조금만 먹었다,, 개인적으로 매운떡갈비보단 그냥 떡갈비가 더 맛있는거같다,,\n        '], ['맛있다', '\n          할아버지 최애 다이닝 스팟! 동두천의 명물, 송월관이다. 여러명이 가서 1인 1떡갈비에 정말 다양한 메뉴를 시켜보았다. 우선 떡갈비는 25000원에 양도 실하고 반찬도 푸짐하게 잘 나와서 가성비가 좋다. 교외에 있으니 가능한 가격. 고기가 한 덩이라서 당연히 다 먹을 수 있겠지, 하다가 과식하고 체했다. 다진 고기고 맛있어서 끊임없이 들어가는게 문제다 ㅠ.ㅠ 떡갈비 한가운데에는 마치 갈비라는걸 증명하듯 갈빗대가 하나 들어있다. 여기 붙은 살도 맛있다.궁금함을 참지 못하고 매운 떡갈비도 주문해보았는데, 생김새로는 잘 구별이 안되지만 고추기름을 활용해 매운맛을 내었다. 한입먹을땐 모르는데 계속 먹다보면 정말 맵다.아쉬운 점은 식사류를 따로 주문해야 한다는 점이다. 떡갈비 주문할때 함께 주문해야 제때 나온다. 우리는 솥밥을 시켰는데 1000원 더 추가할 가치가 있는 맛이었다. 밥이 고슬고슬하고 후식으로 숭늉도 먹을 수 있다. 반찬도 정말 맛있는게 아무래도 바깥 음식이다보니 간이 세서... 밥이랑 같이 먹어야 한다. 밥을 빨리 주문하는게 꿀팁이다.된장찌개는 엄청 짠 시골된장이고, 모밀국수는 분식집 스타일이다. 개인적으로 그냥 모밀 - 매운 떡갈비, 비빔 모밀 - 그냥 떡갈비 랑 잘 합이 맞을 것 같다. 그냥 모밀은 식초 뿌려 먹으면 입가심하기 좋았다.위치가 애매하고 주변에 볼거리가 없어 이것 하나 보고 오는 동두천인데... 맛이 없느냐? 하면 1945년부터 (대한민국의 독립과 함께 한 역사...) 이어져온 전통 떡갈비에 차마 그런 말은 못하겠고... 2시간 걸려 먹을 가치가 있냐? 하면 난... 개인적으로는 반대다. 평상시에 점심피크시간에는 1시간 정도 웨이팅이 있다고 하니... 점심시간 지나서 갔는데도 10-20분 정도 기다렸다. 하지만 송월관 이야기만 나오면 어린아이같이 좋아하시는 할아버지 모습을 보면, 자주 모시고 와야겠다는 생각밖에 들지 않는다. 가족 맛집으로 기억에 남을 것 같은 집 - \n        ']]","[['떡갈비', '25,000원'], ['매운떡갈비', '26,000원'], ['갈비탕', '12,000원'], ['냉모밀국수', '6,000원'], ['떡갈비도시락', '30,000원']]","
한정식 / 백반 / 정통 한식
",2만원-3만원,11:30 - 21:00,없음,동두천시
2,강스시,경기도 동두천시 생연동 660-50,0.0,4963.0,3.0,"[['맛있다', '\n          진짜 대박이야 너무 맛있어요 다음에 또 가야겠네요 최고입니다\n        '], ['괜찮다', '\n          맛집인스타 : @tastekimsolo회사 근처에서 로테이션으로 찾는 초밥집. 다른 걸 떠나 서비스가 끝내준다.기본으로 초밥과 우동이 딸려나오고, 여기에 튀김과 마끼를 서비스로 내준다. 첫 방문때는 초밥(특)을 시켜서 챙겨줬나 했더니 어느 메뉴를 시켜도 주는 걸 보면 인심에 감탄하게 된다.모밀이나 돈까스, 짬뽕을 곁들인 점심세트도 있지만 먹어본 바로는 우동이 제일 괜찮다. 큼직한 새우튀김에 시원한 국물 빨아들인 유부.튀김도 일식 덴뿌라 느낌으로 바삭하게 튀겨졌고, 마끼까지 먹으면 배가 든든하다.초밥맛은 샤리도, 회도 동네초밥 느낌이지만 적당한 가격대에 푸짐한 양으로 만족하게 되는 곳. 매번 고급 스시야만 갈 수는 없는 법이니 점심 픽으로는 충분히 괜찮다.\n        ']]",[],"
기타 일식
",만원-2만원,없음,없음,동두천시
3,"제주뒷고기
                                    (동두천점)",경기도 동두천시 생연동 612-61 1F,0.0,2140.0,5.0,[],[],"
고기 요리
",만원-2만원,11:00 - 00:00,없음,동두천시
4,원조다래솥뚜껑,경기도 동두천시 생연동 369-7,0.0,4849.0,5.0,"[['괜찮다', '\n          동두천 이색 맛집 ""원조 다래 솥뚜껑"" 솥뚜껑에 베이컨을 구워먹는 집인데 처음에는 굳이 베이컨을 이 돈주고 먹나? 싶었는데 괜찮아요 솥뚜껑을 주문하면 냉동베이컨을 착~ 구워주고 감자, 두부, 파김치, 무생채, 김치가 순서대로 함께 나와요 베이컨에 특제소스를 만들어 먹는데 먹는 방법은 사장님이 친절하게 알려주셔요무생채와 파김치가 베이컨과 잘 어울려용핫소스와 케첩을 섞어서 베이컨과 같이 먹는데 처음먹어본 맛이라 띠용해요! 새콤하고 짭짤해요 재료들이 맛없없 조합들이라 실패없을 조합이긴하나 호불호는 갈릴 듯 해요마무리로 베이컨과 남은 감자 넣어서 볶음밥먹는데 맛나요 음식들이 자극적이고 헤비하긴 해서 먹고나면 계속 물멕혀요..ㅋㅋ\n        '], ['맛있다', '\n          솥뚜껑 삼겹살 아니고 베이컨, 원조다래솥뚜껑 후기입니다~! 솥뚜껑, 부찌, 부대볶음, 김찌, 된찌 생각보다 다양한 메뉴가 있고 각종 사리 추가들이 가득합니다. 처음 보는 솥뚜껑베이컨을 먹으러 간거라 솥뚜껑 대(39,000원) 주문 ! (여섯이서 가서 대자 두개 주문 했어요.)주문과 동시에 햄, 감자, 두부가 담긴 접시와 반찬을 갖다주십니다. 처음 왔냐고 물어보시더니 어떻게 먹는지 하나하나 설명해주시고 구워주시더라구요.밑반찬으로 무생채가 나오는데 무생채에 케찹, 핫소스를 뿌려 비벼줍니다. 그러면 윤기가 반질반질나고 이게 무슨 맛일까 두려워지는데 한입 먹어보면 ? 새콤 달콤 매콤해서 완전 맛있어요! 베이컨이 적당히 익으면 기름이 솥뚜껑 가운데로 모이는데 그 곳에 각종 햄들과 감자를 같이 구워주고 한입에 먹어줍니다. 이때 무생채 같이 먹는거 절대 까묵지 말기!평범할 수 있는 음식인데 무생채와 곁들여먹는게 이 메뉴를 특별하게 만들어주는 것 같아요. 베이컨과 햄, 다 강한 음식이다보니 입이 많이 짜긴한데 그 때 기름에 튀겨지다싶이 한 감자와 생두부를 한입씩 먹어주며 진정시켜줍니다. (+맥주도)적당히 먹었다면 빼먹을 수 없는 볶음밥, 베이컨 기름에 볶은 솥뚜껑 볶음밥 무조건 맛있겠지요..? 무생채를 잘게 잘라주고 김, 챔기름 해서 휙휙 볶아줍니다. (중간 중간 옆 솥뚜껑에 있던 베이컨 기름을 추가하시더라구여. 몸에 안좋을 것 같지만 맛있을 것 같아 포기할 수 없는 맛) 볶음밥 맛은 상상하는 그 맛있는 맛 ! 감칠맛이 아주 좔좔에 짠맛. 치즈를 반만 뿌려달라고 부탁드리고 각자 먹고싶은 부분으로 먹었는데 그냥 먹어도, 치즈 뿌려도 다 맛있었어요. 맛있는 치즈여서 더 맛있게 먹었네용! 솥뚜껑에 눌러붙은 누룽지 먹고싶었지만 숟가락으로 안긁어지길래 포기했는데 사장님 등장하시더니 공기밥 뚜껑으로 박박 긁어주셨어요... 이 누룽지맛 진짜 잊지못할 것 같슴다.살면서 처음 보고 먹어본 음식이라 재밌고 신기했어요. 분명 짠건 맞지만 그 자극적인 맛 첫입 먹을 때 느낌 너무 좋잖아요 ㅎ 가끔 생각날 맛, 동두천 가면 한번 드셔보세용!+ 기름진 음식을 튀기다싶이 조리하다보니 테이블 전체적으로 기름져있어요. 위생에 민감하시다면 좀 불편하실수도!+ 주차는 아무데나 했습니다요...\n        '], ['괜찮다', '\n          맛있는 녀석들 보다가 알게된 곳. 거리가 있다 보니 언젠가 가봐야지 생각만 하다가 가게 됐다. 여기가 궁금했던 이유는 이런 음식을 먹어본 적이 없어서 ㅋㅋ 베이컨 굽고 그 기름에 두부랑 감자 굽고 구운 음식을 얼은 무생채+핫소스 섞은 거랑 같이 먹는다고? 대체 그게 무슨 음식인가 너무 궁금했다. 호기심은 풀었고 생각 외의 잘 어울리는 조합에 재미는 있었다. 근데 역시 많이 기름지다. 볶음밥이 맛있다는데 못먹은 건 아쉽.\n        '], ['맛있다', '\n          베이컨기름에 이것저것 다 튀겨먹고 마무리는 역시 볶음밥\n        ']]",[],"
고기 요리
",만원-2만원,10:00 - 22:30,없음,동두천시
5,시장바지락칼국수,경기도 동두천시 생연동 803-31,0.0,5872.0,5.0,"[['맛있다', '\n          국물이 시원하고 바지락이 많이들었는데 신선한 바지락이라 먹어도먹어도맛있어요ㅋㅋ밥은 무료 비벼먹을수있게 ~김가루.참기름 준비해놨어요. 인생 바지락 칼국수 맛집이네요. 고향갈때마다 가요\n        ']]",[],"
국수 / 면 요리
",만원 미만,없음,없음,동두천시
6,에버노크,경기도 동두천시 생연동 754-7,0.0,5206.0,9.0,"[['괜찮다', '\n          인스타 보고 진짜 취향저격 분위기 & 타르트 맛있어보일래 간 망원 에버노크. 분위기는 따뜻하고 감성적이었어요. 아쉽게도 타르트는 평일+점심먹자마자 바로 방문했고 사람들도 많지 않아 한적했음에도 종류가 많지 않았어요. 쇼케이스가 텅 빈 느낌. 예쁜 카페를 좋아하는 언니랑 방문해서 정말 고심해서 골랐는데 촘 실망.. 타르트가 정말 많고 다양해서 아 뭐먹지 어떻게 고르지! 가 아니라, 아 큰일났다 여기 내가 골랐는데 뭐먹지 뭐가 그나마 실패할 확률이 적지? 이 느낌이었어요.작고 귀여운 무화과 타르트를 골랐는데, 타르트 자체는 크게 나쁘지 않았어요. 하지만 다음에 방문할때는 인스타로 어떤 타르트 나오는지 꼭 확인하고 방문할것 같아요.\n        '], ['맛있다', '\n          집처럼 아늑하고 타르트와 아메리커노 커피가 맛있습니다.노트북을 하러갔는데 처음엔 손님이 꽉차서 불편했지만 그래도 시끄럽지 않아서 잘 이용하고 갑니다~ 가정집 개조한거 같은 느낌이에요\n        '], ['맛있다', '\n          너무맛이따또오기로핰\n        '], ['맛있다', '\n          망원 에버노크 외관도 너무 귀여운 오두막 같은 느낌이였는데 내부도 아기자기 귀여워요. 낮에는 햇볕도 들어 따뜻하면서도 햇살맛집 제대로 였습니다.파이도 우유 많이 들은 리치한 맛이 나는 파이였고, 파이도 크럼블도 이쁘기만 한게 아니라 참 맛있었어요 :)\n        '], ['괜찮다', '\n          주말에 원래 가려던 카페 웨이팅이 너무 길어서 급하게 들어간 곳인데 맛있었어요!근데 가격에 비해 애플 크럼블 사이즈가 좀 작아요음료는 쑥크림라떼로 시켰는데 맛있었어요내부도 꽤 넓고 화장실도 있어서 좋았어요#냠냠\n        ']]",[],"
카페 / 디저트
",만원 미만,11:00 - 22:00,월,동두천시
7,충남칼국수,경기도 동두천시 생연동 660-2,0.0,4302.0,3.0,"[['맛있다', '\n          면 자체가 투박하니 쫄깃하고국물도 구수하며 같이 나오는 청양고추 양념장은 기호에따라 얼큰함을 조절하기에 딱 좋아요 맛도 풍부해지구요 강추. 가격도 착하고 진짜 좋아요 ㅋ 집갈때마다 가요 ㅋ\n        '], ['맛있다', '\n          10점 만점에 10점인생 칼국수 집이다 ! 맛은 정말 보장할 수 있을 정도로 너무너무 맛있고 고추다데기가 정말 신의 한수 (청양고추 다데기여서 많이 맵지만 취향껏 넣어 먹을 수 있어 좋음 참고로 맵찔이인 나는 약간 칼칼하게 먹는것이 최고 존맛아쉬운 점은 주문받은 즉시 수타로 면을 하셔서 시간이 오래 걸린다는 점? 사람 많으면 4~50분 기다려야 함 ㅠ 점심시간은 왠만하면 피해 가는것이 좋다!\n        ']]",[],"
국수 / 면 요리
",만원 미만,10:00 - 21:00,일,동두천시
8,처가집부대고기,경기도 동두천시 생연동 690-25,0.0,4707.0,2.0,"[['맛있다', '\n          호수랑은 좀 다르지만 이곳만의 확실한 색깔이 있는 부대찌개집이예요~ 퇴근하고 배고파서 가서는 밥 두그릇 비우고 왔군요 ㅎㅎ 맛있어요~^^ 강추!\n        ']]",[],"
고기 요리
",만원-2만원,11:00 - 22:00,없음,동두천시
9,"굴사냥
                                    (동두천점)",경기도 동두천시 지행동 662-1,0.0,2737.0,2.0,"[['맛있다', '\n          여기 진짜 진짜 대박 맛있는 맛집이에요 ㅠㅠ가족 분이 굴 양식을 하신다고 들었는데모든 메뉴마다 진심 대박 싱싱한 굴이 엄청 마니 들어있어요❤️❤️굴밥도 매생이국도 굴보쌈도 하나같이 맛있어요!!그리고 기본으로 생굴이 나와서 그것도 넘 좋더라구요 ㅠㅠ아, 그런데지역 내 맛집으로 유명해서 그런지매일 웨이팅은 있는 거 같아요!!!자주는 아니지만 이 근방 갈 때마다자꾸 찾게 되는 거 같아요!!!\n        ']]",[],"
해산물 요리
",만원-2만원,없음,없음,동두천시
