,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,지구과자점,경기도 의정부시 호원동 447-24 A동 1F,0,2806.0,6.0,"[['맛있다', '\n          구움 과자류, 케이크 다 맛있는 곳!!특히 유자를 좋아하는데 이곳에는 유자 스콘, 유자 케이크(마들렌같이 생김!)가 있다!!!보통 레몬 관련 디저트는 많지만 유자는 없어서 아쉬웠는데 정말 좋았다!맛있고 크기도 작지 않아서 만족스럽다!!!\n        '], ['맛있다', '\n          관계자 같아서 더 안쓰려했는데 여기 마카롱을 꼭 소개해드리고싶다. 파리의 피에르에르메와 이름 기억안나는 마카롱집(피에르에르메보다 더 맛있는데 기억이 안난다ㅜ)에 빠져서 하루에 1키로씩 쪘었다ㅜ그런데 서울서 아무리 먹어도 심지어 잠시 피에르에르메가 들어왔을 때 먹어도 그 맛이 안 났다. 꼬끄가 쫀득하지가 않아서 이게 무슨 마카롱인가싶었다. 근데 지구과자점에서 출시한 마카롱은 꼬끄는 쫀득하고 필링은 달지도 느끼하지도 않다.매일 나와있는건 아니지만 있는날은 무조건 사야한다.지구과자점을 종종 오다보니 구움과자보다는 마카롱과 케익이 진리인것같다.\n        '], ['맛있다', '\n          애정하는 지구과자점단호박케익은 좀 달달하다~애플치즈생크림케익은 애플의 맛이 강하지 않고 은은하게 맛있다.그래도 먹어본것중에는 녹차케익과 레몬얼그레이스콘이 제일 맛있는 듯.지구과자점케익은 쫀쫀하다~어떻게 가능한지는 모르겠지만 그래서 매력적이다.오하이오옥수가 케이크 끝판왕이라 생각하는데 안타깝게 커피가 맛이 없어ㅜ그래서 지구과자점은 커피도 괜찮고 케익은 오하이오옥수와 다른 매력이 있어서 자주 오게된다.생일케익은 무조건 오하이오옥수였는데 지구과자점케익도 애용하게될듯\n        '], ['맛있다', '\n          말차생크림케이크ㅡ적당히 달아서 좋다얼그레이레몬스콘ㅡ스콘덕후인데 줄서먹는 집들보다 맛나다아이스 플랫화이트ㅡ커피도 괜찮네적당히 단거 좋아하시는 분들은 꼭 가시길 \n        ']]",[],"
카페 / 디저트
",만원 미만,11:00 - 20:00,"수, 목",의정부시
1,고수,경기도 의정부시 호원동 450 미소프라자,0,5927.0,5.0,"[['맛있다', '\n          고수짬뽕 국물이 시원하고 양도 엄청 많고 수타라 면이 엄청 쫄깃해요저는 삼선짬뽕 시켰구요 ~ 지인이 여기서 삼선 , 차돌 , 고수 짬뽕 모두 먹어봤는데삼선이 제일 낫더라고해서 고거 시켜 먹었어요음~~ 맛나도라구요국물이 시원하고 쌀국수에 들어가는 숙주가 들어가서더 시원한 맛이었어요~ 식당 안에 조리실도 깔끔해보였고 추천입니다\n        '], ['맛있다', '\n          매년 찾던 예비군 훈련장 앞에 이런 곳이? 진한 고기 국물이 당겨. 차돌이 푸짐히 올려진 짬뽕을 만나러 의정부까지 와버렸다.바로 직전 일정이. 눈썰매를 타고 와서 그럴지도 모르겠다. 차돌 특유의 꼬수운 기름이 가장 완벽히 녹아든 짬뽕으로 느껴졌다. 아주 헤비하지않은 채. 적당히 진하고. 적당히 칼칼한. 밀당 잘한 국물에 굳어있던 몸이 고세 풀려버렸다.수타로 썰어낸 두툼한 면도 전혀 이질적이지 않다. 개인적으로 두툼한 면이 취향이 아닌데도 그랬다. 국물이 워낙 깡패니. 면이 어떻든 다 포용해버린다. 만약 아직 예비군이었다면. 훈련 끝나고 받은 교통비를 짬뽕 한그릇과 맞바꾸었을꺼다. 요근래 만난 최고의 짬뽕이었다.\n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,10:30 - 21:30,없음,의정부시
2,사구오공생선구이,경기도 의정부시 호원동 119-168,0,2071.0,2.0,"[['맛있다', '\n          정말 괜찮은 생선구이집.망월사 안쪽에 위치한 집인데,정말 아는 분들만 아는집입니다.일단 밑반찬이 예사롭지 않구요,시금치 나물이 들기름으로 무쳐주셔서 리필해서 먹었네요..기본적으로 손맛이 좋으신 집 입니다.생선구이만 시켜도 찌개는 그냥 나오구요, 생선도 큼지막해서 둘이 나눠먹기 배터지는곳입니다!\n        ']]",[],"
한정식 / 백반 / 정통 한식
",만원-2만원,없음,없음,의정부시
3,"메가커피
                                    (망월사점)",경기도 의정부시 호원동 458-11 그랑베르 아파트 104호,0,4095.0,0.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,의정부시
4,"화로상회
                                    (의정부점)",경기도 의정부시 호원동 454-36,0,8640.0,2.0,[],[],"
고기 요리
",만원-2만원,12:00 - 24:00,월,의정부시
5,싸리골,경기도 의정부시 호원동 227-9,0,7978.0,2.0,"[['맛있다', '\n          셋이서 보리밥(6천원)이랑 두부김치(만원)이랑 녹두전(만원)을 먹었더니 양도 맛도 딱이당 ㅎㅎ두부김치는 적절히 고기가 섞여있고 양념이 잘 되어있어서 엄청 감칠맛이 난당ㅎ 두부도 맛있당!\n'], ['괜찮다', '\n          둘이서 보리밥정식 6천원 2인에 녹두빈대떡 만원을 먹었당 ㅎㅎ 보리밥정식은 그냥 그렇고 녹두빈대떡은 크기는 작지만 맛있음 ㅎㅎ\n        ']]",[],"
탕 / 찌개 / 전골
",만원-2만원,10:00 - 22:00,없음,의정부시
6,만두예찬,경기도 의정부시 호원동 450 미소프라자,0,1922.0,1.0,[],[],"
탕 / 찌개 / 전골
",만원-2만원,10:00 - 22:00,없음,의정부시
7,투셰링불곱창,경기도 의정부시 호원동 454-38,0,3836.0,1.0,"[['맛있다', '\n          깔끔한 내부와 친절한 서비스 모두 만족스러웠습니다곱창 냄새도 안나고 맛있어요볶음밥 먹을때 꼭 치즈 추가해서 드세요 ㅎㅎ\n        ']]",[],"
고기 요리
",만원-2만원,없음,없음,의정부시
8,미니스트리오브커피,경기도 의정부시 호원동 466-2,0,2197.0,0.0,[],[],"
카페 / 디저트
",만원 미만,11:00 - 19:00,"토, 일",의정부시
9,카페벨라스,경기도 의정부시 호원동 462-36,0,544.0,1.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,의정부시
