,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,핫피자앤버거,경기도 동두천시 보산동 429-33,4.2,12611.0,12.0,"[['맛있다', '\n          치즈 러버에게 맞춤 피자!어린이 입맛인 나는 치즈를 좋아한다. 그래서 남아서 냉동된 피자를 해동할 때는 추가 모짜렐라 치즈를 뿌려서 녹일 정도이다. 그런데 동두천에 치즈가 철철 흐른다는 피자집이 맛있는 녀석들에 나왔다고 해서 방문!솔직히 동두천의 식당에 손님이 많으면 얼마나 많겠어 했는데… 테이블이 적고 피자가 나오는데 시간이 걸려서인지 몇 시간이나 대기가 필요했다. 하지만 여기까지 왔는데 피자를 먹지 않을 수 없어서 테이크 아웃으로 결정! 콤비네이션 피자를 시켰는데 역시 치즈가 많이 들어있다. 솔직히 도우는 맛있는 편이 아니었는데 치즈가 모든 단점을 무마시켜주었다고 할 수 있다. 함박눈이 쌓인 것처럼 폭신하게 쌓인 치즈의 풍미가 돋보이는 피자였다.\n        '], ['맛있다', '\n          치즈가 완전 듬뿍~ 사이즈도 대빵~ 아메리칸 스타일 피자!저는 이태리식 화덕피자를 선호하는 편이지만, 한번씩은 이런 아메리칸 스타일이 생각날 때도 있더라고요. 예전에 맛있는 녀석들에서 보고 가고싶다 눌러놨다가 기회가 되어 포장해서 집에 와서 먹어봤습니다.식은 피자를 다시 데워먹으면 맛이 괜찮을까 싶었는데, 치즈가 워낙에 많아서 그런지 데워먹어도 맛있었습니다. 도우는 다시 데우면 좀 딱딱해지는 감이 없지 않지만, 치즈의 맛으로 먹는다 생각하면 충분히 훌륭합니다.원래는 가게에서 먹으려고 했었는데, 대기가 1시간 이상이라고 해서 ㅜㅜ 다른 곳에서 점심을 먹고 포장주문을 미리 하고 카페 갔다가 저녁으로 먹으려고 사들고 왔어요. 막상 가게 안에는 테이블도 많지 않고 손님이 그리 많지 않았는데, 포장 주문이 많은지 대기가 엄청 길었습니다.아주 일찍 가거나, 대기시간을 고려해서 동선을 짜는게 좋을 것 같습니다.\n        '], ['맛있다', '\n          신선하고 맛있어요♡\n        '], ['맛있다', ""\n          [치즈가 흘러넘치는 피자 그보다 더 맛있는 햄버거]맛있는 녀석들에 나와서 워낙 유명한 곳이번이 두 번째 방문인데 신랑은 이곳의 피자를 좋아하고나는 이곳의 햄버거가 참 좋다코로나로 오랜만의 방문에 포장해서 먹었는데피자는 확실히 치즈가 줄줄 흘러내리는 광경을 마주하려면 매장에서 먹어야한다. 피자 자체가 안에 토핑이며 특별날 것은 없지만 엄청난 양의 치즈자체가 특별한 곳. 개인적으로는 그보다도 이 집 햄버거를 참 좋아하는데입맛은 사람마다 다르겠지만 간혹 이 집 햄버거가 피자에 비해서 평범하다는 평을 보면 괜히 내 마음이 아쉽더라'이 집 햄버거 맛있는데'수제버거 느낌 낭낭한 햄버거는양파와 토마토 패티 양상추의 조합까지 참 맛있어서포장해서 집가는길에 다 먹었다신랑은 피자먹으러나는 햄버거 먹으러 오는 곳!\n        ""], ['맛있다', '\n          씹히는 재료 식감도 넘 좋고 맛있어요! 입안 가득 치즈가!\n        ']]","[['콤비네이션피자', '25,000원'], ['소불고기피자', '25,000원'], ['새우피자', '25,000원'], ['치즈토마토스파게티', '11,000원'], ['치즈버거', '7,000원']]","
이탈리안
",만원-2만원,없음,없음,동두천시
1,오륙하우스,경기도 동두천시 보산동 430-8,4.1,6891.0,7.0,"[['맛있다', ""\n          예상외의 버거 맛집미군 부대 앞의 50년된 집이다. 경양식이 메인이긴 하지만 나는 버거를 시켰다. 이름도 킹버거! (사실 식당 앞 수족관에 랍스터도 있어서 처음엔 이 가게의 정체성에 대해 의문을 가지며 잘못왔나 싶었음)이게 왠걸 너무 맛있다. 빵도 일반 패스트푸드점용 같은데 패티의 육즙이 장난이 아니다. 양상추도 아삭하다. 소스는 특별한 수제소스를 사용하기 보다는 마요네즈를 더한 것 같은데 맛있다. 집에서 엄마가 만들어주는 햄버거의 느낌처럼 멋부리지 않고 기본에 충실한 느낌이다. '여기까지 누가 오나...'했는데 가족단위 손님들이 꽤 있고 비슷하게 버거나 56하우스 스페셜을 시킨다. 함박과 돈까스도 맛있는데 의외로 생선가스가 바삭하고 비린맛도 없이 맘에 든다.기대하지 않아서 그런지 만족감이 더 큰 대만족의 한 끼 였다.\n        ""], ['맛있다', '\n          동두천에서 50년이 넘었다는역사와 전통의 경양식집티비에도 여러번 나왔다고 해서동두천 가본 김에 찾아가봤음분위기는 나쁘지 않은데 좀 올드하기는 함주차는 식당 바로 옆에 큰 주차장 있어서 되고토요일 점심때라 손님이 많은데직원 한 명이 좌충우돌 하고있어서 안타까웠음랍스타가 메인메뉴인것 같기는 한데 가격이 좀 있고감자튀김은 그냥 흔히 파는 시판 감자튀김의외로 버거가 맛있음스파게티는 음식 주문하면 애피타이저로 나옴한번쯤은 동네 명소 기분으로 가볼만함\n        '], ['맛있다', '\n          * 한줄평 : Since 1969, 동두천 반세기 경양식당1. 미군부대가 주둔 중인 경기 북부의 동두천시는 다민족 국가인 미국의 다양한 식문화와 한국 특유의 식문화가 결합하여 다양성과 개방성이 넘쳐나는 곳이다. 한때 미군 부대에 공여되었던 부지의 면적이 동두천시의 42%에 달했는데 이 공여지의 중심이 되었던 곳이 바로 현재 동두천 외국인 관광특구로 불리는 <Camp Bosan>이다.2. 1호선 지하철 보산역을 기준으로 월드 푸드 스트리트를 지나 끄트머리로 가면 <56 House>라는 상호로 2대째 반세기 넘게 성업 중인 경양식당을 만날 수 있다.3. 미8군 제2사단 케이시 캠프, 미군부대내 식당에서 근무하던 <오륙하우스>의 1대 창업주가 부대를 나와 식당을 창업한 시기가 1969년이다. 한국전쟁의 상흔이 채 가시지 않았기에 가족 생계에 대한 가장의 책임감이 지금보다 훨씬 무거웠던 시절이다. 그래서 그런지 1대 창업주는 <오씨네 여섯가족>이란 의미를 담아 <56 House>로 상호를 정한다.4. 이 식당을 이야기함에 있어 빼놓지 않고 언급되는 부분이 바로 식사 메뉴를 주문하면 ‘샐러드와 마늘빵, 고소한 양송이 스프와 스파게티’까지 제공되는 Full Couse 식단이다.그러나 음식 문화사를 좇아다니는 이들이 더 귀하게 여기는 메뉴는 바로 이 집의 <햄버거>이다.5. 지금이야 프랜차이즈 버거의 종류도 다양해진데다 골목마다 자리잡아 어렵지 않게 만날 수 있다지만 <국내 프랜차이즈 버거의 시초는 1979년> 롯데가 서울 중구 소공동에 롯데리아를 개점하면서 부터이다. 국내에 햄버거라는 음식이 <최초로> 등장한 무대는 주한 미군부대의 식당인데, 오륙하우스의 창업주가 미군부대 밖 한국인도 경험할 수 있도록 프랜차이즈 버거보다 무려 10년이나 빨리 1969년 개업한 식당에서 메뉴를 선보였으니 이는 분명 맛과 의의를 동시에 찾아다니는 미식가들이 좋은 경험을 할 수 있는 식당이라 할 수 있다.6. 미국 본토의 햄버거와 세계적으로 유명한 쉐프의 햄버거까지 두루 경험할 수 있는 시대이다 보니 삼립에서 만든 햄버거번과 투박한 패티가 대단한 맛은 아닐 수 있겠으나 경양식당이 부흥했던 1980년대 초중반 시대를 경험했던 이들에겐 굵직한 소고기 패티와 양상추, 계란후라이와 토마토, 치즈등이 들어간 당시의 햄버거는 놀라운 식문화 경험이었을게다.7. 스파게티까지 식전메뉴로 제공되는데다 함박과 돈까스, 생선까스와 새우구이가 제공되는 정식에 담긴 정성도 훌륭하다.8. 분식집 돈까스는 연육 과정을 거친다며 돈육등심을 너무 심하게 펴대서 고기는 얇고 튀김반죽과 빵가루는 두터운 경우가 많은데 이 집의 돈까스는 고기의 존재감이 확실하다. 하지만 식당의 경양식 대표 선수들이 다 올라온 접시 음식 중 가장 훌륭했던 것은 <생선까스>이다. 대구가 아닌 동태를 사용하여 식감이 단단하여 씹는 맛이 좋고 직접 만들었다는 타르타르 소스와의 어우러짐도 브라운 소스와 돈까스보다 한수위라는 것이 내 주관적인 평가이다.# 추가잡설국내 햄버거 프랜차이즈가 도입된 시기인 1979년은 국민소득이 1.4천불이었고 연간 가구당 외식 비용이 5만원에 불과했던 시기이다. 이후 1984년 KFC가 종각에, 버거킹이 탑골공원 맞은편에 1호점을 냈고, 뒤따라 맥도날드가 1988년 압구정에 둥지를 틀며 국내 프랜차이즈 버거의 시대가 시작되었다. 마케팅 관점에서 시장의 선점 효과는 매우 높아 과감하게 햄버거 프랜차이즈를 국내 도입한 롯데리아는 40여년간 프랜차이즈 지점수에서 선두를 빼앗기지 않았더랬다. 참고로 현재 햄버거 프랜차이즈 지점수 기준 왕좌에 앉은 이는 싸이버거라는 불세출의 명품 버거를 갖고 있는 <맘스터치>이다.* 본 글의 전문은 카카오 브런치 https://brunch.co.kr/@ochan/54 에서 확인하실 수 있습니다.\n        '], ['맛있다', '\n          밖에서 보면 90년대 경양식 레스토랑 딱 그 느낌입니다.안으로 들어서면 바닷가재들이 수족관에 꽤 많이 있습니다. 오잉?했는데 메뉴판을 보니 랍스터 요리가 있네요. 수족관에 꽤 많은 바닷가재들이 있었는데.. 랍스터 메뉴가 인기가 많은가 봅니다. 저는 가벼운 점심식사를 위해 방문했으니, 함박스테이크, 돈까스, 생선까스를 다 맛볼 수 있는 정식 메뉴와 킹버거를 주문했습니다.정식메뉴는 돈까스는 의외로 그저 그랬고, 함박스테이크와 생선까스가 좋았습니다. 특히 생선까스는 오랜만에 먹으니 맛있네요. 그리고 재밌는 점은 구운 새우가 올려져 있다는 점. 바닷가재도 그렇고.. 해물 재료를 은근히 사용하는 느낌이네요.정식 메뉴는 예상했던대로 평범했는데, 킹버거가 의외로 맛있어요. 고급스러운 수제버거의 느낌은 아니지만, 기대를 뛰어넘는 맛이었습니다. 전에 평택 미군기지 근처에서 햄버거를 맛있게 먹은 기억이 있는데, 미군기지 근처에서의 햄버거는 다들 어느 정도 이상은 맛이 있는 것 같군요.주말 점심 때 드라이브 겸 들러보기 좋은 곳입니다.\n        '], ['맛있다', '\n          아늑하며, 친절하십니다. 돈까스정식을 주문하면 코스요리처럼 나와서 레스토랑에 온 재미를 느낄 수 있습니다. 수제햄버거도 맛있기 때문에 햄버거도 좋아하신다면 꼭 드셔보시길 추천합니다.\n']]",[],"
기타 양식
",없음,11:30 - 21:00,수,동두천시
2,호수식당,경기도 동두천시 생연동 613-44,4.0,25363.0,19.0,"[['맛있다', '\n          재방문 의사 : 중부대찌개 (9000₩): 다른 부대찌개 집보다 확연히 소세지와 햄 함량이 높다. 요약하자면 짭짤함, 감칠맛, 향이 강한 부대찌개다. 더 자극적인 부대찌개를 먹고 싶다면 추천. 가격도 이정도면 매우 무난하다.\n        '], ['맛있다', '\n          수많은 아류작이 있음에도 역시 원조의 깊이를 따라갈수 가 없다..최고입니다\n        '], ['맛있다', '\n          굿배터지게넉고옴요\n        '], ['맛있다', '\n          동두천 부대찌개집중 가장 맛있는 곳이라 하여 찾아감.사람이 많긴 하지만 좌석들이 거리감이 있고 방문명부도 작성하고 해서 코로나에도 걱정없이 식사를 즐길 만한 장소같다.흔히 먹던 프랜차이즈 부대찌개보다 국물이 가볍고 깔끔하면서도 조화로운 맛\n        '], ['맛있다', '\n          지인 추천으로 먼길 차끌고 가본 맛집. 맛도 맛이지만 내용물이 푸짐한게 너무 좋았어요. 근처에 갈 일 생기면 다시 한번 가보고 싶네요.\n        ']]","[['부대찌개', '8,000원'], ['부대볶음', '9,000원']]","
탕 / 찌개 / 전골
",만원 미만,10:00 - 22:00,일,동두천시
3,핫피자,경기도 동두천시 생연동 542-14,0.0,10681.0,10.0,"[['별로', ""\n          맛집인스타 : @tastekimsolo직장 점심 로테이션도 한계에 달한 때, 색다른 걸 먹고싶어 보산역 근처 피자집을 방문했다. 맛있는 녀석들에도 소개된 가게다.가게는 전반적으로 복고풍이다. 컨셉이 아니라 진짜 오래된 노포의 느낌이 물씬 나는 편.콤비네이션 피자는 다른 피자집과 비교하면 치즈를 두배는 올린 느낌이다. 쭉 늘어나는 비쥬얼이 압도적이고, 당연하지만 치즈로 입이 꽉 찬다. 이정도면 치즈피자로 불러도 되겠다.다만 토마토 소스나 버섯, 고기 등 전체적인 양념은 심심한 편. 도미노나 피자헛 등 배달 피자에 익숙하다면 '싱겁다'는 느낌을 받을 수도 있는 맛이다.피자 자체보다는 서빙에 아쉬움을 많이 느꼈다. 가게에 두번째로 들어갔는데, 피자는 고사하고 그릇 세팅에만 30분이 걸렸다.앞 테이블이 피자와 사이드 메뉴가 모두 나오고 나서야 테이블이 세팅되고, 그제서야 우리 피자가 구워졌다.웨이팅이 있었다면 포기라도 했을텐데 앉아서 대기하는 입장에선 한숨을 쉴 수 밖에 없었다. 점심에 찾는다면 꼭 미리 예약하고 방문할 것.  가격 : 콤비네이션 피자 24000\n        ""], ['맛있다', '\n          프랜차이즈 피자집에서는 먹기힘든 풍부한 맛. 파스타도 듬뿍 들어간 재료로 가성비 좋고 치즈버거도 프랜차이즈따위와는 비교하기 힘듦.한번 정도는 찾아갈만 해요 ㅋ 치즈가 진짜 많아서 좋아요\n        '], ['괜찮다', '\n          이제 막 피자헛이 우리나라에 생겨날쯔음. 피자는 배달음식이 아닌 어쩌다 한번 먹는 외식 음식이던 시절. 뜨수운 아랫목에서. 쪼꼬만 사촌들과 옹기종이 모여 앉아. 내 손바닥보다 큰 피자 조각을 들고. 피자 위 올려진 까만 올리브도 마냥 좋았던. 그때 그 시절에 먹던 피자 맛.세월이 흘러 미식의 기준이 변하고. 피자 프랜차이즈들도 유행에 따라 맛이 변했지만. 여긴 그때의 맛이 지금도 유효하다.  크런키한 도우에. 입에서 줄어들줄 모르는 치즈도. 요즘 맛집이라 불리는 피자의 맛의 기준은 아니지만. 괜시리 뭔가 찡해지는 한국 피자다.\n        ']]",[],"
기타 양식
",만원-2만원,12:00 - 24:00,없음,동두천시
4,삼복횟집,경기도 동두천시 생연동 583-22,0.0,9591.0,5.0,"[['맛있다', '\n          생일에 가족들과 다녀왔습니다\u200d♀️음식도 다양하고 정갈하고 너무 맛있었습니다!!\n        '], ['맛있다', '\n          시부모님이랑다녀옴굿\n        ']]",[],"
해산물 요리
",2만원-3만원,10:00 - 23:00,없음,동두천시
5,그집순대국,경기도 동두천시 생연동 219-4,0.0,8297.0,10.0,"[['맛있다', '\n          새콤 달콤한 양파&채소와 함께 먹는 순대 진짜 맛있어요ㅠㅠ볶음도 맛있고 얼큰 순대국도 맛있고하얀 순대국 국물도 예술입니다. 담백하고 순대도 실하니 괜찮고 맛나요 ㅋ 해장으로 좋네요\n        '], ['맛있다', '\n          인생 토종순대.지금까지 먹어 본 토종순대 중에 가장 맛있고 양도 많고 심지어 같이 곁들어 먹는 양파무침이 너무너무 맛있다. 최소 이러한 조합을 개발하신 분은 천재가 아니냐며 이야기했고 여름 겨울 가리지 않고 거리불문 찾아간다. 이 후 토종순대에 맛이 들려 순대국 맛집을 검색하며 순대국집에 가서 토종순대만 먹는 삶을 살았으나 여기만큼 양도 많고 맛있는 곳은 없었다. (새콤 달콤 양파무침이 진짜 신의 한수 순대 100개도 넘길 깔끔한 곁들임)그 집 순대국이 워낙 유명하다보니 근처에 유사한 상호명을 가진 순대국집이 많으니 꼭 확인하고 가야한다. 지금까지 순대는 군내 나는 존재였으나 토종순대를 먹고 순대에 대한 기준이 바뀌어버림. 코로나로 위험한 요즘에는 심지어 포장해와서 먹는데 맛있는 김치를 잔득 먹지 못한다는 아쉬움은 있다.개인적으로는 하얀 순대국이 좋고, 빨간 순대국은 다대기맛이 확 느껴져 그냥 평범하다 느껴졌다. 워낙 유명해서 각지에서 찾아오는 곳. 나중에 집들이때 딱 이 구성으로 안주로 내놓고 싶을 정도. 순대국 8,000원 토종순대 10,000원 \n        '], ['맛있다', '\n          진짜 너무너무 맛있어요. 고기도 부속고기는 거의 걷어내고 먹는 순대국 그냥 그런 1인인데, 비 오는날 갑자기 토종순대가 먹고싶어서 방문했어요.일단 토종순대 꼭 드세요. 이거 먹고 나면 그냥 일반순대는 맛이 없다 느껴져요. 순대국 안에 일반순대 토종순대 반반 섞여있는데 진짜 토종순대 먹고나면 일반순대 못 먹습니다. 순대 자체만으로도 맛있는데 같이 나오는 양파무침이 진짜 환상의 케미에요. 순대는 따뜻 양파무침은 시원 새콤하니 왜 순대에다가 이렇게 겉들여 먹을 생각을 못했을까 했습니다. 그리고 순대국 저는 얼큰말고 맑은게 훨씬 맛있었어요. 국물이 맑고 누린내도 없고 약간 사골먹는 느낌으로 먹었어요. 양 많을거라 생각했는데 둘이가서 순대국2에 토종순대 다 먹고 말았습니다. 그렇다고 양 적다는거 아니고 순대국 자체만으로도 양 엄청 많고 토종순대도 양 많아요. 맛있어서 다 먹은 것! 멀리서도 찾아오는 이유를 알 법한 곳이에요. 먹는 내내 손님도 많고 포장도 많더라구요. 개인적으로 손님많아서 재료 회전도 빠른걸 좋아하는편. 참고로 망플에 올라와있는 주소에서 근처로 크게 이전했어요. 네이버 검색으로 나오는 주소가 맞는 주소에요. 이전주소지로 찍고가니 거기도 순대국집이라 잘못 찾아가시는 분들도 있을듯요. \n        '], ['맛있다', '\n          와, 리뷰 있을 줄은 알았지만 지방 맛집이라 설마했는데 진짜 있네요!! 역시 망플...여기 진짜 맛있어요. 최근 먹은 순대국&순대 중 최고.""토종순대(10,000)""는 잡내 없이 쫄깃+담백한 느낌이고곁들이 짱맛 양파절임 맛이랑 잘 어우러져서 좋았어요.양파절임 양념이 뭔가 간장 베이스 같은데 상콤짭짤달콤 감칠맛이 도는 게 진짜 너-무 맛있더라구요.한 접시 다 먹고도 지인들이랑 한 접시 더 싸가자고 이야기했습니다. ㅋㅋㅋㅋ""순대국(8,000)""도 국물 진하고 맛있어요. 잡내 없이 고소한 토종순대+찰순대가 들어가서 전체적인 맛, 식감 모두 만족스러웠습니다.들깨와 청양고추를 추가적으로 더 넣으니 더 고소+얼큰해져서 좋았어요.보니까 포장 손님도 되게 많던데인기 있는 곳은 확실히 그럴만한 이유가 있는 거 같아요.\n        '], ['맛있다', '\n          제가 먹어본 순대국 집 중에 가장 맛있는 곳. 어릴때부터 멀리 차끌고 와서 먹었던 단골 집입니다. 관광객은 없는 현지사람들의 로컬 맛집이라고 해야하나요. 서울에서도 이 집 만큼 맛있는 순대국 없었어요. 비린내나 돼지잡내도 없고 깔끔한 돼지고기의 맛이예요. 그런데 종종 간이 들쑥날쑥합니다. 저는 새우젓 간을 직접 해먹는게 좋아서 밍밍하게 나오는게 좋은데 어느날은 간을 안해도 될 정도로 딱 알맞게 나오고 어느날은 밍밍하고.. 지역물가 고려하면 비싼편이지만 그만큼 맛있고 양도 푸짐해요. 포장해서 집에서 먹기도 하고 외식할때 주로 가는 곳입니다.\n        ']]","[['토종순대', '10,000원'], ['순대국', '8,000원'], ['머릿고기', '15,000원']]","
탕 / 찌개 / 전골
",만원 미만,08:30 - 22:00,월,동두천시
6,으뜸만두,경기도 동두천시 생연동 609-20,0.0,2881.0,2.0,"[['맛있다', ""\n          @insta : tastekimsolo만두 귀신인 내게 이보다 더 좋은 점심메뉴 픽은 있을 수 없다.⠀동두천 중앙시장 안에 있는 만두 전문점이다. 시장스러운 투박한 가게만큼 우직하고 직관적인 만두 맛이 돋보였다.⠀튀김만두는 야끼잡채만두와 김치만두 반반으로 주문했다. 바삭하게 씹히는 기름 살~짝 먹은 피가 구수하고, 꽉찬 속의 감칠맛이 뒤따라온다. 김치만두 퀄리티는 경탄스러울 정도다.⠀고기찐만두도 매력있다. 생각보다 슴슴하고 담백한 맛인데, 직접 빚어만든 피와 소가 그래서 더 돋보인다. 겨우 4천원에 10개나 쌓아주는데, 먹어도 먹어도 속이 편안하고 느끼하지 않다.⠀튀김만두가 강하게 맛을 주장한다면, 고기 찐만두는 은은한 집밥의 맛이다. 난 찐만두가 더 좋았다.⠀칼국수는 면의 굵기가 제각각이라 '칼국수'라는 이름에 퍽 어울린다. 묘하게 수제비를 연상하는 식감의 면에 깔끔하고 깊은 국물에 속이 시원하게 풀린다.⠀시장의 푸근함에 맛을 겸비한 곳이라 앞으론 많이 찾을 듯 하다.\n""], ['맛있다', '\n          *재방문의사80%동두천 중앙시장에 위치한 30년 넘게 장사한 토박이 만두+분식집.제목과 같이 수제만두 전문점으로 유명한 으뜸만두. 찐만두 튀김만두가 유명하며쫄면과 만두국 , 비빔밥등의 메뉴를 오랜시간 판매해온 집. 같은 시장내 정육점과 야채가게등에서 사입한 좋은 재료로 만든 음식들을 판매.다른곳에서는 잘 취급하지 않는 잡채만두(당면으로 소를 쓰는 만두)가 있어 신기했고 튀긴 만두와 쫄면의 조화가 참 좋았다 친절한 직원들도 즐거운 식사에 한 몫함.동두천 방문하실일 있을 때 중앙시장 구경겸 간식드시러 가보시면 좋을만한 곳.\n        ']]",[],"
한정식 / 백반 / 정통 한식
",만원 미만,없음,없음,동두천시
7,스위트로빈,경기도 동두천시 보산동 426-5,0.0,4371.0,5.0,"[['맛있다', '\n          맛집인스타 : @tastekimsolo세기말 분위기(?)가 나는 보산역 거리에서도 유독 튀는 보랏빛 건물에 있는 마카롱 가게다.맛집 좋아하는 동기가 추천해서 들렀는데, 보기에도 튼실한 뚱카롱이 가득하다. 카페는 목재풍의 차분한 분위기라 반전이 있다.순우유맛을 먹었는데 우유의 고소함이 선명하다. 튼실한 꼬끄와 아낌없이 들어간 필링이 담백해 좋았다.크렘 브륄레는 꼬끄 겉면에 설탕 알갱이 흩뿌려진 비쥬얼 외엔 살짝 필링이 느끼한 편이다. 원본 디저트를 생각하지 않고 먹으면 괜찮은 편.회사 근처였다면 많이 가서 살쪘을 것 같은 가게다. 동두천에 이런 가게가 드물기도 하지만, 마카롱 자체로만 봐도 웰메이드. 가격 : 마카롱 2800 / 아메리카노 3800\n        '], ['맛있다', '\n          까눌레가 진짜 맛집이에요 까눌레 꼭 드세요. 매장은 좀 좁은감있지만 인테리어나 소품 신경 쓴 티가 나요. 잘 잡으면 사진 이쁘게 나올수 있습니다.+) 배민도 있는데 자주 열리는거 같진않아요. 아쉽네요.마카롱도 인생맛 ㅋ\n        '], ['맛있다', '\n          앤티크한 무드. 마카롱이 맛있다\n        ']]",[],"
카페 / 디저트
",만원 미만,11:00 - 22:00,화,동두천시
8,커피닮다,경기도 동두천시 생연동 570-12,0.0,2884.0,1.0,[],[],"
카페 / 디저트
",만원 미만,월-토: 10:00 - 22:00 일: 14:00 - 22:00,없음,동두천시
9,하스케밥,경기도 동두천시 보산동 414-26,0.0,4214.0,5.0,"[['맛있다', '\n          재방문 의사: 중도너 케밥 6000: 빨리 나오고 맛이 균형 잡혀있음. 하지만 고급스럽거나 깊은 맛은 아님. \n        '], ['괜찮다', '\n          고기를 그릴에 뎁혀서 주는거 좋습니다.그러나 상추는 로메인 또는 양상추를 넣어줬으면 좋았을텐데.\n        '], ['맛있다', '\n          내용이 알차고 양고기에서 냄새 안나네요. 매콤한 걸 원한시면 주문시 더 매콤하게 해달라고 이야기 하면 됩니다.음료중에 코크가 없어서 아쉽습니다. 캠프 케이시 근처라 미군들 많이 오는 듯. 한 쪽 벽면이 사진으로 가득 장식되어 있습니다. 주차는 가게 뒷 쪽에 주차 공간 있습니다.\n        ']]",[],"
세계음식 기타
",만원 미만,없음,없음,동두천시
