,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,소요산신흥,경기도 동두천시 상봉암동 12,0,6901.0,3.0,"[['괜찮다', '\n          맛있게 먹었다 괜찮다를 주려다가 아주 고급 레스토랑은 아니기에 다운그레이드해서 점수를 드린다 하지만 열살 일곱살 아이들 다들 너무 맛있어했고 어른둘도 아주 만족스러웠다 숯불고기 간장맛 일인분 고추장맛 일인분 공기밥 이렇게 시켰는데 먼저깔리는 나물가짓수도 많지만 어느것 하나 새콤달콤 안맛있는게 없었다 고기도 직접 구워먹는게 아니라 잘 구워서 나오는데 특히 어린애들있는집은 너무 좋을것같다 서비스도 싹싹하고 센스있으시고 기분좋게 먹었다 업력도 사십년이상되신것같다 열심히 사십년동안 연구개발하고 끊임없이 노력하시는게 느껴졌다 송어회를 희안하게 하시던데 아마도 가짓수 늘리기가 아니라 전문메뉴를 그렇게 정하셔서 꾸준히 해오신것같다 재방문의사 이백퍼\n        '], ['괜찮다', '\n          송어회 먹었는데 약간 수돗물 맛이 나서 별로였지만 종업원 분들이 너무 친절해서 좋았습니다.\n        ']]",[],"
고기 요리
",만원-2만원,10:00 - 21:00,월,동두천시
1,유경참나무장작구이,경기도 동두천시 상봉암동 140-9,0,4189.0,2.0,[],[],"
닭 / 오리 요리
",만원-2만원,11:00 - 22:00,월,동두천시
2,카페파우스,경기도 동두천시 상봉암동 131-1,0,2710.0,1.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,동두천시
3,소요육면가,경기도 동두천시 상봉암동 131-14,0,2158.0,1.0,[],[],"
정통 중식 / 일반 중식
",만원 미만,없음,없음,동두천시
4,조선곰탕,경기도 동두천시 상봉암동 172-8,0,2128.0,2.0,[],[],"
탕 / 찌개 / 전골
",만원 미만,06:00 - 22:00,없음,동두천시
5,명품한우축산물식당,경기도 동두천시 상봉암동 137-10,0,2871.0,1.0,[],[],"
고기 요리
",만원-2만원,11:00 - 22:00,없음,동두천시
6,산들에두부마을,경기도 동두천시 상봉암동 131-10,0,1896.0,0.0,[],[],"
한정식 / 백반 / 정통 한식
",만원-2만원,10:00 - 20:00,없음,동두천시
7,동천골,경기도 동두천시 상봉암동 140-6,0,1605.0,0.0,[],[],"
탕 / 찌개 / 전골
",만원 미만,11:00 - 21:00,수,동두천시
8,넓은공간,경기도 동두천시 상봉암동 8-4,0,1460.0,0.0,[],[],"
일반 주점
",없음,09:00 - 23:00,없음,동두천시
9,"다래현
                                    (소요산점)",경기도 동두천시 상봉암동 131-8,0,1370.0,0.0,[],[],"
정통 중식 / 일반 중식
",없음,없음,없음,동두천시
10,오가네소머리국밥,경기도 동두천시 동두천동 367-2,0,621.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
11,비바랜드,경기도 동두천시 상봉암동 131-33,0,609.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
12,선우면옥,경기도 동두천시 상봉암동 140-6,0,486.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,동두천시
13,위드나잇매니악,경기도 동두천시 상봉암동 75-1,0,283.0,0.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,동두천시
14,소요단팥빵,경기도 동두천시 상봉암동 132-3,0,132.0,0.0,[],[],"
베이커리
",만원 미만,없음,없음,동두천시
