,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,닛시스시,서울시 동대문구 이문동 237-101,0,4273.0,7.0,"[['괜찮다', '\n          포장초밥치곤..오마카세를 하던 곳이라 기대를 많이했는데 포장은 생각보다 별로..ㅋㅋ 포장초밥치곤 가격도 꽤 나가는데 별로 만족스럽지 않았어요 전갱이, 시메사바, 삼치, 전어, 잿방어 등 다른 초밥집에서 보기드문 어종이 많은건 좋았으나 맛이 없음ㅋㅋ 고등어랑 전어는 특히 비리더라구요그냥 은행골 초밥이나 포장해먹는게 훨씬 만족스러웠을거같아요 오마카세 후기는 괜찮아보이던데 포장은 아예 다른 재료를 쓰나봐요 포장은 추천드리지 않아요\n'], ['맛있다', '\n          런치 오마카세 250002021년 3월에 새로 인테리어하고 메뉴도 리뉴얼 하신걸로 알고있다, 그래서 이전 리뷰보다 다찌가 훨씬 고급스럽고 좌석도 꽤 넓음 정말 너무 맛있고 가성비도 미친 오마카세메뉴 구성도 알차고 다양하게 준비해주셨고 무엇보다도 맛이 있어 완벽한 한 끼였다다 너무 맛있었지만, 특히 기억에 남는거는 건 생참치 속살 (아카미 즈케... 즈케 인것같다! 속살이라고만 얘기 해 주셔서 장담 못함 ㅎㅎㅎ)이랑 마지막에 나오는 아나고!참치는 구성에 따라서 안 나올 수도 있을것 같지만, 정말 산미 향 감칠맛 부족한게 없었다!! 간장향도 참치부위랑 궁합이 너무 잘 맞아서 엄청 맛있었다 아나고는... 여기서 식사를 하는 이유가 될정도! 퐁실퐁실 부드럽고, 달고, 너어어어어무 맛있었다! 내주시기전에 토치로 데워주시는데, 먹기 딱 알맞은 온도로 데워주신다 (본인은 다른곳에서 한번은 너무 식은 아나고, 한번은 너무 갓 튀겨 뜨거운 아나고를 먹어서 - 이렇게 온도를 잘 맞춰 주신게 감동 포인트였다)흑 ㅠㅠㅠ 진짜 너무 맛있어그리고 쉐프님이 입맛에 잘 맞나고 중간에 확인도 해 주시고, 친절하셨음 다음엔 디너를 먹어봐야겠다!영수증 받아오는거 깜박해서 네이버 리뷰를 못써서 슬픈 마음에 망플에 리뷰 올림 ㅠㅠㅠ 진짜 와... 못해도 달에 한번은 먹으러 가야하는 맛  \n        '], ['괜찮다', '\n          맛과 질      : 29/40  가격/가성비: 17/20 위생/서비스: 16/20위치/분위기: 6/10개성          : 6/10총점      74/100 재방문 : NO주문메뉴 : 저녁 오마카세동대문구에서 2.5의 싼 가격대 오마카세를 운영하는 스시야가 몇 곳 있는데....신이문역 근처에 있는 ""닛시스시""를 가봤습니다.가격대가 저렴하다보니....이지역 주변에서 배달이나 포장을 하는 손님도 많은거 같구요~작은 매장이여서 홀 손님은 미리 예약으로 운영한다고해서 예약하고 첫타임에 방문했어요.내부가 깔끔한 느낌은 아니여서 좀 아쉬웠지만 가격대가 그러니 이해하며 음식을 기다렸어요.광어, 도미뱃살, 광어지느러미, 방어, 참치속살, 고등어,참치뱃살, 단새우,오토로&우니, 계란, 한치, 연어아부리, 방어&연어 미니덮밥 순으로 나와서 구성은 가격대비 괜찮은 느낌이였어요~하지만 초밥을 쥐는분은 한분이며 서빙하시는 여성분이 계시긴하지만, 배달, 포장, 홀을 커버하기엔 좁은 식당내에서 너무 정신없는거 같아요~생선들 대부분 괜찮은 상태였는데...우니는 유난히 좀 비릿하고 쓴맛이 나서 아쉬웠네요. 그냥 가볍게 스시를 먹기에는 무난하지만, 비슷한 가격대에 좀더 깔끔하게 먹을 수 있는 스시야도 있다보니 개인적 취향에선 살짝 밀리는 느낌이네요~가까우신 분들은 한번쯤 경험해보는것도 나쁘지않습니다.\n        '], ['맛있다', '\n          무조건 믿고 가는 곳입니다. \n        '], ['맛있다', '\n          저렴하지만 진짜 맛있고 무엇보다재료 질이 좋아요!플러스 셰프님께서 항상 웃으시면서기분좋게 접대해주세요집 근처에 있으면 매주 갈거같아요!\n        ']]",[],"
회 / 스시
",만원-2만원,없음,없음,동대문구
1,서울쉬퐁,서울시 동대문구 이문동 220-337,0,4379.0,2.0,"[['맛있다', '\n          집 앞에 있는 쉬폰 케이크 전문점인데, 너무 가깝다 보니 이제야 리뷰를 남기네요. 얼그레이 쉬퐁이 5000원! 생크림은 서비스! 혼자 조금 먹다가 가족들이랑 나눠먹어야지 했는데 너무 맛있어서 혼자 다 먹어버렸읍니다.... ㅎㅁㅎ (자주 있는 일)그리고 레몬치즈 타르트도 먹었는데, 상큼하고 부드럽고 ㅠ 넘 맛있어요!집 앞이니 만큼 자주자주 애용할 생각입니다!\n        '], ['괜찮다', '\n          신이문역 근처 아파트단지 인근에 오픈한지 1달?정도 된 베이커리 카페 ""서울 쉬퐁""상호명에서 보듯 쉬폰케익이 대표메뉴이며~ 다양한 종류의 타르트와 쿠키~ 식빵도 있으며 티라미수와 초코무스도 준비되어 있었다.제과기능장과 바리스타 각각 별도로 계신듯하고~ 좋은 유기농재료를 사용하는듯 자부심이 대단하다 느껴졌다.쉬폰이나 타르트는 작은사이즈부터 큰사이즈 까지 다양하게 판매하고 있었다.얼그레이쉬폰 (초미니 4,500원)(미니 5,500원)쉬폰은 개인적으로 만족해서 추천할만한 메뉴!! 상당히 부들부들 촉촉해서 입안에서 부드럽고~ 얼그레이향도 강하지않게 적당한 수준이라 부담 없을듯.밤식빵, 치즈식빵 (각 4,000원)그냥 괜찮은 수준의 빵집에서 먹을정도? 크게 놀랍게 남다르거나...내용물이 많이 들어있는 멋진 모습은 보질 못했음. 그냥 적당히 먹을만한 정도.피칸, 에그 타르트 (소 2,500원)우선 타르트씬이 상당히 얇아서 만족스럽다.왠만한 타르트보면 씬이 두툼한데 여기는 자연스럽게 부숴질 정도의 얇은 씬이라 부드러운편이였으며, 피칸의경우 좋은벌꿀이나 메이플시럽을 사용했는지...많이 달지않으면서 깔끔했다. 에그타르트는 기억에 남는건 없지만 그냥 먹을만한 정도의 느낌. 개인적으로 피칸 승!!초코무스 (5,000원)바닥에 초코쉬폰이 깔려있는지 부드럽고 촉촉했고 그위에 무스가 진하면서도 물리지않게 깔끔한 단맛이라 괜찮았다. 맨위의 초콜릿도 무난무난~음료는 사먹질 않아서 모르겠지만...주변얘기로는 음료는 평범하다고하는데 기회되면 먹어봐야겠다.개인적으로는 상호명답게 쉬폰케익은 추천할만하다고 생각이 되고...그외에는 사람마다 호불호가 있을듯하다. 그래도 한적한 동네에 이런느낌의 베이커리가 있다는거에 만족.\n        ']]",[],"
베이커리
",만원 미만,09:00 - 21:00,일,동대문구
2,용궁,서울시 동대문구 이문동 180-8,0,585.0,3.0,"[['맛있다', '\n          신이문역 고가차도 아래에 위치한 중화요리 전문점.서민 음식점으로 저렴하면서 맛있다보니 지역 주민들이 많이 찾아오는 곳이다.식사 메뉴 외에도 각종 요리와 요일 및 세트 메뉴 등 다양한 메뉴가 있고 배달도 하는 곳이지만 이곳은 직접 홀에서 먹어야 제맛을 느낄 수 있고 탕수육, 짜장면, 짬뽕 등 중식당 기본 메뉴가 제일 맛있다. 주인 내외분 모두 친절하고 무엇보다도 착한 가격이 장점인 곳으로 매장에서 주문 시 식사 메뉴에 한하여 현금 결제일 경우 약간의 D/C를 해준다.단 오래된 노포 같은 분위기로 깨끗하지 않은 분위기의 점포로 위생적인 면에서는 아쉽게 느껴지는 점이 단점이라 하겠다.\n        '], ['맛있다', ""\n          이게이게 쭝국집이지!갑자기 칠리새우가 먹고싶어져 찾아간 이문동. 이문동 근처 주민들 단톡방에 탕수육 맛집으로 알려진 용궁.찾아보니 쿠팡이츠나 배민으로 배달 안 하심. 사장님이 직접 배달해 주시는데 배달팁도 안 받으심. ('우리가 언제부터 배달비를 내고 중국집을 시켜 먹었냐'던 형부의 말 ㅇㅇ... 마져... 그게 중국집이야 어디?)그릇도 다회용기라 딱 옛날에 (배달어플이 없던 시절) 시켜먹던 중국집 스멜이 퐈퐈~~짬뽕국물이 맛있어서 짬뽕을 안 시켜도 달라고 한다는 후기를 읽고 나도 짬뽕국물 부탁드림. 짬뽕국물 미쳤음ㄷㄷㄷ엄마가 해주는 오징어덮밥 향도 나고 진짜 제대로된 요리 먹는 느낌임ㅇㅇ 이대로 보낼 수 없다고 생각해 고이 냉장고에 모셔 뒀다가 다음날 밥말아 먹었는데 행복 그 자체였음bb원 목적이었던 칠리새우도 양 많고 서비스로 주신 군만두에 이 양념 찍어먹으면 극락 감.짬뽕을 아예 메뉴로 시켜먹어봐야겠다는 다짐과 함께 마무리!\n""], ['맛있다', '\n          짜장면 맛집이예요.탕수육  양이 엄청나고요, 예전부터 탕수육이 엄청 맛있어서 천안서 친정에 가게 되면 늘 먹고있어요.포장해서 할인받아 자주 먹네요.\n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,없음,없음,동대문구
3,능이마을,서울시 성북구 석관동 323-3,0,3611.0,2.0,[],[],"
닭 / 오리 요리
",4만원 이상,12:00 - 22:00,없음,성북구
4,이문동그집,서울시 동대문구 이문동 255-380,0,2998.0,3.0,"[['괜찮다', '\n          근처 지나가다 사람들 줄 서 있는거 보고 알게 된 집그래서 더욱이 기대가 컸나보다그냥 갓성비식당이네김치도 내 스타일이 아녔다ㅠ밑반찬이 전체적으로 아쉬움그래도 두명이서 차돌박이2 곱창전골2먹고 술까지 오마넌대에 클리어하니진짜 매력터지는 집!주말에 낮술하러 가긴 괜찮겠다\n        ']]",[],"
고기 요리
",만원-2만원,12:00 - 23:00,없음,동대문구
5,청담 짝태앤연어,서울시 동대문구 이문동 255-218,0,901.0,2.0,"[['괜찮다', '\n          회를 시키면 서비스 안주가 더 많이 나오는 듯한 동네 술집. 연어 사시미도 적은 듯 하지만 먹다보면 서비스 안주 덕에 양이 좀 찬다. 해물라면에 해물은 잔뜩 들었으나 물을 너무 많이 넣어서 밍밍해서 아쉬움. 동네에서 회에 술 한 잔 하기에는 괜찮은 곳\n        ']]",[],"
일반 주점
",만원-2만원,없음,없음,동대문구
6,"속초코다리
                                    (본점)",서울시 동대문구 이문동 251-5,0,468.0,1.0,"[['맛있다', '\n          동대문구 이문동 래미안 아트리지 아파트 건너편에 위치한 코다리찜 전문점맛집이 별로 없는 이 지역에서 나름 돋보이는 곳으로 코다리를 이용한 찜요리로 지역 손님들이 많이 찾는 곳이다. 코다리 외에도 해물 및 낙지볶음 요리가 있고 그밖에도 몇가지 식사 메뉴가 있다.여러 메뉴가 있지만 역시 이곳은 상호명 대로 코다리찜이 메인...사실 주문 후 막 나온 코다리찜 비쥬얼을 보았을 때 크지 않은 코다리라서 솔직히 실망이...다른 곳과 비교해서 크기가 크지 않은 중자 정도 코다리를 사용하기에 조금 부실해 보여 별 기대가 없었지만 막상 먹어보니 부드럽고 양념이 잘 배여 있어서 왜 이 사이즈의 코다리를 사용하는지 그 이유를 알 수 있었다.뻗뻗한 식감과 양념이 겉도는 다른 곳의 코다리찜과는 달리 확연한 차이를 느낄 수 있었고 무엇보다도 부드럽고 양념이 맛있어서 매우 맛있게 먹을 수 있었다.단 가장 좋아하는 부드러운 시래기 없이 코다리만 조려서 나오는 점이 개인적으로 아쉽긴 하지만 대신 데친 콩나물과 생김을 같이 싸 먹는 방법 또한 괜찮고 맛이 좋았다.점심에는 정식 메뉴만으로도 충분하고 볶음밥의 경우는 찜요리를 시켜야만 요청이 가능하다.\n        ']]",[],"
해산물 요리
",만원-2만원,없음,없음,동대문구
7,이령김밥,서울시 동대문구 이문동 250-3,0,241.0,1.0,"[['맛있다', '\n          동대문구 이문동 이문삼거리 인근에 위치한 분식점다양한 김밥과 함께 떡볶이 오뎅 등도 있지만 이곳은 김밥이 맛있어 지역인들이 많이 찾는 숨은 맛집이다. 이곳의 특징이라고 한다면 팔뚝만한 두께의 큰 김밥으로 한입에 먹기 힘들 정도...또한 밥 량은 얼마 안되고 대부분 재료로 꽉 차 있어 젓가락 보다는 손으로 먹어야 보다 쉽게 먹을 수 있고 김밥 한줄 만으로도 충분한 식사가 된다는 점이다.다양한 속 재료에 따라 메뉴가 나뉘며 모두 맛이 좋지만 개인적으로 묵은지참치김밥과 기본 김밥인 이령김밥을 추천하고 싶다.떡볶이의 경우 주문하면 즉석에서 조리하여 주는데 단짠맵의 조화를 잘 살려 이 또한 맛이 좋다.재료비 상승으로 인하여 지난 달 어쩔 수 없이 500원씩 인상되었으나 그래도 저렴한 편이고 막상 먹어보면 값어치 이상이라 생각된다.테이크아웃만 가능하며 직접 사러 가면 밀린 손님들로 인하여 오래 기다릴 수 있으니 사전에 전화 주문 후 시간에 맞춰 찾으러 가는 것이 좋다.\n        ']]",[],"
기타 한식
",만원 미만,없음,없음,동대문구
8,경화네 김밥,서울시 성북구 석관동 46-50,0,2452.0,1.0,"[['맛있다', '\n          여기 김밥 존맛탱입니다. 참치고추 진짜 추천합니다.근처 사시는 분들 꼭 드세요. 참치 듬뿍에 청양고추가 들어가서 매콤한 맛이 더해져서 넘무나 맛있습니다. 치즈 김밥도 맛있고 ㅠ 여기 다른 식사 메뉴도 맛있다고 해요. 새로 생긴 곳이고 깔끔하고 맛도 좋은데 새로 생긴 아파트 상가에 있어 구체적인 장소나 네이버 검색이 안 되어 너무 아쉽습니다. 근처에서 일하시는 분들이 자주 와서 식사 하시는 것 같아요. 저도 집 들어가는 길에 김밥 생각나면 자주 들리는 곳이에요 :) \n        ']]",[],"
기타 한식
",만원 미만,09:00 - 21:00,없음,성북구
9,카페우리동네,서울시 동대문구 이문동 430 황지클래스 101동,0,889.0,0.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,동대문구
