,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,막줄래국시,경기도 양주시 마전동 332-2,0,6644.0,6.0,"[['괜찮다', '\n          양이 진짜 핵많은 가게.* 사진은 핸드폰을 안 가져가서 인터넷 검색으로 캡쳐한 사진이예요.동치미국시를 먹었어요. 비빔국시부터 콩국수 등등 이것저것 많은데 시원한 게 필요했거든요. 주문할 때 배고프면 양많이!를 외칠 수 있는데 그러면 진짜 엄청난 국수양을 맛볼 수 있어요. 맛은 흠.. 나쁘지 않었어요. 이런저런 방송이나 블루리본서베이? 등등 여기저기 나온 거 봐서 보편적으로 괜찮은 가게이구나 싶어요. 다만 동치미국시는 약간 면이랑 국물이랑 따로 노는 느낌이 있었어요. 만약 비빔국시나 콩국시 같이 양념이 면에 잘 배어드는 걸 먹었더라면 만족도가 더 올라갔을 거라고 생각해요..!!\n        '], ['맛있다', '\n          여기 몇년째 다니고있음. 지인들 소개해주면 다들 너무맛있다함.일단 칼국수 국물시원하고 양도 많고 맛있음  평균이상버섯탕수육 시켜드세요  진짜 식감도특이하고 일반 탕수육보 다맛있음콩국수..진국임  지인은 진주집보다 더 맛있다고 난리침여기 다니면서 맛안변하고 서비스 좋다라고 생각한 몇 안되는 가게들 중에 하나임사장님 친절하시고 꺄긋함근데 다만 파전이 변한거같음 예전에는 파도 더 많았고 간장도 많이주셨는데..아쉽다면 그게아쉬움  하지만 꼭가보세요  맛있어요\n        '], ['괜찮다', '\n           뒤늦게 알고보니 블루리본에 선정되고 생활의달인에 나왔다고 하는 곳인데. 그 정도 임팩트가 있던 곳인가에 대해 곰곰히 생각했다. 특이한점 그리고 이 곳이 주목을 받는 이유는 직접 도토리를 활용해 면을 제면하고 또 육수도 손맛이 가는 음식이 많다는거. 근데 면 음식으로 봤을때 이 두꺼운 도토리면이 잘 어울린다라는 생각이 안든다. 냉정히 말해 일반 국수와 비교했을때. 도토리로 면을 했을땐 이런게 달라 라는게 없다. 왜 도토리로 면을? 이라는 생각이 먹는 내내 든다. 국물이 있는 음식엔 면이 금방 퍼지고 또 국물이 면과 조화가 잘된다는 생각도.. (국물이 전체적으로 짜다) 얼큰이 칼국수를 시켰는데 담치를 다 까다보니 이미 면이 퍼져버린.. 참 과유불급이라는 생각도 든다. (그나마 짜장이 괜찮다) 하지만 단순히 국수에서 끝나는 음식이였다면 리뷰를 쓰지않았을텐데. 그외로 만두가 참 맛있다. 만두도 마찬가지로 만두피를 도토리로 만들었는데 이 쫄깃함이 의외로 기존 밀가루나 혹은 메밀로 만드는 만두보다 훨씬 매력있다. 무엇보다 이 도토리 만두피 `군`만두일때 이렇게 매력적일줄이야. 군만두를 너무 바삭하게 튀기면 피의 진한 식감 때문에 만두소의 맛이 가려지는 경우가 많은데. 여긴 만두소도 진하고 찰지게 만들어서, 만두피는 식감의 역할만 만두소가 맛의 역할을 담당하는. 업무분담이 참 잘되어 있는 만두다. 과하게 바삭하더라도 충분히 맛있다. 중국식 군만두와 자웅을 겨루어볼만한 우리식 군만두라고 할수있지않을까 싶다. 국수는 막주는게 부담스럽지만. 만두는 막준다면 언제든 환영이다.\n        ']]",[],"
국수 / 면 요리
",만원 미만,10:00 - 22:00,없음,양주시
1,이너프유,경기도 양주시 남방동 330-3,0,3492.0,3.0,"[['맛있다', '\n          깔끔한 내외관을 자랑하고 커피맛도 괜찮았어요.하지만 차 없이 오기 힘든 위치이지만이근방 분위기 좋고 조용한 카페로는 좋습니다.\n        '], ['맛있다', '\n          양주역근처이지만 차를타고 방문하길 권장한다. 솔직히 양주에 갈생각을 했을때 기대는 안했다. 워낙 처음 가보는 지역이기도했고 근처에 산밖에없어서 기대감이 안생겼었다.이너프유카페에 도착하고 건물을 보니 죄송했다. 양주를 무시한게 이미 외관에서부터 커피볶는 냄새가 날거같은 코지한 건물이 반겼다.내부인테리어가 참 예뻤다. 테이블 하나하나 조명, 테라스를 정말 신경써서 꾸미신게 느껴졌다.#아이스아메리카노는 솔직히 기대없이 마셨다.(이때까지도 양주에 기대감이 덜해서) 실수였다. 완전 맛있었다. 한모금 마시고 소리내어 맛있다한 커피가 굉장히 오랜만이었다. 진하지만 쓰지않고 묵직한 아아는 찾아가서라도 마시는데 여긴 자주가고싶어진다.(가깝기만 했다면..)#검은콩 미숫가루는 달달하니 고소하여 취향저격이었다. 같이가신 귀한분이 할머니 입맛이셔서 아주 만족하셨다ㅎㅎㅎ#설탕크로아상은 역시나 맛있었다. 이집은 베이커리류가 많이는 없지만 크로아상이 주력메뉴인듯했다. 다 맛있어보인다.전체적으로 가격대는 조금 있는 편이다. 그렇지만 메뉴에대해 고민하신느낌도 많이났고 무엇보다 분위기가 정말 봄과 어울렸다. 재방문의사 충분하다.인슐랭가이드 카페부문 2.7/3\n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,양주시
2,카페빔프,경기도 양주시 마전동 235-4,0,934.0,2.0,"[['맛있다', '\n          겉에서 보면 그냥 컨테이너박스 같지만 안에 인테리어가 굉장히 감각적이고 예쁩니다! 여러 가지 액자들로 인테리어 되어 있는데 분위기가 너무 좋습니다ㅠ 이곳에 마스코트는 골든리트리버 유주 입니다~ 너무 애교도 많고 사랑스러워서 카페 있는 내내 정말 행복했습니다ㅎㅎ 음료 종류는 많지 않습니다.\n        ']]",[],"
카페 / 디저트
",만원 미만,없음,없음,양주시
3,삼국지,경기도 양주시 산북동 197-3,0,1788.0,2.0,"[['맛있다', '\n          쟁반짜장 진짜 맛있네요. 들어서자마자 맛집 포스가 ㅎㅎ\n        ']]",[],"
기타 중식
",만원 미만,없음,없음,양주시
4,양주성,경기도 양주시 남방동 9-26,0,3100.0,2.0,"[['맛있다', '\n          이 집 음식 참 잘하는 편. 유슬짜장 하나보고 갔지만, 짬뽕에 반하고 옴. 물론 유슬짜장도 굉장히 맛있었음진한맛에 불맛까지 알차게 가미된✨차돌짬뽕에 차돌이 그렇게 많을줄은 몰랐다.국물도 지인한것이 완전히 진국.❤️이 집 굴짬뽕도 장난 아니라는데 조만간 또 갑니다..! \n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,없음,없음,양주시
5,"김경자소문난대구왕뽈찜
                                    (양주점)",경기도 양주시 남방동 102-1,0,1984.0,0.0,[],[],"
탕 / 찌개 / 전골
",없음,없음,없음,양주시
6,압구정해장국식당,경기도 양주시 남방동 117-7,0,1819.0,0.0,[],[],"
탕 / 찌개 / 전골
",없음,없음,없음,양주시
7,양주불백,경기도 양주시 남방동 111-5,0,1225.0,0.0,[],[],"
한정식 / 백반 / 정통 한식
",만원 미만,없음,없음,양주시
8,은행나무집,경기도 양주시 마전동 산44,0,920.0,0.0,[],[],"
기타 한식
",만원 미만,없음,없음,양주시
9,"카페베네
                                    (양주시청점)",경기도 양주시 남방동 1-1,0,730.0,0.0,[],[],"
카페 / 디저트
",만원 미만,없음,없음,양주시
