,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,영화장,서울시 동대문구 이문동 288-23,4.0,227412.0,134.0,"[['맛있다', '\n          도리도리밥도리 Vol.33 이문동 ‘영화장’무엇이든 ‘@@ 3대 맛집’ 식으로 붙이는 거 좋아하는 한국인들 특. 서울 중식집에서도 이름을 꽤 날리는 편인 영화장 (나랑 상관 하나도 없는데 뭔가 자랑스럽다 ㅋㅋ)고오급 코스 요리 급의 깔끔함이 특징이다. 땅값이 싸서 그런지 (…) 물가를 고려했을 때 다른 유명 중식집에 비해서는 가격이 낮은 편이다.여기서 해물백짬뽕은 필수다. 다른 메뉴들도 지리긴 하는데 압도적 시그니처 메뉴인 것 같다. 혹시 방문했을 때 배가 어느 정도 찬 상태면 백짬뽕만이라도 시키자.23.05.24#도리도리밥도리_동대문구 #해물백짬뽕 #영화장 \n        '], ['맛있다', '\n          짬뽕국물이 맛있습니다.짜장면은 쏘쏘.탕수육도 맛있습니다.\n        '], ['괜찮다', '\n          ️23/05/03수 점심 3번째 재방문12:45 웨이팅 1번짬뽕음…. 그저 그럼. 덜 자극적이다. 뺏어먹은 백짬이 조금 더 낫다. 굳이 찾아가진 않을 듯하다.재방문: ?\n        '], ['맛있다', '\n          남편의 인생 탕슉난 고추간짜장이 참 맛있더라\n        '], ['맛있다', '\n          영화장에 간 횟수만 10번이 넘어가는 회기 자취러.. 이문동, 회기를 포함해 가장 갈만한 중식당이라고 생각한다.매번 리뷰마다 말하지만 그만큼 이 근처에 갈만한 식당이 없어서이기도 하다.수많은 메뉴를 먹어봤는데 짜장면 보다는 확실하게 짬뽕이 맛있는집.자신이 진짜 맛있는 간짜장을 알고 있다면 여기 간짜장은 비추한다.탕수육은 평범에서 조금 더 맛있는 편. 다른 요리들도 꽤 괜찮은 편이지만가장 가성비적이고 맛있는 다고 생각하는 건 짬뽕이다. 만원 한장으로 먹을 수 있는 제일 괜찮은 퀄리티까지 뽑아낸다고 생각한다. 별점은 짬뽕 ★★★★나머지 ★★★☆짜장 ★★★별점이 짜 보이지만 동대문구에서 중식당을 갈거라면 이곳이긴 하다. 개인적으로 촨X 보단 여기가 낫다.\n        ']]","[['짜장면', '5,500원'], ['삼선짬뽕', '9,000원'], ['볶음밥', '7,000원'], ['탕수육', '22,000원']]","
정통 중식 / 일반 중식
",만원 미만,11:00 - 21:30,없음,동대문구
1,돼랑이우랑이,서울시 동대문구 이문동 82-27,3.9,19944.0,21.0,"[['맛있다', '\n          이가격에 이맛이면 지금보다 더 유명할만함\n        '], ['괜찮다', '\n          — 괜찮지만 그냥 괜찮아 —고기의 육즙이나 풍미, 상태는 매우 좋다고 평가했다. 아마도 1층의 정육점과 같은 고기를 쓴다고 들었기 때문에?원래 이 가게가 초창기에 생겼을 당시 망플 별점이 4점 후반대 정도로 굉장히 높았던 것 같으나, 뒤로 갈수록 떨어져 궁금했던 1인이었다.맛은 괜찮다. 돈까스의 정갈한 자태, 담백함, 구성, 양배추 등 모든 것이 완벽하나..서비스의 측면에서 조금 감정을 상하게 할 수 있다고 생각했다. 주관에서 비롯되어, 서비스의 질 또한 맛과 리뷰에서 빼놓을 수 없는 요소라 생각한다.\n        '], ['괜찮다', '\n          나쁘지 않았다.\n        '], ['맛있다', '\n          갑자기 급 카츠 뽐뿌가 와서 먼 걸음해서 찾아간 돼랑이우랑이! 정말 가게가 없을 것 같은 거리 2층에 있네요. 리뷰도 보고 메뉴를 고를까 했는데 그냥 느낌 가는대로 히레카츠 주문.겉보기에는 크게 특색이 있는 카츠는 아니고 와사비나 소금 등 프리미엄 급에서 나오는 그런 세팅도 없었어요. 그런데 고기 맛 자체 만으로도 매력적이더라구요! 1등급 암퇘지를 사용하셔서 그런지 얇은 튀김 옷 속을 꽉 채운 고기 질이 좋았어요. 육즙이 터질 만큼은 아니지만 적당히 저항감과 함께 촉촉함이 느껴지고 바삭한 튀김도 맛있었어요! 다양하게 즐길 수 없는 게 약간의 아쉬움이라면 아쉬움이지만 안심만의 담백함 때문에 물리는 느낌도 없었고 충분히 고기 맛으로 커버 가능한 느낌.운동을 정말 열심히 하고 온 직후였는데도 다 먹고 나서 포만감을 느낄 정도로 고기가 두툼하고 양이 꽤 되더라구요. 아주 메이저 급은 아니더라도 충분히 방문할 만한 가치는 있던 곳이라고 생각되네요!\n        '], ['맛있다', '\n          집근처인데도 학기중에는 매진으로 먹을수가없는 치즈돈까스 드디어 먹어봤다!치즈돈까스 라는 이름답게 치즈가 많았고 맛있었는데 그럼에도 불구하고 제일맛있는건 역시 고기.이집은 정말 고기가 맛있다.치즈돈까스는 가끔씩경험해보면좋을것같지만 돈까스 그자체는 매일먹어도 질리지않을맛.우동도 맛있으니 우동이먹고싶을때들려도좋을듯!\n        ']]","[['등심카츠', '8,000원'], ['등심카츠 세트', '10,000원'], ['안심카츠', '8,500원'], ['치즈카츠', '9,000원'], ['모듬카츠', '9,500원']]","
까스 요리
",만원 미만,09:30 - 22:00,없음,동대문구
2,이상한떡볶이집,서울시 동대문구 이문동 305-129,3.9,29066.0,23.0,"[['괜찮다', '\n          외대앞에 유명한 식당 중 하나.떡볶이 집이라고 생각할 수 있지만 떡볶이를 팔지 않고메뉴를 시키면 떡볶이를 무한리필해서 먹을 수 있다. 떡볶이 맛은 옛날 분식 떡볶이 느낌. 요즘 이런 느낌의 떡볶이를 맛보기 힘들어서 꽤 나쁘지 않다. 파스타와 김치볶음밥등을 판다. 가격들이 만원 내외로가성비는 대비 괜찮은 식당이나.. 좋은 평이 많아 나의 개인적인 느낌이겠거니 생각하지만  볶음밥 류는 약간 기름진 느낌이 들고 파스타는 토마토에선 스파게티 소스향이, 크림파스타는 생크림 향이 좀.. 내 입맛에  맞는 것 같지 않아서 아쉽다. 별점 ★★★(3) \n        '], ['맛있다', '\n          이 비주얼에 만원 정도하는 메뉴라니상 상만 해도 가성비가 살아서 숨쉰다한 동안 절약할겸 취준생의 마음으로 돌아가볼까...?+전문직이 짱이다. 입사지원 말리고 로스쿨 진학 추천 \n        '], ['맛있다', '\n          그 유명한 이떡집! 이상한 떡볶이집이란 상호에 걸맞게 이상하게 정이 많이 가는 식당이에요. 아무래도 1. 서비스로 국민 푸드인 떡볶이를 준다-그리고 심지어 떡볶이가 맛있다! 2. 정감가는 아기자기한 인테리어 때문이 아닐까 싶어요. 사실 번번이 가장 맛있게 먹는 메뉴는 떡볶이였네요. 달달하고 찹쌀기가 있어서 맛있어요. 별로 맵지는 않습니다. 리필 가능이지만 메인메뉴와 함께 먹다보면 배불러서 2번 이상 먹은 적은 없는 것 같아요. 메인 메뉴류는 필라프, 파스타 등 양식입니다. 양식이긴 한데 느끼하지 않고 뭔가 한국스럽게 바뀐 맛이었어요. 마늘을 많이 쓰시는 것 같기도 하고.. 메인 메뉴들은 무난한 가격에 무난한 맛입니다. 벽에 다양한 낙서도 할 수 있어서 친구 혹은 연인과 방문하면 좋을 것 같아요. 매장이 좀 좁아서 가끔 웨이팅이 발생할 수는 있습니다.\n        '], ['괜찮다', '\n          평점 4.1은 우선 아닌 것 같습니다.리뷰수가 적기도 하고 중간 중간 별로라는 댓글평도 있었기에 좀 더 신중할 걸 그랬어요.다른 분들 댓글 참고해서 날치알새우크림파스타랑 김치볶음밥을 먹었는데 다른 분들 댓글처럼 초딩입맛..? 가격이 저렴한 만큼 대학생들이 가벼운 한 끼 하고 가면 적당하겠다 싶은 곳이에요. 맛이 없다는 아니지만 처음 먹었을 땐 맛있고 점점 질리는 저렴한 맛이 느껴진다고 해야 할까요..? 제가 리뷰를 거의 안 적는데 이곳은 리뷰가 별로 없고 기대하고 와서 실망한 만큼 저와 같은 분들이 없으시길 바라는 마음으로 리뷰 작성해 봅니다. 사장님도 딱히 친절하신지 모르겠습니다.맛 : 3.5분위기 : 3재방문의사 : x\n        '], ['맛있다', '\n          — 상호명: 이상한 떡볶이집인데 떡볶이 안파는 이떡 —여기 참 요상하다. 낡고 알록달록한 내부부터 자그마한 공간까지. 근데 그냥 돈없는 대학시절을 생각했을 때 누구나 그리워할 만한 요소들을 지니고 있다.날치알크림파스타와 김치볶음밥리뷰를 보는 누군가, 혹은 나를 아는 누군가는 놀랄 수도 있다. 아니 이렇게 평범한 곳을 맛있다고 한다고??지금까지 내가 갔었던 고급진 식당도 아니고, 특별한 맛도 아니다. 그냥 크림파스타고, 그냥 김가루 뿌려진 김볶이다.하지만 어딘지 모르게 용인되는 쎈 조미료의 맛, 그리고 같이 밥을 먹었던 사람들 덕에 본인 기억 속에 맛있게 추억되는 곳. 리뷰는 주관적인 거니까, 엄청나게 주관적인 평을 하자면... 그냥 이 곳은 파스타, 김치볶음밥 시켰는데 떡볶이가 마치 반찬처럼 나오고, 가격은 또 주머니가 가벼운 대학생한테 아주 적절하고, 적당히 깨끗하고 지저분한 위생이 아무렇지 않았던 그 시간들이 그리워지는 곳이다.그리워서 맛있었던 곳. 그리고 지금도 많이 그리운 맛이다. 조만간 날치알 파스타 먹으러 가야겠다\n        ']]","[['함박스테이크', '10,500원'], ['김치볶음밥', '7,000원'], ['오므라이스', '7,000원'], ['날치알새우크림파스타', '9,000원'], ['로제파스타', '9,500원']]","
기타 양식
",만원 미만,11:00 - 21:00,없음,동대문구
3,아임파이,서울시 동대문구 이문동 317-16,3.9,24374.0,18.0,"[['맛있다', '\n          케익이 없어서 타르트 밖에 못먹었는데 맛있다! 동네에 이런 카페가 있다는건 분명 행운. 가서 먹을맛은 아니지만 근처가면 가능.\n        '], ['맛있다', '\n          달콤한 행복의 맛 타르트!\n        '], ['괜찮다', '\n          냉침차는 맛있었는데 파이랑 케이크는 그냥 먹을만한 정도\n        '], ['맛있다', '\n          포도타르트 과일도 맛있고 크림깔끔하고 좋았다. 치즈케이크는 치케맛이고.. 지하공간은 사람이 아무도없어서 좋았는데 사람이 많으면 울려서 시끄럽나보다.타르트 맛있길래 호박케이크 포장도 해갔는데 괜찮았다. 무화과 타르트는 별 느낌없었다.\n        '], ['맛있다', '\n          딸기 타르트를 사서 집으로 오는 길의 찐 행복,, 세상 사람들 다 나와도,, 내가 딸기 라떼와 딸기 타르트가 있는데 나만큼 행복한 사람 있겠냐구,,,코로나19 덕분에 (동네에서 집단 감염이 발생한 덕분에) 강제 칩거 중에 진짜 미쳐버릴 것 같아서 맛있는 거 먹어야 나 안 죽는다고,, 찡찡거려서 얻어낸 소중한 타르트였습니다.진짜 ㅠ 왜 하나만 사서 왔을까요..? 하나만 사 온 것이 아쉽고 후회될 정도로 맛있었어요. 특히 딸기 라떼가 정말 맛있었어요. 딸기도 듬뿍 들어있고 달달하고. 미니 타르트는 레몬과 에그였는데 둘 다 실패 없었습니다.화이트톤 내부도 깔끔하고 예쁘고, 위생 관리도 철저히 하시는 게 느껴져서 더 좋았어요:)\n        ']]","[['아메리카노', '3,300원'], ['에그타르트', '3,000원'], ['보스턴 크림타르트', '3,300원'], ['모이스트 초코케이크', '5,800원'], ['스트로베리 타르트', '6,800원']]","
카페 / 디저트
",만원 미만,12:00 - 21:00,"일, 둘째/넷째 토, 공휴일",동대문구
4,본가할머니보쌈,서울시 동대문구 이문동 288-46,3.8,36035.0,31.0,"[['맛있다', '\n          가고싶다.\n        '], ['괜찮다', '\n          신입생때 5000원이던 가격이..어느새 8000원으로.....^^세월 그래도 요즘 물가를 생각했을때 여전히 가성비 넘치는 보쌈정식투박하게 썰어낸 수육과 달달한 보쌈김치의 맛은 실패하기 힘들죠정말 여기 김치가 묘하게 한번씩 생각나더라구요소소하게 같이 나오는 밑반찬과 더불어 된장찌개를 뚝배기에 하나씩 주는것도 참 좋아요남자동기들이 참 좋아했던 기억...그만큼 실패없이 한끼 든든하게 해결하기 좋은곳이지만 특별할건 없는 평범한 밥집이라 괜찮다로!\n        '], ['맛있다', '\n          — 순전히 맛으로만 평가하기 어려운 ‘할보’ —7000원의 가격에서 1만원의 가격으로 오르기까지 방문했던 곳. 맛에 관해서라면 그 누구보다 냉정하다고 자부하지만, 어찌보면 이 또한 주관적인 것이기 때문에 엄청난 맛이 아니더라도 추억덕분에 맛이 배가 되는 곳도 있다.할보(줄임말)는 외대근처에서 가업을 이어 내려온 집으로, 외대 정문쪽/ 후문 / 회기역에 지점을 두고 있다. 아버지가 보쌈을 삶으시면, 이를 타 지점에 배분하는 등 최대한 맛이 변하는 걸 막기 위해 노력한다. 후문쪽 할보 방문.1. 보쌈정식을 7천원에 먹는 건 대학생들의 한끼 식사를 훌륭하게 채워주는 것이다. 물론 단가로 지금은 만원이 되었지만, 푸짐하게 썰려 있는 고기와 김치, 된장찌개로 이미 게임 끝.2. 구성은 사진으로 보다시피 보쌈/김치 + 밥 + 고추 메추리알장조림 멸치볶음 된장찌개로 단조롭다. 하지만 이 단조로운 구성 하나하나가 정겹고, 보쌈의 질도 좋다. 다만 취향에 따라 비계가 많은 부분을 받으면 느끼할 수도 있어 주문 시 사전에 말씀드리면 알맞게 주실 것이다.3. 보쌈정식/ 곱빼기가 가장 많이 나가는 메뉴고 이 외에 보쌈 양을 늘려 술 안주로 팔기도 한다. 혼밥하기에도 아주 좋은 분위기고, 걍.... 맛있다 ㅎ 간이 되어 있어서 굳이 새우젓은 따로 필요없다.+ 아쉬운 건 상추쌈이 있었으면 좋겠다 정도???\n        '], ['괜찮다', '\n          무난하게 보쌈정식 먹을 수 있어요.외대근처라 학생들도 자주 찾아오는거 같아요.\n        '], ['별로', '\n          3-4년동안 단골이었을만큼 자주가던 집이었는데 혼자 갔을 때 1인손님 안받는다며 쫓아냄. 그 뒤로 빈정상해서 안가게 됐는데, 가격도 오르고 잘됐다 싶기도.\n        ']]","[['보쌈정식', '8,000원'], ['김치보쌈 (중)', '30,000원'], ['김치보쌈 (대)', '40,000원'], ['모둠보쌈', '48,000원']]","
고기 요리
",만원 미만,10:30 - 22:00,첫째/셋째 일,동대문구
5,"메이크샐러드
                                    (외대본점)",서울시 동대문구 이문동 287-39 1F,3.7,26724.0,16.0,"[['괜찮다', '\n          — 멬셀은 사랑입니다 —혼밥은 해야겠고, 그냥 백반집가면 살이 찔 것 같고.. 그럴때 갔던 곳이 메이크 샐러드다. 잘생긴 청년들이 샐러드를 만들어주는데, 요즘에 리모델링 공사한다.후두루촵촵촵 샐러드를 먹었던 기억이 나서 써보는 리뷰목살샐러드 : 가장 많이 시키는 단골 메뉴라고도 할 수 있다. 그날의 고기질 상태나 굽기 정도에 따라 맛이 좌우된다고 해도 과언이 아님. 많이 구웠을 때 어찌나 뻑뻑한지...ㅠㅠ 잘 구운 날에는 더할 나위 없이 훌륭하다연어샐러드 + 그 외여기는 콥샐러드라고 생각하면 될 것 같다. 다양한 야채를 다양한 가격에 든든히 먹을 수 있으니 너무 좋다.다만 한번씩 양상추를 깨끗히 털어내지 않아서 물이 나올때가 있어 문의가 빗발친 적이 있었는데.. 이 또한 많이 개선되었다고 한다.\n        '], ['맛있다', '\n          샐러드를 좀 챙겨 먹어야겠다고 생각은 들지만길티한 맛을 놓치고 싶진 않을 때 (짱 모순적...ㅎㅎㅎ)ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ가는 샐러드집이에여......!두부, 연어, 파스타 샐러드가 제 기준 젤 맛있는데요,꼭 매쉬드포테이토와 와사마요 소스를 추가해야해요.(이렇게 해야 마치 포테이토 핏자를 먹는 거 같은 기분을 조금이라도 느낄 수 있거든요......ㅎㅎ)진짜 평범쓰 샌드위치가 부럽지 않을 정도로 맛있습니당.이 근방은 배달도 되니까혹 궁금하시다면 포테이토, 와사마요 꼭 추가해서드셔보세욘......!\n        '], ['맛있다', '\n          “경쟁은 가게를 발전시킨다”솔직히 요 앞에 ㅌㄱ 샐러드 생기기 전에는 양도 줄고 초심잃었다는 말이 계속 나왔던 곳. 그러나 ㅌㄱ 생기고 나서 안에 들어가는 야채들도 훨씬 다양해지고 양도 많은 것 같다.(개인적인 생각) 사장님이 계속 가게를 업그레이드 시키기 위해 노력하시는 것 같아서 넘 보기 좋아용그래서 그런가  그 전에는 잘 안갔었는데 요즘은 자주 가게 되는 샐러드 집. 다른 곳과 제휴도 많이 하고 솔직히 이 근방에서 자취한다면 야채를 먹을 일이 거의 없기에..개인적으로 좋아하는 샐러드는 훈제연어 샐러드인데 사진은 그게 아니네용ㅠㅠ와사마요 소스와 조합이 끝내줍니다. 와사비 좋아하시는 분들은 와사마요+훈제연어 조합으로 드셔 보시기를...!\n        '], ['맛있다', '\n          맛있게 샐러드 먹고싶을 때마다 찾아가는 곳! 가격이 저렴한 건 아니지만 채소도 신선하고 양도 배부르게 한끼 먹을 수 있다. 토핑이나 드레싱도 다양해서 좋다!\n        '], ['괜찮다', '\n          이문동 샐러드 전문점, 동네 주민이었다면 자주 갔을법한 곳이에요리코타치즈샐러드를 주문했어요리코타치즈가 과하게 달지 않아서 좋았어요 야채도 나름 신선했고, 재료간의 조합이 괜찮았어요양도 충분했어요!다만 가게 내부에서 우유비린내? 비슷한게 좀 심하게 나서 저는 샐러드 먹는 내내 역하더라고요 ㅠㅠ주문은 키오스크에서 해도 되고, 직접 말로 해도 돼요저는 여기까지,, 재방문할 것 같지는 않아요\n']]",[],"
기타 양식
",만원 미만,월-금: 10:30 - 21:30 토: 11:00 - 20:00,일,동대문구
6,코코니주방,서울시 동대문구 이문동 288-12 2F,3.6,12407.0,14.0,"[['괜찮다', '\n          엄청 친절한데맛은 그냥\n        '], ['괜찮다', '\n          맛은 무난. 직원분들은 매우 친절!직원분들이 활기가 있고 매우 상냥하심. 이것부터 기분 좋아진다.다만 카레 우동에서 우동 면이 좀 많이 익혀서 나오는 지라 본인의 스타일은 아님. 카레도 우리가 아는 맛. 같이 간 지인도 그럭저럭이라는 평. 맛 없는건 아니지만 맛있다도 아니다. 주변에 있으면 찾아갈 정도는 아니지만 그냥 무난함 그자체다. 가아끔 먹을 거 없을 때 갈 수 있다정도. 가끔.\n'], ['괜찮다', '\n          적당한 일식집\n        '], ['맛있다', '\n          조큼 비싼 편인가 싶지만 양이 1.5인분인듯. 메뉴들이 평균적으로  맛이 다 괜찮습니다\n        '], ['맛있다', '\n          저녁 시간대 이후, 조금 늦게 방문했는데 손님이 없어서 친구와 오붓하게 식사했습니다. 사케동(9,800원), 키마우동(7,300원), 고로케(4,500원) 주문. 당시 배도 매우 고프기도 했고 추운 날씨에 따끈한 국물이 들어오니 참 좋았다. 개인적으로 우동을 참 좋아하는데 우동 면도 쫄깃하니 맛있고 국물도 깔끔해서 좋았다. 뻥 뚤린 공간이 아니라 일행들끼리만 있을 수 있는 구조. 무엇보다 간장이 나오는 가오나시가 참 탐났다. ※ 19년 12월에 방문했습니다.\n        ']]",[],"
기타 일식
",만원 미만,없음,없음,동대문구
7,식닷컴,서울시 동대문구 이문동 288-40,3.5,27750.0,21.0,"[['괜찮다', '\n          오랜만에 방문한 식닷컴이 주위 맛집인 촨커의 꿔바로우로 인해 느꼈던 감탄과 풍미에 비해서 이집의 꿔바로우는 그렇게 임팩트 있지는 않다.볶음밥은 제법 괜찮은데, 기름이 많아서 속이 좀 니글니글하다. 조금 더 꼬두밥처럼 해도 괜찮았을텐데!자리를 옮기고 나서 맛이 변했다고 느끼긴 했지만 여전히 그래도 외대 주위 중식집 탑 5에 드는곳\n        '], ['괜찮다', '\n          메뉴가 정말 많아 메뉴 고르는 것부터 어려웠는데 결국에는 오늘도 익숙한 메뉴로 시켰다. 마음은 늘 새로운 것에 도전하고 싶은데 이런 찐 중국 바이브의 식당에서는 괜히 실패가 두렵다..아무튼 생양갈비+양갈비살+오이무침+꿔바로우가 포함된 세트를 주문했다. 10개의 생양갈비 꼬치와 10개의 양념된 양갈비살 꼬치가 등장했다. 맛은 평균 이상이다. 잡내 없고 육질이 부드럽다. 특히 양념 양갈비가 짭쪼름하니 괜찮았다. 오이무침은 다소 심심한 편인데 그래서 오히려 건강한 음식을 먹는 듯한 착각이 들어 나쁘진 않았다. 꿔바로우도 소스가 적당히 달고 매콤했고 돼지고기는 얇고 살짝 퍽퍽했으나 튀김은 오랫동안 바삭한 상태를 유지하는 걸 보니 잘 튀겨낸 것 같다.안전한 메뉴만 시켰지만 모든 메뉴가 평균 이상의 맛이었다. 그렇지만 찾아갈 정도의 맛집은 아니고 근처에 방문할 일이 있다면 한 번쯤 가보는 건 괜찮겠다.\n        '], ['괜찮다', '\n          학교 근처의 괜찮은 중국집. 마파두부덮밥이 괜찮았다. 다른 요리들도 먹어보고 싶음\n        '], ['괜찮다', '\n          가격은 합격 맛은 아쉽다.볶음면은 두종류 주문해봤는데 깐마는 별로고 기본이 훨 나았다. 류로똰 이거는 고기맛이 괜찮었음. 향라 쪽갈비는 진짜 별로. 누린내가 나고 고기도 좀 질겼다. 양념자체는 괜찮았다. 홍소육은 맛있었고 볶음밥은 진데다가 애매한 맛이라 별로. 볶음밥 빼고는 대체로 짠맛이 다른곳보다 강하다\n        '], ['맛있다', '\n          꿔바로우랑 가지볶음은 맛있는데 여러개 먹어봤지만 나머지는 별로였음... 꿔바로우랑 가지볶음 먹으러 갈거라면 추천\n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,10:00 - 22:00,없음,동대문구
8,고소운,서울시 동대문구 이문동 288-40 B1,3.4,10000.0,23.0,"[['맛있다', '\n          카스 별점 ★★★★☆ [4/5]<외대 핫플>♨밥 없이는 살아도 빵 없이는 못 살아 15편♨처음 생겼을 때 신선한 충격이었던 곳입니다. 맛집 및 인스타 감성 가게 불모지인 회기, 외대에 이런 흰색 커튼과 앤틱한 가구가 가득한 심지어 ""수플레 팬케이크""전문점이라니! 제가 알기로는 이 근처에 수플레 팬케이크 집은 회기에 하나, 그리고 여기 하나인 것 같아요. 개인적으로 회기에 위치한 곳보다 고소운 팬케이크가 더 맛있었습니다. 계란 비린내가 덜 납니다. 그리고 몽글몽글하고 폭신함이 더 잘 살아있었어요. 수플레 테이크아웃은 불가능하다고 하네요. ♥플레인 수플레 팬케이크(9900원): 우선 가격이 합리적인데다가 양도 꽤 많습니다. 수플레도 폭신폭신하고 맛있고, 자칫하면 계란 비린내가 날 수 있는데 그 부분을 확실히 잡아주어 좋았습니다. 수플레 팬케이크 특성상 조리 시간이 좀 걸리는 점은 감안하셔야 합니다.\n        '], ['괜찮다', '\n          사진 : 수플레 팬케이크, 밀크티수플레 팬케이크 맛집이라고 해서 한 번쯤 가보고 싶었는데 드디어 가봤다. 수플레는 부드럽고 폭신하니 참 맛있었다. 같이 시킨 밀크티는 생각보다 밍밍해서 그냥저냥 먹을만 했다. 내부 분위기는 지하에 있기도 하고 인테리어도 잘 해놓아서 그런지 나름 고전적인 분위기가 났다.\n        '], ['맛있다', '\n          < 외대에 이런 감성넘치는, 수플레 맛집이 있다고?!>아무래도 대학가이다 보니 프렌차이즈 카페나 대형 카페들만 많은 상권인데, 한줄기의 빛처럼 인스타 감성 낭낭한 카페 고소운! 며칠 전 성수동에서 먹었던 수플레보다 가격은 반값, 맛은 두배, 아니 다섯배 더 맛있었다. 수플레가 굉장히 포슬포슬하고 크림과 메이플시럽의 조화로 인해 달면서 맛있다 계란맛도 적게 느껴지고 계란냄새도 별로 안나서 수플레 맛집으로 충분!!아메리카노 가격도 적당하고, 딸기라떼는 좀 비싼 감이 있었지만 맛있었다.경희대/외대 후문에 거주하거나 이문동 주민들, 외대생들 중에 감성적인 카페에서 맛있는 수플레를 먹으며 인생샷을 찍고싶은 사람들은 당장 갑시다~~!~!\n        '], ['괜찮다', '\n          2층에 있던때가 당연히 공간자체가 더 나았어요감성도 나쁘지않지만 현상소랑 엄청 비슷한 느낌...음료는 무난해서 괜찮았고 수플레는 2층시절 나쁘지않았었는데 최근엔 안먹어봐서 잘 모르겠네요\n        '], ['맛있다', '\n          18년 여름 방문이라 가격이 확실친 않지만.. 수플레 팬케익이 9천원인가 하여튼 꽤 쌌고 양도 많았으며 맛도 평타 이상이었다. 나머지 음료도 조금 달긴 했으나 가격대가 4천원대로 나름 착했던 기억. \n        ']]",[],"
카페 / 디저트
",만원 미만,11:30 - 22:00,없음,동대문구
9,도란도란야채곱창,서울시 동대문구 이문동 305-71,3.2,10287.0,28.0,"[['별로', '\n          가게 들어갈때부터 냄새가ㅠ둔감한 편인데도 끝 맛에 냄새났음가격은 저렴하고 사람 많은건 인정\n        '], ['맛있다', '\n          외대인의 소울푸드… 우주최강맛집입니다1인분 3500원일때 부터 다닌거 카운트하면 진짜 100번 가까이 갔을지도요요즘은 간신히 도세권(도란도란세권)이라 배달로 먹습니다맛 똑같아요볶음밥을 못먹는게 한이지만요ㅠ곱창+오돌뼈 같이 시켜먹는것도 존맛탱이지만순정으로 곱창볶음만 먹어도 존맛입니다예전에 넷이가서 8인분에 볶음밥 먹었더니 사이다 한병 서비스 받아봤구여도란도란 2호점 오픈할때 텀블러 사은품도 받아봤습니다인스타 스토리에 도란도란 사진 올리면 외대인친들 부럽다고 디엠 겁나게 옵니다-> 이정도면 찐팬인정?도란도란 오래오래 영업해주세요\n        '], ['맛있다', '\n          맛있던데? 값도 싸고 양도많다\n        '], ['괜찮다', '\n          2020.10.19말이필요없는 가성비 맛집~외대에 곱창집 많지만 그중에서도 제일 맘에 드는 곳이다.같이 나오는 마요네즈소스가 정말 맛있다.알곱창 진짜 사랑함...\n        '], ['괜찮다', '\n          학생도 아주머니들도 정말 많던 곳! 곱창은 순대국에 들어가는 그런 내장 느낌이었는데 냄새가 꽤 났고, 막창이 그나마 먹을만했아요. 근데 너무 양념치킨 맛이라 저금 아쉬웠네요ㅋㅋ 좀 더 막창에 어울리는 소스면 좋겠어요. \n        ']]",[],"
고기 요리
",만원 미만,15:00 - 02:00,없음,동대문구
