,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,"애슐리퀸즈
                                    (이마트월계점)",서울시 노원구 월계동 333-1 이마트 1F,0,3147.0,2.0,"[['괜찮다', '\n          오랜만에 방문한 애슐리-이젠 애슐리 등급은 애슐리퀸즈,퀸즈플러스 이렇게 두개로만 나눠진다고 해요. 이마트월계점은 애슐리퀸즈입니다.저는 뷔페 갈때마다 본전 뽑고 오겠다는 다짐으로 항상 과식하게되는데요,오늘도 어김없이 과식하고 왔어요! ^_^ 처음엔 샐러드(차가운음식)으로 시작해서 우동(뜨거운음식)으로 끝내는 전략까지 발휘했습니다! 조금씩 모든 종류의 음식을 다 먹어봤더니 7접시는 먹은 것 같아요-뿌듯! 이번에 트로피칼시즌이라 세계요리가 많았어요. 태국음식, 타코 ,백립 등 다양했고 디저트에도 망고가 많이 들어가있더라구요. 좀 아쉬운 점은 육류가 립밖에 없었어요. 그래도 샐러드나 피자/파스타4종류씩 있었습니다. 일식은 연어만 회로 따로 있고 다른건 다 초밥이었는데 한치,새우 정도, 롤이 많았습니다. 떡볶이도 있음.제일 재밌었던건 크로플과 와플을 만들어 먹을 수 있다는 점! 와플 반죽이 별로 안달아서 크로플이 훨씬 맛있었어요! 4개나 먹었습니다. 그리고 이젠 홀을 누비고 있는 로봇이 생겼더라구요! 벨로 로봇을 불러서 다 먹은 접시를 셀프로 넣으면 됩니다. 생각보다 불편한점은 없었어요. 살짝쿵 바라는점은 로봇이 쓰레기통도 따로 가지고 다녀줬음 좋겠습니다. 주말은 11시만 넘어도 웨이팅이니 꼭 예약하고 가시길 바랍니다:) \n        '], ['맛있다', '\n          분위기 다 아실테고 맛도 다 아실테고..저는 치즈뽕듀~묵어보니 좀 따땃했음 더 맛있지않았을까 싶고요~^^그 ..여기 짬뽕이 주문식이라 만들어져 나오니좋았어요..조금 기다려야 했지만 그또한 맛있는 음식을 먹으려면 기다림은 기본 아니겠나 싶어요 국물이딱~아주 맛있었어영~한그릇 더 먹고싶었으나스테이크를 두개를 시켜가지공..^^;;가성비는 좋으나 스테이크가 좀 질기더군요먹어본 스테이크중 제일 맛이가 없었어요 ㅜㅜ싼맛에 먹는다지만^^;;그래도 다른 메뉴들이 많으니..저는 여기저기 두리번 하다가~결국 한 두~세 접시만담아서 먹고 후닥 왔어요~저희 아부지가 그러셨죠 미련곰탱이 처럼 과하게 먹지마라고..탈난다고~은근 먹는 욕심이 과한 저라서^^;;소화제 달고살아영ㅎㅎㅎ자꾸 다 먹어보고 싶잖아영~먹을때는 정말 진심 행복해지는 저라서~^^원래는 거즌 야채위주로 떡이랑~스프 그리공 스파게티 하고 초밥조금 마지막은 아이스크림 이렇게 마무리 하고 그러는데급 ~치즈퐁듀땀에 ~메뉴가 멕시코핏?ㅋㅋㅋ맙소사 열심히 먹긴했는데 역시나 전 토종 한국사람 입맛이라..영..안맞아서더부룩..그래서 짬뽕  한그릇을 ~후룩 퍼먹은거 같아영저번에 왔을때 초밥데코 완전 최악의 상태였는데좀 나아진거 같긴 하네요~여튼 패쓰~전 그냥 죽을 먹었답니다^^ 요새 자꾸 죽이 땡겨서내장죽 먹어봤는데다시는 안먹으려고요 먼가 비릿해서..고소함을 살포시 바랬는데..첫이미지 실패로영영 내장죽 패스~음료수만 한 4~5컵 먹고~^^;; 늘상 하는 말이 있죠 다신 오지말자!!!!!!!그래놓고 또가는곳..ㅋㅋㅋ부페식은 다 그런거 같아영~두루두루 맛은 평타이하선 이구요~^^;;종류 많으니 그 중에 맛있는걸 찾아 드시는게 최고입니다짬뽕국물은 굿~따따봉~맛있었어영^^\n']]",[],"
패밀리 레스토랑
",만원-2만원,없음,없음,노원구
1,"롤링파스타
                                    (월계이마트점)",서울시 노원구 월계동 333-1 월계이마트 2F,0,1778.0,4.0,"[['맛있다', '\n          23-68정말 궁금했던 롤링파스타백종원님의 프렌챠이즈는 감동의 맛은 아니지만 실패는 안하기에 궁금했었는데 워낙 후기가 천지차이라 더 궁금했습니다파스타는 기대이하인건 맞는데 면의 맛과 느낌은 좋지만 소스가 너무 묽어서 면과 겉도는 느낌이 강합니다더구나 마지막 소스까지 빵으로 닦아먹는 저는 아쉽습니다그럼에도 불구하고 맛은 괜찮았고 가격은 혜자입니다피자는 뭐 맛있습니다샐러드도 가격대비 훌륭합니다버터스틱도 정말 좋았습니다전체적으론 괜찮았지만 살짝 아쉽긴 합니다방문추천 80%친절도 중청결 상주차는 마트 주차장 이용 무료\n        '], ['맛있다', '\n          궁금했지만 딱히 동선에 없어서 가보지 못했다가 이번에 가보게 되었어요. 처음엔 롤링파스타 가격보고 “음? 이 가격에 가능하다고?” 라는 생각이 들었는데 가격에 비해서는 맛있었어요! 찹스테이크, 뇨끼, 토마토파스타 다 기본적인 메뉴로 주문했는데 가벼운 가격으로 한끼 즐기기엔 매우 좋은거 같아요! 다만 양은 좀 적은 느낌이에요 ㅎㅎㅎ 2명이서 3개정도 주문하면 딱 적당히 배부른 정도? 의 느낌입니다 :) 가격 생각하면 사실 당연한것 같기도 하지만요- \n        '], ['맛있다', '\n          씨고 맛있 었다\n        '], ['괜찮다', '\n          이마트 트레이더스 간 김에 이마트에서 먹었어요. 애초에 선택지가 많진 않았지만 굳이 롤링 파스타를 가야했나라고 생각합니당ㅋㅋㅋㅋㅋㅋ 파스타 가격은 굉장히 저렴한 대신에 딱 가격 값 해요. 파스타가 묽어서 양념이 면에 밴 것 같지 않아요. 밍밍한 맛. 그나마 피자가 제일 나았어요. 스테이크는 좀 질겼고 파스타는 그냥 면 따로 소스 따로였어요\n        ']]",[],"
기타 양식
",만원 미만,없음,없음,노원구
2,마루국시,서울시 노원구 월계동 320-4 1F,0,15706.0,5.0,"[['괜찮다', '\n          22-106퓨전 한식 코스를 저렴한 가격에 맛볼수 있는곳인데 나름 여러가지 특색있는 메뉴들로 구성이 되어 있습니다중식을 바탕으로한 퓨전한식인데 크림새우라던지 해파리냉채 그리고 누룽지탕같은 흔히 먹기 어려운 메뉴들로 구성이 되어 있으나 제 입맛에는 딱히 입맛을 끄는 맛있는것은 없는듯합니다여러가지 음식이 나와서 배부르게 먹기는 했으나 결혼식장의 뷔페음식처럼 생각나는 음식이 없네요그래도 어른들 모시고 식사 대접하기에는 가성비가 좋습니다평일에는 7시30분이전에 주문해야 저녁 코스를 주문할수 있습니다점심때 손님들이 더 많은것 같습니다방문추천 60%친절도 하청결 하주차는 앞쪽 주차장 약 30 여대 가능\n        '], ['맛있다', '\n          할머니께서 친구 모임 장소로 몇 년째 여기를 가신다길래 반신반의한 마음으로 갔다. 처음에 별 기대 안 하고 갔는데 모든 음식이 다 정갈하고 맛있더라. 맨 마지막에 나오는 디저트까지 완전 마음에 듦! 그리고 서비스도 좋았다. 무엇보다 가격이 싸다. 평일 점심 저녁 코스는 14000원이고 그 이외에는 16000원 21000(?)원으로 코스 요리를 즐길 수 있다. 그리고 단품도 판다. 모임을 가진다면 여기 가는 것을 강추!\n'], ['괜찮다', '\n          코스는 가격대비 괜찮으나 서비스가 약간부족한편\n        ']]",[],"
국수 / 면 요리
",2만원-3만원,11:00 - 21:00,없음,노원구
3,우리집식당,서울시 노원구 월계동 298-6,0,1394.0,3.0,"[['맛있다', '\n          독특한 풍미의 들깨소양탕과 갓김치의 조합점심 무렵에 월계동으로 양탕을 먹으러 가자길래, 네비로도 검색이 쉽지 않은 곳을 아무생각없이 따라나섰는데, 도착하고 보니 콜린님이 극찬 한 그곳이더라 ㅎ 메뉴는 양탕과 양무침 딱 두개고, 맛깔나는 반찬과 와사비장, 다대기, 소금, 고추절임 세팅사장님이 먹는 방법을 알려주신다처음 반공기는 반찬이랑 양을 찍어 먹으며 따로국밥처럼 먹고, 다음은 밥을 말아서, 갓김치로 간을 맞추어 먹어보라 하심 ㅎ한입만 먹어도 신선함과 손맛이 느껴지는 반찬,양탕 한술에 묵직한 구수함이 가득하다손질 잘한 양은 잡내 하나 없이 쫄깃쫄깃백미는 역시 갓김치였는데, 개성 강한 양과 들깨, 갓김치라는 재료들을 합쳐놓으니풍미도 오묘하고, 서로의 단점을 감추는 것 같기도 하다분명 처음먹어보는 맛인데, 모험심이 들기도 하고암튼 다 먹고나면 보양이 될 것 같은 느낌 ㅋ왠지 몸이 허하고 으스스한 날, 뭔가 새로운 맛이 생각나는 날에 추천 ㅎ\n        '], ['맛있다', '\n          세상 어디에도 없는 돌산갓김치 들깨양탕.—식도락을 하다보면 때때로 “다 거기서 거기” 라는 권태로운 생각에 빠지게 된다. 이럴 땐 전에 경험해보지 못한 음식을 찾아나서곤 하는데, 이 날의 선택은 제3세계 음식이 아닌 노원구 <우리집식당>에서 파는 ‘들깨양탕’이었다.여기서 말하는 양은 동물 羊이 아닌 소의 첫번째 위를 뜻하는데, 양을 넣고 끓인 탕은 설렁탕집, 곱창집 등에서 보통 양곰탕이나 내장탕 등의 이름으로 판매된다.이곳의 양탕은 이름 말고도 두 가지 지점에서 특별함을 가지는데, 하나는 국물에 들깨가 들어가는 것이고 다른 하나는 갓김치를 국물에 말아먹는 것이다.뽀얗게 우려낸 육수에 적당히 넣은 들깨는 국물의 고소함을 끌어올리고 대신 약간의 느끼함을 동반하는데, 이 때 등판하는 것이 돌산갓김치. 따로 먹기엔 다소 짜게 느껴지는 이 갓김치는 밥과 함께 국물에 말았을 때 비로소 그 진가가 드러난다. 소 양과 표고버섯의 탱글한 식감에 대비되는 우적우적 씹히는 식감을 더함과 동시에 시큼하고 쌉쌀한 맛으로 자칫 평범하게 느껴질 수 있었던 음식을 완전히 새로운 것으로 탈바꿈시킨다.아마 내가 서울에서 가본 식당 중에 접근성 떨어지기론 몇 손가락 안에 드는 곳일텐데, 멀리서 찾아가볼만한 가치가 있다는 생각.-주의: 점심 때는 2인 이상만 식사 가능instagram: colin_beak\n        '], ['맛있다', '\n          지인추천으로 양탕집을 처음 가봤는데, 진짜 너무너무 맛있다!여기는 반찬이 다 맛있고, 양탕이 나오면 취향따라 곁드려 먹을 반찬이나 양념장이 다양해서 너무 좋았다.사장님도 친절하시고, 장사가 잘됐으면 하는 나만의 맛집!식당이 애매한 위치에 있는게 너무 아쉽다.  다른분들도 많이많이 방문해서 더 잘됐으면 좋겠다. 참고 리뷰: https://m.blog.naver.com/dltksla20/221996619909\n        ']]",[],"
탕 / 찌개 / 전골
",만원-2만원,없음,없음,노원구
4,벼락이네띵똥땡키친,서울시 노원구 월계동 270-6,0,2639.0,3.0,"[['맛있다', '\n          개성있는 동네 파스타집!이곳은 월계역 근처에 있는 셰프님 한 분이 운영하는 파스타집입니다~ 너무 맛있고 개성있는 집이라 추천하고 싶어서 리뷰를 작성합니다! 가장 마음에 들었던 메뉴는 시금치올리오입니다. 시금치가 수북히 올라가있어서 비주얼 적으로 좋았습니다! 또 특이하게 숙주나물이 들어있더라고요!! 숙주나물은 식감도 좋고 오일도 잘 묻어나서 면이랑 조합이 좋았습니다.또 마음에 들었던 것은 일부 메뉴의 경우 ‘리카토니면’으로 바꿀 수 있다는 것이었습니다.시금치 자체가 고급식재료는 아니지만 오일이랑 치즈같은 기본 재료들은 좋은 것을 사용하신다는 느낌을 받았습니다~ 파스타인데도 집밥 같다는 느낌을 많이 받았네요!완전 정석인 파스타도 아니고 분위기가 좋은 식당은 아니라서 멀리서 방문을 추천드리진 않지만 노원구 주민 분들에게는 꼭 추천을 드리고싶습니다! 제 입맛엔 이 동네에서만 맛있는 파스타집이아니라,, 그냥 맛있는 집이었습니다~\n        ']]",[],"
기타 양식
",만원 미만,없음,없음,노원구
5,"키라키라윤
                                    (월계인덕점)",서울시 노원구 월계동 942,0,5044.0,2.0,"[['괜찮다', '\n          그냥 식사하는 곳인 줄 알고 들어갔는데 술집 겸 식사를 같이 하는 곳이었다. 그래도 밥만 먹기에도 좋은 분위기.인테리어도 좋고,, 뭐 연어야 9000원이라는 가격 내고 엄청난 퀄리티를 기대한 게 아니어서 괜찮았지만.. 밥이 너무 질었다. 밥만 맛있었어도 가성비 괜찮았을텐데.. 그래도 덮밥이 주 메뉴가 아닌 식당이니깐.. 다른 대표 메뉴도 먹어보고 정확히 평가해야할듯! 아 그리고 고추냉이 너무 필요이상으로 담아줌;;\n        ']]",[],"
이자카야 / 오뎅 / 꼬치
",2만원-3만원,18:00 - 02:00,없음,노원구
6,"니하오마라탕
                                    (월계점)",서울시 노원구 월계동 942,0,461.0,1.0,"[['맛있다', '\n          22-60예전 망플에서 마라탕을 소개한적이 있었습니다그때 맛본 마라탕이 너무 속쓰리게 매워서 그후로 안 먹었었는데 딸아이의 소개로 방문했습니다먹고싶은 재료를 담아 그 무게만큼, 꼬치는 갯수대로 계산을 해서 탕으로 끓여서 주는 방식이더군요이것 저것 먹고싶은 것으로 담으니 약 만원 정도 나오네요탕수육과 볶음밥을 추가로 시키고 맵찔이인 우리는 딸의 추천대로 1.5단계로 주문을 했더니 국물이 하얗습니다마치 매콤한 돈코츠 라멘같았습니다그러나 맛은 전혀 다른 마라탕이 맞네요매력있습니다 그리고 진한 국물이 꽤 맛있습니다탕수육과 볶음밥이 특히 맛있습니다마라탕의 인식이 바뀐 하루였습니다방문추천 85%친절도 중청결 중주차는 뒷편 주차장 약 10 여대 가능\n        ']]",[],"
기타 중식
",만원-2만원,없음,없음,노원구
7,둘리,서울시 노원구 월계동 635-4,0,1759.0,1.0,"[['맛있다', '\n          월계 인덕대학교 앞에서 체인점에서 시작했던 4인분 시키면 4인분 더 주는 고깃집. 갈빗살 가격이 가게 초창기에 비해 많이 올랐지만 맛은 여전하다. 물가가 오른 것을 생각하면 당연하지만, 초창기 가격을 생각하면 아쉬움이 남는 건 조금 있다. 고기 먹기 좋구 여기 파채랑 콩나물이랑 나오는 거 초장? 에 비벼서 고기랑 먹으면 짱맛,, 이렇게 먹으면 4+4를 다 먹어치울 수 있을 정도... 밑반찬도 깔끔한 편이고 서비스도 괜찮다. 냉면은 좀 아쉬워서- 식사가 필요하다면 밥 시켜서 된찌랑 먹는 거 추천해요. \n        ']]",[],"
한정식 / 백반 / 정통 한식
",만원-2만원,없음,없음,노원구
8,"화돌농장
                                    (노원점)",서울시 노원구 월계동 297,0,882.0,2.0,"[['맛있다', '\n          22-84오리로스구이가 맛있다는 지인의 추천으로 방문했습니다여기는 정말 독특하네요숯불이 왕겨를 포함하고 있어서 독특하고 불판과 별개로 고기에서 나온 기름이 2차불판으로 유입되어 콩나물과 김치, 마늘을 볶아줍니다마지막엔 이걸로 볶음밥을 해주시네요오리고기는 신선하고 맛있습니다볶음밥은 생각보다 별로 였고요오겹살도 먹어봤는데 그것도 괜찮네요여긴 염소탕도 별미인가 봅니다염소탕을 시키시는 분들이 꽤 많으시네요~방문추천 70%친절도 중청결 중주차는 주차장에 약 30 여대 가능\n        '], ['맛있다', '\n          오리로스, 훈제, 흑돼지 오겹,목살흑염소탕 등등을 판매합니다.여기가 맞나 긴가민가 했는데..세차장옆 사이 길로 들어가면 넓은 주차장도 있어요.반찬도 종류는 많지 않지만 깔끔하고 엄청 친절하십니다.세살 아기랑 같이 갔는데 삼겹살, 목살 잘 먹었고숯불+쌀겨로 고기를 구워서 그런지 향이 참 좋았습니다!!!김치, 야채도 같이 구워먹을 수 있는데 다음에는 돌판에 꼭 볶음밥도 먹고 오고싶네요.식사로 칡냉면 먹었는데 딱 좋았습니다 :)불판이 약간 특이했는데 사진은 찍지 못해서 아쉽네요.다음에 또 다녀오면 사진도 추가해야겠습니다. \n        ']]",[],"
닭 / 오리 요리
",2만원-3만원,12:00 - 21:50,"첫째, 셋째 월",노원구
9,오늘은돈부리,서울시 노원구 월계동 940 동원베네스트 102동 1F,0,1932.0,1.0,"[['괜찮다', '\n          19-87월계역 근처 새로생긴 작은 밥집입니다아직 주방과 호흡이 안 맞는듯 음식이 많이 느리고 맛도 가격대비 평범 합니다다만 이근처에 이러한 밥집이 없기에 인덕대학교 학생들을 대상으로 한다면 변화가 있어야 할것 같습니다모밀은 너무 평범하고 치즈볼이나 감튀는 너무 기름냄새가 심하네요딱히 친절하지도 않고 자판기 주문에 셀프서비스인데 음식 퀄러티 대비 가성비도 별로입니다방문추천 50%서비스 25%청결 85%주차불가\n        ']]",[],"
돈부리 / 일본 카레 / 벤토
",만원 미만,11:30 - 22:00,일,노원구
