,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,굿갓레스토랑,경기도 의정부시 의정부동 133-29,4.0,59885.0,26.0,"[['맛있다', '\n          무난함이 아닌 절제미먹물파스타는 썸녀와 먹지 마시오 이건 경고요\n        '], ['맛있다', '\n          목살스테이크 4.1/5 \n        '], ['맛있다', '\n          [의정부에서 알아주는 굿갓]의정부 맛집하면 굿갓을 빼놓고 논할 수 없는 만큼 워낙 기대감이 컸는데, 코로나 시국으로 인해 배달을 시켜봤다. 팬스테이크류의 경우 배달은 비조리 상태로 배달되어 바로 먹을 수 있는 새우날치알리조또와 매콤알리오올리오 파스타를 주문했다. 새우날치알리조또는 한 입 먹자마자 ""와 맛있다!"" 라는 말이 나올만큼 로제소스가 그대로 느껴지는 녹진한 맛이었는데 중간 이후부터는 기름기가 많이 느껴져 조금 느끼하다는 생각이 들었다. (느끼한거 매우 좋아하는 입맛임에도)알리오올리오는 마늘 편이 진짜 많이 들어가서 그 맛을 온전히 느끼기에 좋았다. 그냥 보기에는 양이 적어보였는데 막상 먹어보니 적당했다. 다음에는 직접 매장에 방문해서 조리되어 나오는 즉시 먹으면 얼마나 맛있을까 싶다~ 다음에 한 번 더 매장에서 제대로 먹어보고 싶은 곳이다. \n        '], ['맛있다', '\n          또 갈 거 같은 집..!! 안심스테이크, 새우 날치알 로제 리조또, 명란 오일 파스타를 먹었어요. 우선 스테이크. 굽기를 따로 물어보시진 않았고, 처음에는 약간 레어 상태로 나와요. 근데 시간 지나서 잔열에 익다보면 딱 적당한 정도로 익는 거 같아요. 고기 맛은 쏘쏘이고, 옆에 가니시로 담긴 버섯이 맛있었어요. 리조또도 무난히 맛있었어요. 로제를 원래 좋아하기도 해요. 엄청 특출난 구석이 있는 지는 모르겠으나 괜찮았어요. 파스타 역시 쏘쏘. 얘기하면서 먹느라 사실 무슨 맛이었는지 정확히 기억나지는 않지만..ㅋㅋ 전체적으로 다 무난히 맛있었다고 기억해요. 서울에서 먹는 거랑 비교하면 살짝 저렴한 듯한 느낌인데 괜찮았어요. 다음에 기회되면 또 갈 거 같아요..!!\n        '], ['맛있다', '\n          파스타 중에서 로제를 좋아한다? 여기 가시면 됩니다 로제 파스타도 맛있고 로제 리도또도 맛있습니다일행은 까르보나라 시켰는데 제꺼 한입 먹고 자기도 로제를 시켰어야 했다고 후회했읍니다.. 무튼 로제 짱\n        ']]","[['등심,안심,양갈비 실속모듬 (300g)', '36,000원']]","
스테이크 / 바베큐
",만원-2만원,11:30 - 21:30,없음,의정부시
1,은비스브레드,경기도 의정부시 의정부동 163-10 1F,4.0,21328.0,20.0,"[['괜찮다', '\n          의정부역 온 김에 맛있는 디저트 먹고 가겠다는 다짐으로 망플 의정부 카페 1위를 방문! 의정부역 7번출구에서 ‘ 여기가 은비스브레드에요! 이리오세요! ‘라고 외치는 것처럼 간판이 바로 보여서 찾아가기 쉬웠다.•갈릭크림치즈 5,000원맛은 갈릭바게트인데 바삭하지않고 엄청 촉촉하다! 마늘 향을 크림치즈가 잡아줘서 더 조화롭다-계속 먹다보면 짭짤한편인데 멈출 수 없는 짠단짠단!부스러지고 단단한 스콘이 아니라 촉촉한 스콘이다.오리지널 맛도 궁금해진다.다른 리뷰를 찾아보니, 맛이 조금씩 바뀌는듯하다.의정부에 온다면 한번쯤 들러볼만한 카페인듯:)\n        '], ['맛있다', '\n          # 대파치즈스콘, 솔티바닐라케이콘 토요일 이 근처에 결혼식이 있어 왔다가 근거리에 있고 평이 괜찮길래 연휴 때 먹을 커피 간식을 사러 들렸습니다. 스콘을 좋아하는 편은 아니지만케이크는 좋아해서 부드러운 케이크 크림과 고소한 스콘을 결합해 만든 은비스브레드 시그니처 디저트라는 케이콘이 좀 궁금했습니다. 매장 앞에 차를 대고 들어갔는데군복을 입은 군인 동생들이 스콘을 넘나 맛있게 먹고 있어서 그렇게 맛있나? 싶기도 하고누나다 보니 그 모습이 귀엽기도 하고... ㅋ 매장을 이용하는 손님도 있긴 하지만포장도 많이 해가는 것 같았습니다. 스콘은 말차와 대파 중 고민하다 대파로 골랐고케이콘은 솔티바닐라로 가지고 왔습니다. 마음은 케이콘 한 통 옆에 두고 아이스크림 먹듯이 퍼먹고 싶은데양심 상 그릇에 덜어 나눠 먹었습니다.(나눠 먹기 좋고 보관이 용이하다 보니 이 점은 조각 케이크보다 낫습니다.) 바닐라크림과 솔티드카라멜 쿠키, 시오사토스콘이 들어갔는데달콤하고 부드러운 크림과 함께 퍼먹기 좋았습니다. 목이 메는 듯한 퍽퍽함이나 바스러져서 부슬부슬 떨어지는, 먹고 난 후 자리 정리를 한 번 해야 할 것 같은 느낌보단 부드럽고 촉촉하고 달콤한 맛을 좀 더 좋아하는데 케이콘은 크림이 들어가다 보니 달콤함도 있고 약간의 촉촉함도 있고 밑에 깔린 파실파실한 스콘 부시레기 들도 잡아주다 보니 깔끔하게 먹기 편해 좋았습니다. 대파 스콘은 구운 대파와 체다치즈가 어우러진 맛이었는데 스콘의 포슬함도 있지만 촉촉함도 함께 있어 목메지 않아 좋았습니다. 스콘도 괜찮았지만 크림 좋아하는 저는 케이콘이 조금 더 좋았습니다. 간식을 사기 위해 기름값 들이며 차 막히는 동부간선을 타고 의정부를 갈 것 같진 않지만의정부에 볼일이 있다면 돌아오는 길에 잠깐 들릴 수 있겠다 생각을 했는데...최근 건대에 2호점이 생겼네요!!!의정부 안 가도 될 것 같습니다. \n'], ['맛있다', '\n          시오사토 4.2/5\n        '], ['맛있다', '\n          귀여운 공간, 다양한 스콘이 있는 골목 스콘 맛집밀가루로 만든 스콘이구요휘낭시에는 아몬드가루로 만든대요 다음엔 휘낭시에를 먹어봐야겠어요~저는 애플크럼플 스콘을 먹어봤어요스콘위에 찐득한 애플토핑이 스콘의 심심함을 상콤달달하게 만들어주네요맛은 다양했어요 말차 스콘, 무화과 스콘 , 카라멜 스콘, 초코칩스콘갈릭크림치즈 스콘, 리얼초코스콘 떠먹는 스콘까지~ 다양해서 너무 좋더라구요저는 스콘을 그냥 먹으면 맛있다 느낀 스콘이 별로 없었어요근데 여기는 달달 혹은 상콤한 토핑들이 다양하게 있어서 개성있는 맛으로 바꿔주네요 추천합니다 의정부 신세계 백화점 근처 골목에 있으니혹 들릴일 있으심 찾아가보셔요저는 요새 밀가루 로우 운동중이라 … 천천히 한개씩 사먹어야겠어요\n        '], ['맛있다', '\n          [쿠키와 홈런볼의 부드러움을 모두 가진 케이콘]스콘이 워낙 유명한 곳인지라 가야지 맘먹고 방문했어요. 너무 늦은 저녁에 방문해서인지 스콘은 거의 없고 텅텅 비워져 있었는지라 아쉬운데로 케익처럼 생겼지만 시트는 스콘인 딸기케이콘을 집어 왔는데 이게 시그니처였네요?아무생각 없이 그냥 한 입 퍼먹하는데 이게 정말 요물입니다! 시트가 스콘이라 입 안에서 바사삭 쿠키처럼 부서지는데 또 홈런볼스러운 부드러움도 가지고 있어요. 살짝 딸기쨈 스러운 맛도 느껴지며 생크림이 먼저 사르르 녹는 이건 스콘도 케익도 아닌 확 다른 맛입니다!케이콘이라 따로 이름붙일만해요~ 원래가 퍽퍽한 쿠키류를 좋아하지 않는지라 스콘자체에 큰 흥미가 없었는데 요번 계기로 은비스는 스콘만 따로 먹으러 가봐야겠다 싶어요. 양도 보기보다 꽤 상당합니다. 가게 인테리어도 따뜻한 느낌으로 깔끔해서 방문해서 먹기에도 참 좋을거 같아요. 테이블이 많은 편은 아니에요~\n        ']]","[['생망고 우유 (regular 300ml)', '4,800원'], ['코코넛레밍턴케이콘', '7,200원'], ['커피 휘낭시에', '3,000원'], ['시오사토 스콘', '3,300원'], ['솔티카라멜휘낭시에', '2,800원']]","
베이커리
",만원 미만,12:00 - 20:00,"월, 화",의정부시
2,"평양면옥
                                    (의정부본점)",경기도 의정부시 의정부동 385,3.9,45327.0,94.0,"[['맛있다', '\n          전설은 레전드다... 원조의 포-쓰... 각 평가요소별 모두 5/5. 평냉 매니아라면 n시간 걸려서라도 가볼만..!! \n        '], ['맛있다', '\n          맛있더라야....어느날 평냉을 싫어하는 친구가 다른 친구들에게 끌려 의정부 평양 면옥에 가게 되었는데, 평냉은 먹기 싫어서 만둣국을 주문했더니 웬걸??? 인생에서 먹은 만둣국 중 최고봉이었다고 했다.심지어 평냉 먹은 사람들도 만둣국이 짱이었다고 하는 거임?ㅋㅋㅋ 아니 이걸 참아? 당장 만둣국 때리러 출발.\ufeff하지만 주말 아침 눈뜨자마자 달려서 도착한 의정부 평양 면옥엔.....만둣국이 없었.....ㄷ ㅏ......... \ufeff그렇다. 이 곳의 만둣국은 겨울 계절 메뉴였던것이었던...것이었....ㄷ ..ㅏ......\ufeff어쩔 수 없이 평냉 물냉 하나 비냉 하나 먹어 보고 오기로...ㅎ그리고 옆 테이블을 봤더니 수육을 먹고 있길래 수육도 반접시 주문했다.돼지고기와 소고기가 있는데 직원분께 뭐가 더 맛있나요? 물었더니 솔직히 돼지고기가 훨씬 맛있다고. 어허. 이렇게 양심적일 거야? 어허. 맘에 들어. 돼지고기 수육 반접시는 가격도 반값 12,000원이었음ㅋ\ufeff근데 수육 12000원인데 솔직히 양 진짜 너무한거 아니냨ㅋㅋㅋㅋㅋ한... 8조각 있던가?ㅋㅋ...;;;; 게다가 새우젓이나 무김치 쌈장 뭐 이런것도 없고 그냥 비냉 소스 하나 더 주길래 화가 났지만 한 입 먹는 순간 사르르르르ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아... 맛있네... 쩝.... 이거 그냥 수육 자체가 맛있어서 다른 양념 딱히 필요없긴하네^^;;;;;;;;(쉽게 바뀌는 마음)\ufeff물냉 - 처음에 본연 그대로의 맛을 느끼려고 자르고 바로 먹어보고 식초랑 겨자 넣고 먹어봤는데식초랑 겨자 넣지 말걸 후회했다. 물냉은 그냥 주시는 대로 먹는게 짱이다.\ufeff비냉-  그래도 기대치가 꽤 있었다. 양념이 있는데 맛 없지는 않겠지! 그리고 진짜 맛있었닼ㅋㅋ나중에 비냉에 넣어 먹으라고 냉면 국물 더 주시는데 그거 넣고 먹으면 촉촉~하니 먹기도 편하다@@@ 겨자 조금 식초 많이 넣었더니 잘 어울렸음완식!\n        '], ['맛있다', '\n          평양냉면 성지라고 불리우는곳 장맛비가 오는데도 손님들로 북적인다 육향과 구수한 맛이 툭 치고 올라오는 육수 오도독 식감의 메밀면 너무 좋구요 돼지 수육도 최강이죠\n        '], ['맛있다', '\n          경기도 의정부시 의정부1동에 위치한 의정부 평양면옥에서 메밀물냉면(1만 4천원)을 먹었습니다. 메밀물냉면은 슴슴하고 구수한 맛은 서울특별시 중구 장충동에 위치한 평양면옥의 평양냉면과 거의 비슷했으나 깊은 뒷맛은 이곳 의정부 평양면옥이 조금 더 나았습니다.결제방식 : KB국민 직장인 보너스 체크카드 1만 4천원영업시간 : 낮 11시 정각 ~ 밤 8시 15분(마지막 주문 : 저녁 7시 45분)휴무일 : 일요일, 설날 연휴 3일, 추석 연휴 3일, 신정, 삼일절, 석가탄신일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절(본인이 사장님께 직접 상세하게 질문드림)\n        '], ['별로', '\n          개 비쌈\n        ']]","[['메밀물냉면', '12,000원'], ['메밀비빔냉면', '12,000원'], ['메밀온면', '12,000원'], ['접시만두국', '11,000원'], ['만둣국', '12,000원']]","
국수 / 면 요리
",만원-2만원,11:00 - 20:30,일,의정부시
3,아이엠네이쳐,경기도 의정부시 의정부동 496 정훈빌딩,3.9,18077.0,19.0,"[['맛있다', '\n          가게 옮기기 전에도 가끔 갔었고, 며칠 전 옮긴 위치로 갔는데 역시나 변하지 않고 맛있네요!!\n        '], ['맛있다', '\n          나시고랭 쌀국수 팟타이 먹었어요나시고랭이랑 쌀국수가 진짜 맛있었어요 근데 양이 좀 적어요 그래서 팟타이 나중에 추가한거에요 양추가 3천원 더 내고 할 수 있는데 그래도 양은 적더라구요 그치만 맛있네요!!! 다음에 또 간다면 나시고랭 쌀국수 곱배기로 시켜먹을 생각입니다 분위기도 좋아요 ~ 밤에 데이트로 나오기 괜찮을것 같아요 와인도 팔거든여~ 추천드립니다 배달도 되던것 같아요팟타이는 숙주가 완전 생이라서 … 좀 별로고 특색도 그닥 못느꼈어요 하지만 쌀국수랑 나시고랭은 괜찮아요~ 다음엔 요리도 먹어보고 싶었어요 푸팟퐁커리 이런거요양 좀 많아지고 타이거 생맥 가격 낮아지면 정말 최고!! 일듯\n        '], ['괜찮다', '\n          뿌닝팟퐁커리 3.4/5\n        '], ['괜찮다', '\n           일행이 못먹는 것이 많아 메뉴 선택권이 많이 없었어요ㅠㅠ 쿵파오 치킨 같은거랑 팟타이 주문했는데 생각보다 무난무난! 양은 꽤 넉넉했지만 이 동네 가격대 생각하면 저렴한 편은 아닌 것 같아요. 무엇보다 둘 다 음식 간이 너무 약한게 아쉬웠어요. 맛이 제개로 안느껴지더라구요ㅠㅠ 또 간다면 좀 더 자극적인 메뉴들로 고를듯!\n        '], ['맛있다', '\n          가게 안에 나무가 있어요. 코로나 2.5에도, 12시가 되기전에 테이블이 풀이네요.매운 토마토 쌀국수 7000.생각보다 화끈합니다. 고수가 들어가서 인지 느낌은 토마토 똠양꿍 비슷하다고 할까요? 토마토 때문인지 스튜나 스프 같기도 해요. 새우가 아주 탱글탱글 적당이 읶어서 엄청 흥분됬어요. 뜨거운 국물은 안매운거 같다가 뒤로 슬슬 올라와요. 근데 가벼운 싹국수라 후룩후룩 잘 들어가요. \n        ']]","[['쌀국수', '9,000원'], ['새우볶음밥', '9,500원'], ['톰얌꿍', '18,500원'], ['미고랭', '11,500원'], ['팟프릭탈레', '23,500원']]","
태국 음식
",만원-2만원,11:30 - 22:00,없음,의정부시
4,비스킷테이블,경기도 의정부시 의정부동 140-15 103호,3.9,6537.0,8.0,"[['맛있다', '\n          가끔 이 디저트 가겐 어디있는거지 했었는데어디 들렸다 오는 길에 발견! 의정부역 앞쪽 대로변에 있었다어찌나 반갑던지…레몬휘낭시에와 카야버터스콘을 구매해옴 사실 무화과 스콘이 넘나리 땡겼는데 그나마 이건 남편이 먹겠지 하는 마음에 사왔으나 실패다암튼 맛은 성공!!! 한동안 비건이면서 맛있는 빵가게를 뒤졌으나 블루리본 앞에서는 비건이고 뭐고 크크크레몬 휘낭시에 너무 맛있네요새콤한 레몬 코팅에 맛이 아주 고소하며 새콤한 …카야버터스콘은 예상한 그맛 그대로카야잼의 달달함과 버터의 꼬수함 그리고 스콘의 구수함크크크맛난 디저트가게 발견!!! 다른 맛들도 사먹어야겠당 싶은 ~~~여기 근데 월화 휴일이에요 참고하셔요이미지 뒷부분에 1월 휴일 달력은 첨부했어요\n        '], ['괜찮다', '\n          오~ 의정부역사 근처에 평이 좋은 스콘집이라니! 조금 늦은 시간에 갔더니 초코칩스콘 매진, 마들렌도 몇 개는 매진. 사본 건 바질치즈,무화과크랜베리 스콘. 카라멜,초코 휘낭시에.제일 맛있었던 건 질감과 맛 모두 만족했던 초코 휘낭시에. 촘촘하고 딴딴한 밀도에 짭쪼르미 달달구리한 맛이 좋았다. 크렌베리 스콘에 크렌베리가 깨알같이 많이 박혀있어 좋았고, 카라멜 휘낭시에도 평타 이상. 유일하게 그닥이었던 건 바질치즈. 콜비잭치즈를 써서 호불호가 좀 갈렸고, 바질의 농도를 좀 낮추는게 치즈와 바질의 향이 충돌하지 않을 것 같은 느낌이었다. 바질도 쎄고 치즈도 쎄서 둘이 싸우는 느낌이랄까. 둘 사이의 비율을 조금 더 고민한다면 호불호 없는 바질치즈가 될 듯~총평: 앞으로 의정부에 갈 때마다 자주 들릴 것 같은 예감. 담엔 마들렌 시도해야지~\n        '], ['괜찮다', '\n          크게 인상적이진 않았던 카페.의정부에 있는 곳인데 테이크아웃만 되는 곳이라 외부음식 반입되는 곳에서 먹었어요.파운드, 마들렌 포함해서 세가지 먹어봤는데 나쁘진 않았는데요. 빵 부분 식감이 약간 푸슬푸슬?? 퍼석퍼석?? 한 질감이었던 게 쫌 아쉬웠어요. 마들렌은 아이싱 부분도 맛이 살짝 아쉬웠구요.동네 빵집으로썬 나쁘지 않은 것 같은데 막 찾아가서 먹을 정도는 아닌 것 같아요. 재방문의사X\n        '], ['맛있다', '\n          의정부역 바로 앞에 있는 디저트 카페. 실내에 먹을 곳은 없는 테이크 아웃 전문인데 배달의 민족으로도 이용 가능하고 실제로 내가 들어가기 직전에도 배민라이더가 가게에서 나오는 걸 봤다. 가게는 작은데 꽤나 다양한 메뉴들이 있다. 휘낭시에, 마들렌, 까눌레, 케이크, 티라미수 스러운 떠먹는 케이크류, 파운드케이크, 스콘. 홀케이크도 주문가능한 것 같았다. 뭔가 유행하는 구운과자들 총집합인 느낌인 곳. 종류도 정말 다양하던데 고민 많이 하셨을 듯. 휘낭시에류는 단단해 보이는 깔끔한 겉모습만 봐도 평타이상은 하겠다는 느낌. 크림치즈군고구마랑 고르곤졸라, 기본을 먹어봤다. 부재료맛을 잘살린 편이고 고르곤졸라 짭짤해서 좋았다. 기본이 단단한 만큼 식감이 좊았음\n        '], ['맛있다', '\n          큰길가에 있는 가게. 내부가 협소해서 앉을 자리가 없어요. ㅡㅡ케이크도 예약 가능한거 같아요.얼그레이밀크티 5000, 플레인 휘낭시에 1700, 카라멜 휘낭시에 1900 & 무화과크렌베리 스콘 3500.밀크티는 24시간 냉침해서 향이 진하네. 너무 달지않고 고소하게 느껴지는데, 수제 연유라서 인가 싶어요. 휘낭시에는 구매 4시간 후 먹었는데 겉이 바삭하니 좋았어요. 캬라멜이 더 고소하면서 달았어요.무화과크렌베리는 못 먹어 봤네요.\n        ']]",[],"
카페 / 디저트
",만원 미만,12:00 - 20:00,"월, 화",의정부시
5,깡통돌곱창,경기도 의정부시 의정부동 442-8,3.7,62243.0,46.0,"[['괜찮다', '\n          기대를 너무 많이하고 간듯싶다..곱창이 그냥 곱창이였던.. 새로운 세계는 열리지 않았다\n        '], ['괜찮다', '\n          깡통 한우생곱창모듬 / 볶음밥\n        '], ['맛있다', '\n          별 ⭐⭐⭐⭐⭐사람많이 모이는 강남엔그 어떤 곳보다 맛집이 많다.이유는 사람이 많기에유동인구에 비례한 방문횟수와 인증 후기들로 판가름이 나지만이 곳 의정부역에서 잘 보이지 않는 골목에 위치한 이 곱창집은그에 비하면 유동인구도 턱없이 부족하지만 한번 가봄 사람이라면 여기가 내 인생 곱창집이라 할만큼 만족스러운 곳우선, 곱창이 이렇게도 신선하고 깨끗하고 깔끔할 수 있을까하는 재료의 청결함과 신선도가 완벽 그자체생간 천엽이 서비스로 그 역시도 신선하지 않고서는 내어 놓을 수 없는 서비스다.염통구이도 서비스로 주시지만 그 맛을 보면 추가를 안할 수가 없는 매력적인 서비스사진으로 다 표현 못하지만 가격까지 착하기에 거리먼 제외한다면 매알 가고싶은 그곳, 깡통돌곱창이다.단점, 거리 위치만약 이 가게가 강남에 있었다면 어땠을까?\n'], ['맛있다', '\n          맛집인스타 : @tastekimsolo항상 궁금했다.의정부를 들르면 평일이고 주말이고 늘 긴 웨이팅이 서있던 곳이니까.비오는 평일 줄이 없길래 쇽 들어가 봤다. 기본찬인 선지국 먹어주고, 막걸리 한잔 하고있으니 메뉴가 대령이다.자르지않은 원초적인 내장 비쥬얼이 오히려 좋다. 1차로 잘라가며 구워주시고, 어느정도 먹었다 하면 부추를 넣어서 2차로 구워주신다. 깨알같이 식빵으로 기름기 제거는 옵션이다.떡부터 시작해서 다양한 특수부위가 함께 나오는데, 특히 꼬들꼬들했던 유창이 인상깊었다. 곱창도 기름지고 꼬수우니 만족.부위별로 어울리는 장도 추천해주시고 서비스는 참 좋다. 양념부추를 넣고 볶으면 양념의 달달함이 곁들여져 더욱 좋다.2인으로도 제법 배가 차서, 볶음밥으로 마무리했다. 추가 주문은 2인분부터 가능하고, 사람이 많아 앉는 시간에 제한이 있다. 이 부분은 참조. 가격 : 깡통 생곱창구이 20000\n        '], ['맛있다', '\n          여태 먹어본 염통중 제일 맛있었다.염통에서 불고기 맛이나고 너무 부드러웠다.막창 대창이 특히 맛있었고 부추에 들깨가루가 들어가서 특이하고 신선했다.마무리 볶음밥까지 맛있게 잘먹었다.\n        ']]",[],"
고기 요리
",2만원-3만원,17:30 - 24:30,일,의정부시
6,"미도인
                                    (의정부점)",경기도 의정부시 의정부동 196-20,3.4,7479.0,9.0,"[['맛있다', '\n          한 마디로 딱 깔끔한 집스테이크 맛있다\n        '], ['괜찮다', '\n          한번씩 가기 좋아요\n        '], ['별로', '\n          그냥 그랬어요 양 적어서 저랑 남편은 스카치에그 까지 시켜놨지만 다 먹어도 양 적어서 나와서 연돈 돈까츠볼까지 사먹었네요분위기도 좋고 음식도 깔끔하게 나오는데 양이 너무 적어요 대창큐브스테이크 13000청두사천탄탄멘 8800미도인스카치에그 4800카스 병맥 350ml 4000맥주 가격보고 더 알겠더라구요 가격 비싼편이에요 음식은 맛 괜찮아요 쎈 양념 맛 이런건 아니지만 깔끔하고 맛도 괜춘해요 단지 양이 너무너무 적어요재방문의사는 없어요 ( ꈨຶ ˙̫̮ ꈨຶ ) 왜냐면 양이 너무 적어서… 암튼 그래도 맛없진 않았고 양적으신 분들은 가봐도 좋겠어요\n        '], ['맛있다', '\n          [스테이크가 너무너무너어무 맛있는 곳]기존에 의정부 맛집으로 이름날리는 곳은 아니지만 스테이크가 먹고싶기도하고 가격도 적당해서 찾았는데 정말 맛있었다. 진심 상단에 랭크되어야할 곳이다. 의정부 백화점내 식당가의 여느 스테이크덮밥 스테이크보다 훨씬 맛있고 심지어 가격도 착하니까, 다른데서 200g 먹을거 여기서 300g+더 맛있게 드시면 됩니다.체인점인지는 나중에서야 알았는데 지점별로 동일한 맛인지는 모르겠으나 의정부점은 아주아주 인정이고, 스테이크 정식도 맛있지만 개인적으로는 덮밥이 아주 맛있었어요. 소스가 너무 흔하지도 않으면서 맛있었습니다.같이간 고기파의 짝꿍님도 매우 인정. 고기드시고 싶으실때 미도인 찾으시면 후회는 없으실거에요. \n        '], ['괜찮다', '\n          가게가서 먹었으면 좀 더 좋았을 듯대창덮밥이랑 큐브스테이크덮밥을 먹었어요. 합쳐서 가격은 21,400원!음ㅁㅁ 둘다 그냥 무난했어요. 특별히 이상하지도 않고, 엄청 맛있는 것도 아니고. 대창덮밥은 전에 을지로에서 먹었을 때가 진짜 맛있었는데 그정도의 감흥은 없었어요.다만 이게 포장해서 먹은 거라 좀 안타깝긴 하네요. 어느 음식을 먹던지 포장해서 먹으면 다운그레이드 되는 거 같아요. 코로나의 위협에서는 좀 더 안전해지긴 하지만.. 여기도 가게에서 먹었으면 더 맛있게 먹었을까요..?ㅎ아, 스카치에그를 먹어보고 싶었는데 소진됐다고 하시더라구요. 그게 좀 아쉽네요ㅠㅠ\n        ']]",[],"
퓨전 한식
",만원-2만원,11:30 - 21:00,없음,의정부시
7,쏨땀타이,경기도 의정부시 의정부동 442-11 서부타워빌딩,0.0,22987.0,19.0,"[['맛있다', '\n          저는 괜찮앗어요푸팟퐁은 소프트쉘이 아니여서꿍팟퐁커리를 시키는 게 더 좋아요새우튼실하고 맛있습니다.스티키라이스는 따로 안시켜도기본 밥이 나와요.\n        '], ['별로', '\n          음 ... 정말 구렷다이름은 마치 매우 정직한 타이음식점같앗고 의정부에서 상위권이엇는데 하아ㅜ푸팟퐁커리를 그냥 껍데기가딱딱한꽃게를 넣고만들다니ㅡㅡ 게다가그게가 썩은게엿다....이건 거의 소비자고발프로그램에나가야한다\n        '], ['맛있다', '\n          꿍팟퐁커리 맛있어요~~\n        ']]",[],"
태국 음식
",만원-2만원,10:00 - 22:00,없음,의정부시
8,"매드포갈릭
                                    (의정부점)",경기도 의정부시 의정부동 168-54 신세계백화점의정부점 9F,0.0,23395.0,18.0,"[['맛있다', '\n']]",[],"
패밀리 레스토랑
",만원-2만원,11:00 - 21:30,없음,의정부시
9,"사보텐
                                    (신세계백화점 의정부점)",경기도 의정부시 의정부동 168-54 신세계백화점 의정부점 9F,0.0,8314.0,9.0,[],[],"
까스 요리
",만원-2만원,10:30 - 21:30,없음,의정부시
