,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,라구,경기도 동두천시 송내동 677-6 101호,0,17012.0,6.0,"[['맛있다', '\n          이태리에서 정통 이태리식 파스타를 공부하고 오신 사장님 친절하시고 동두천의 인생 파스타 집입니다. 스테이크도 화덕 피자도 정말 맛있어요. 생면과 일반면 골라서 먹읗 수 있어서 좋은거 같아요\n        '], ['맛있다', '\n          신랑찬스굿굿\n        '], ['맛있다', ""\n          맛집인스타 : @tastekimsolo동두천에서 파스타가 당길 때 찾아가는 곳.몇 안되는 선택지라 보통 직장 동료들과 많이 찾곤 한다.점심 세트도 따로 있는데 오늘은 단품으로 주문했다.까르보나라와 알리오 올리오, 라자냐와 연어 치즈 샐러드를 픽. 올리브유 찍어먹는 식전빵은 기본으로 나오니 양은 아주아주 푸짐하다.까르보나라는 최근 구성이 바뀌었다. 노른자를 올려준 것이 변화 중 하난데, 덕분에 비쥬얼이 아주 좋아졌다. 노른자의 비린맛도 거의 없는 편. 정통 이탈리아식 까르보나라보다는 크림 스파게티에 가깝지만 소스가 꾸덕하고 맛있다.라자냐는 빵 세개를 올려주는 것이 특이점. 아마 라자냐 면의 특성상 후루룩 먹다보면 금방 먹다보니, 양 때문에 추가한 듯 하다. 개인적으론 굳이 빵에 라자냐를 올려먹을 의미는 찾지 못하겠다. 크림소스 찍어먹기엔 좋았다. 그와는 별개로 라구소스나 라자냐의 조합은 무난하지만 괜찮았다.샐러드, 알리오 올리오도 모두 평균 이상 한다. 굳이 길게 적지 않는 것은 아는 맛이라 그렇다.식사를 끝내면 커피나 페퍼민트 차를 내주시는데, 커피가 꽤 맛있다. 산미는 거의 없고 마치 누룽지처럼 고소함이 강한 커피다. 이쪽 주변이 라구 뿐 아니라 먹을 가게가 많은 고로, 근처 들릴때면 찾아도 좋을 듯. '와'보다는 '음' 정도의 느낌으로 아는 맛을 맛있게 만든 곳이다. 주방이 오픈형인 데다가 분위기도 좋아서 여유있게 식사 즐기기도 괜찮다.\n""], ['괜찮다', '\n          라구랑 마리아주가 같이 운영하는 곳이더라구요. 라자냐는 그냥그랬고 마르게리따는 괜찮았어요~ 전체적으로 무난 평범했어요. \n        '], ['맛있다', '\n          와 동두천에 이런 파스타 집이 있다니.. 너무 맛있고 재방문 의사 있어요!!\n        ']]",[],"
이탈리안
",만원-2만원,11:30 - 22:00,화,동두천시
1,뚱가네수제갈비,경기도 동두천시 지행동 728,0,11814.0,4.0,"[['맛있다', '\n          괜찮은 돼지갈비 집이라 생각합니다.밑반찬이 일단 먹어줍니다.고기많이 넣은 청국장이 가장 맛있엇습니다. 고기 많이 먹고 싶을때 가면 적당한 가격에 괜찮게 먹는거 같아요. 소고기든 돼지고기든 \n        '], ['맛있다', '\n          맛있다\n        ']]",[],"
고기 요리
",2만원-3만원,11:00 - 23:00,없음,동두천시
2,마리아주,경기도 동두천시 송내동 677-6 102호,0,5402.0,1.0,[],[],"
이탈리안
",만원-2만원,월-금: 11:00 - 24:00 토-일: 10:30 - 24:00,화,동두천시
3,야미앤바베쿡스,경기도 동두천시 지행동 727-4 2F,0,12089.0,2.0,"[['괜찮다', '\n          두명이서 갔는데 양도 많고 맛도 있고4만원대에서 바베큐 진짜 맛있었습니다.부족한점은 목살 부분(?) 그쪽이 너무 퍽퍽했지만다른 부위는 부드럽고 맛있어서 좋았습니다. 또 가고 싶네요 ㅎ\n        ']]",[],"
스테이크 / 바베큐
",2만원-3만원,15:00 - 23:30,둘째/넷째 월,동두천시
4,아리랑갈비,경기도 동두천시 지행동 736-2,0,12065.0,8.0,"[['맛있다', '\n          돼지갈비 질리지 않고 엄청 잘 먹었어요 \n        '], ['맛있다', '\n          가격이 있는편이고 고급갈비집 분위기로 룸도 여럿 있어요. 맛있어서 바로 옆에 아리랑2도 금새 확장해서 생겼다는것같아요~ 소소한 집안모임하기도 맛이있어서 좋아요\n        ']]",[],"
고기 요리
",2만원-3만원,11:00 - 21:30,없음,동두천시
5,커민양꼬치,경기도 동두천시 지행동 694-7 두인빌딩,0,4900.0,8.0,"[['맛있다', '\n          ㅋ 전국 최고의 양고기 집이라해도 손색없을~ 여사장님 너무친절하고 미소가 아름다우신 분입니다손님 하나하나 기억해주시고 최고의 맛 최고의 서비스고기의 질이 다른 곳과는 좀 다른거 같아요 ㅋ\n'], ['맛있다', '\n          맛있음\n        ']]",[],"
기타 중식
",만원-2만원,16:00 - 01:00,"일, 월",동두천시
6,"3일소고기국밥
                                    (지행점)",경기도 동두천시 지행동 694-6,0,7479.0,4.0,[],[],"
탕 / 찌개 / 전골
",만원 미만,00:00 - 24:00,없음,동두천시
7,스시정,경기도 동두천시 지행동 694 예일복합타워,0,5795.0,6.0,"[['맛있다', '\n          맛있어요 동네에 친구들 놀러오면 데리고 가는데 다들 만족하네요\n        '], ['맛있다', '\n          인생초밥집!! 일본 유명한 초밥집에가도 여기만못하다 밥에 간이 잘 베어있고 회도두꺼워 씹는맛도있다 가격도 적당하고 너무너무 좋아요오오옹\n        '], ['별로', '\n          여태까지 다녀본 초밥집중에 제일최악이었다. 분위기도 너무 분주해보였고 친절도도 낮았지만 그래 너무 바빠서 그런가보다 맛만 좋으면 됐지 라고 좋게 생각할라고 했는데물도 안주고 물 달라고 말씀드리니 알바인지 물만 턱 주고 컵도 안주고 세팅도 안되있고 휴지도 숟가락도 텅텅 비어있고초밥도 주문한지가 언젠데 한참뒤에 젊은 직원분이 나오시더니 사장님이 그제서야 그분한테 여기 초밥 만들라고.. 아까 주문했는데 이제서야?사장님은 우리보다 늦게 주문한 다른 분들 사시미 만들어주고 계시고그래 다 떠나서 맛만 맛있으면 된다 맛집이니까 맛있겠지 했는데 초밥도 다 별로였다 몽땅 다밥알이 다 후두두 떨어져서 분리해서 먹어야 될 수준이었다. 회 자체도 신선도나 질감도 그럭저럭이었고초밥집에서 초밥만 십분만에 먹고 나온 적도 처음인 것 같다. 우리가 먹은 초밥만 그랬는지 직원분이 유독 그날만 잘 못만드셔서 그런건진 모르겠지만 우리가 처음 방문한 스시정에서 처음 먹은 초밥은 별로였다서비스나 친절도나 기본세팅이라도 잘 되어있으면 초밥 밥알이 떨어져도 그가격에 기분좋게 먹었을텐데 글쎄.. 아마 재방문의사는 없을 것 같다\n        ']]",[],"
회 / 스시
",만원-2만원,월-금: 11:30 - 23:00 토-일: 12:00 - 21:30,없음,동두천시
8,옛이담골수제족발전문,경기도 동두천시 지행동 718-4 스타빌딩 본동 108호,0,4187.0,5.0,"[['맛있다', '\n          족발 맛있어요! 윤기 좔좔~ 열무김치랑 서비스로 주시는 막국수도 깔끔! 느끼함을 잡아줍니다 \n        '], ['맛있다', '\n          많이 맵지도않고 짜지도않게 먹을수있어서 좋았습니다~메뉴에 족발과 골뱅이가 세트로나오는것도 있으니 취향따라 입맛따라 먹어보시길 추천합니다! 얼음막걸리도 맛잇네요. 술이 술술들어가요 zz\n        ']]",[],"
고기 요리
",만원-2만원,15:00 - 01:00,없음,동두천시
9,흰곰피자&파스타,경기도 동두천시 송내동 688-9,0,1395.0,1.0,"[['맛있다', '\n          맛집인스타 : @tastekimsolo동두천에 파스타 맛집이 들어왔다. 6월에 오픈한 따끈따끈한 신규 업장이다.창가에 곰 그림이 강렬했는데, 내부는 요즘 느낌으로 세련됐다. 예약 후 방문했더니 요리가 바로바로 나온 점도 좋았다.[식전빵과 샐러드]* 식전빵은 매번 바뀐다고 한다. 바게트와 견과류 콕콕 박힌 빵이 나오는데 입맛 돋우기 제격.* 리코타 치즈 샐러드는 클래식한 맛이지만, 청포도와 살구 등이 푸짐하게 들어가 상큼함을 더했다. 산더미같은 그릇에 나와서 임팩트가 상당했다.[파스타와 리조또]* 참나물 파스타는 가게 방문하면 꼭 주문하시길 바란다. 오일 파스타 전반에 시금치 우린 물 같은 구수함이 느껴져 독특하다. 참나물은 쌉싸래한 향과 맛으로 개성을 더한다.알덴테로 잘 삶아진 파스타와 초록색 예쁜 비쥬얼은 덤.* 관자 리조또는 리조또 사이사이에 치즈가 들어가 한 숟갈 뜨면 쭉 늘어나 재밌다. 학생 시절 많이 먹던 치즈밥 먹는 느낌이다.맛에선 해산물 육수 풍미와 매콤함이 강렬하다. 관자 느낌보다는 아작아작한 조개살과 새우가 더 많이 느껴진다.* 만조 로제 파스타는 로제 소스가 중독적이다. 일반 로제소스보단 토마토 풍미가 강해 개운하다. 고명인 소고기는 다소 퍽퍽한 편이지만 파스타가 맛있으니 OK.[총평]맛은 로제, 독특함은 참나물.직장동료 넷이 가서 배가 터지는 줄 알았다. 양도 많고 가격대도 괜찮다.마지막에 탄산수까지 서비스도 좋으셨다. 피자류는 못 먹어봤는데 이건 다음을 위해 남겨놓는다. 동두천에서 전메뉴 뽀갤 집이 오랜만에 생겼다.\n        ']]",[],"
이탈리안
",만원-2만원,없음,없음,동두천시
