,title,location,estimation,viewCount,reviewCount,reviews,menus,food_type,money_range,open_time,break_time,metro_station
0,"평양면옥
                                    (의정부본점)",경기도 의정부시 의정부동 385,3.9,45328.0,94.0,"[['맛있다', '\n          전설은 레전드다... 원조의 포-쓰... 각 평가요소별 모두 5/5. 평냉 매니아라면 n시간 걸려서라도 가볼만..!! \n        '], ['맛있다', '\n          맛있더라야....어느날 평냉을 싫어하는 친구가 다른 친구들에게 끌려 의정부 평양 면옥에 가게 되었는데, 평냉은 먹기 싫어서 만둣국을 주문했더니 웬걸??? 인생에서 먹은 만둣국 중 최고봉이었다고 했다.심지어 평냉 먹은 사람들도 만둣국이 짱이었다고 하는 거임?ㅋㅋㅋ 아니 이걸 참아? 당장 만둣국 때리러 출발.\ufeff하지만 주말 아침 눈뜨자마자 달려서 도착한 의정부 평양 면옥엔.....만둣국이 없었.....ㄷ ㅏ......... \ufeff그렇다. 이 곳의 만둣국은 겨울 계절 메뉴였던것이었던...것이었....ㄷ ..ㅏ......\ufeff어쩔 수 없이 평냉 물냉 하나 비냉 하나 먹어 보고 오기로...ㅎ그리고 옆 테이블을 봤더니 수육을 먹고 있길래 수육도 반접시 주문했다.돼지고기와 소고기가 있는데 직원분께 뭐가 더 맛있나요? 물었더니 솔직히 돼지고기가 훨씬 맛있다고. 어허. 이렇게 양심적일 거야? 어허. 맘에 들어. 돼지고기 수육 반접시는 가격도 반값 12,000원이었음ㅋ\ufeff근데 수육 12000원인데 솔직히 양 진짜 너무한거 아니냨ㅋㅋㅋㅋㅋ한... 8조각 있던가?ㅋㅋ...;;;; 게다가 새우젓이나 무김치 쌈장 뭐 이런것도 없고 그냥 비냉 소스 하나 더 주길래 화가 났지만 한 입 먹는 순간 사르르르르ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아... 맛있네... 쩝.... 이거 그냥 수육 자체가 맛있어서 다른 양념 딱히 필요없긴하네^^;;;;;;;;(쉽게 바뀌는 마음)\ufeff물냉 - 처음에 본연 그대로의 맛을 느끼려고 자르고 바로 먹어보고 식초랑 겨자 넣고 먹어봤는데식초랑 겨자 넣지 말걸 후회했다. 물냉은 그냥 주시는 대로 먹는게 짱이다.\ufeff비냉-  그래도 기대치가 꽤 있었다. 양념이 있는데 맛 없지는 않겠지! 그리고 진짜 맛있었닼ㅋㅋ나중에 비냉에 넣어 먹으라고 냉면 국물 더 주시는데 그거 넣고 먹으면 촉촉~하니 먹기도 편하다@@@ 겨자 조금 식초 많이 넣었더니 잘 어울렸음완식!\n        '], ['맛있다', '\n          평양냉면 성지라고 불리우는곳 장맛비가 오는데도 손님들로 북적인다 육향과 구수한 맛이 툭 치고 올라오는 육수 오도독 식감의 메밀면 너무 좋구요 돼지 수육도 최강이죠\n        '], ['맛있다', '\n          경기도 의정부시 의정부1동에 위치한 의정부 평양면옥에서 메밀물냉면(1만 4천원)을 먹었습니다. 메밀물냉면은 슴슴하고 구수한 맛은 서울특별시 중구 장충동에 위치한 평양면옥의 평양냉면과 거의 비슷했으나 깊은 뒷맛은 이곳 의정부 평양면옥이 조금 더 나았습니다.결제방식 : KB국민 직장인 보너스 체크카드 1만 4천원영업시간 : 낮 11시 정각 ~ 밤 8시 15분(마지막 주문 : 저녁 7시 45분)휴무일 : 일요일, 설날 연휴 3일, 추석 연휴 3일, 신정, 삼일절, 석가탄신일, 어린이날, 현충일, 광복절, 개천절, 한글날, 성탄절(본인이 사장님께 직접 상세하게 질문드림)\n        '], ['별로', '\n          개 비쌈\n        ']]","[['메밀물냉면', '12,000원'], ['메밀비빔냉면', '12,000원'], ['메밀온면', '12,000원'], ['접시만두국', '11,000원'], ['만둣국', '12,000원']]","
국수 / 면 요리
",만원-2만원,11:00 - 20:30,일,의정부시
1,사쿠라멘,경기도 의정부시 호원동 309-36,3.4,20623.0,26.0,"[['괜찮다', '\n          의정부 희룡역 근처에 위치한사쿠라멘 다녀왔어요토요일 점심시간에 도착했는데1시간 정도 웨이팅했고 대기순번신청하고 바로 메뉴 주문을해야 했습니다저는 날이 너무 더워 냉라멘으로주문했고 먼저 밑반찬인 겉절이김치가 맵쌀 한 게 좋았어요10분 정도 기다리니 냉라멘이나왔는데 입이 벌어질 정도로그릇과 양이 엄청났어요면과 국물이 보이지 않을 정도로야채가 푸짐했고 치킨까스와커다란 새우까스까지 굉장히마음에 들었습니다소바 국물 같은 소스에 튀김을곁들이기도 좋았습니다다만 먹다 보니 육수가 간이조금 강한 편이었고 라멘보다다양한 요리의 퓨전 느낌을많이 받았습니다\n        '], ['별로', '\n          이제 다시 안갈듯 에비튀김은 기본 1개씩 나옴 여기는 뭔가 양이 어마무시하다 근데 기다림도 어마무시하다간은 내가 쎄게 먹는건지 하다 만 느낌이다그리규 면은 다 불고 흠 .. 이해 안된다 이 대기줄이 그리고 요리하는 바 에서 앉아 먹었는데요리하는 분이 알바생을 쥐잡듯 잡는데 소화가 안되더라 못하는 직원이 진짜 그러고 있음 나도 속 뒤집어 지는거 이해 못하는 거 아닌데 바 자리에 손님 있으면 좀 정도껏 해주는게 예의 아닌지 계속 소리지르시고 그리고 밖에서 대기2-30분 하면 안에서도 30분은 해야한다 요리가 무척 늦게 나온다 다시 못갈듯 대기를 기다릴 자신도 없고 그 대기를 지나 먹어도 그만큼 흡족하지가 않다 근처 고수짬뽕이 훨 낫다 비추비추 ~ 다시 안간다 까먹지 말아야지 또 속고 다시 갔던 것 후회중힝 근데 또 심심한 맛이 나에겐 별로지만 좋아하는 사람도 있겠지\n        '], ['맛있다', '\n          기다리는 시간 저어되어 가기 힘들지만 맘 먹고 가면 항상 만족.양도 푸짐하고 맛도 훌륭하다. 동네 세 손가락 안에 드는 맛집.\n        '], ['맛있다', '\n          라멘 종류가 유명하지만 사케동도 맛있다 특히 튀김 종류가 양도 많고 정말 맛있어서 하나 먹어보면 후회안할듯 브레이크 타임이랑 오전오후 영업시간 잘 확인하고 가야함 주차 자리 마땅X\n        '], ['맛있다', '\n          회룡역  소문난  맛집돈까스 랑 나가사끼 짬뽕이  유명해요건더기가 푸짐푸짐~~~근처에 갈일있으면   들리는 곳이에요\n']]",[],"
라멘 / 소바 / 우동
",만원 미만,없음,없음,의정부시
2,이흥선초밥,경기도 의정부시 호원동 423,0.0,5177.0,4.0,"[['괜찮다', '\n          맛: 별 다섯개중 4개? 동네여서 가본 먹을만은 했던 집괜춘해요! 재료 신선하고 동네 초밥집으로 괜찮더군요~!알탕도 괜찮았어요 알이 엄청 많지 않지만요회는 신선하고 좋습니다회초밥 선택 가능한 종류들도 많구요 맛있어요 가지초밥이 그동안 제가 안먹어본 특이했던 아이인데맛있었어요그리고 초밥먹기 전 튀김 미니우동이 있어서 좋았어요\n        '], ['맛있다', '\n          회룡역  초밥  맛집이에요연어덮밥도  맛있고  초밥도   맛있어요런치로 자주 이용해요\n        '], ['맛있다', '\n          *재방문의사80%\u200b의정부 생참치 쓰는 참치맛집으로 유명한 이흥선참치에서 2019년 런칭한 초밥전문점 이흥선초밥. 이흥선스시.\u200b100kg이 넘는 참치를 매주 해체해서 각 지점에 공급하는 방식으로 이흥선 초밥에서도 신선도 좋은 생참치로 최고 퀄리티의 생참치초밥을 비롯하여 좋은 재료의 초밥을 저렴하게 맛볼 수 있다.\u200b올해 봄 메뉴리뉴얼을 통해 15,000원짜리 초밥에 생참치, 연어, 우니, 새우장, 단새우 초밥등을 한번에 맛볼 수 있는데 거의 우리나라 최상급의 가성비가 아닐까 하는 생각.\u200b""생참치라는 비장의 무기를 장착한 의정부 초밥집!""\n']]",[],"
회 / 스시
",3만원-4만원,없음,없음,의정부시
3,스시진솔,경기도 의정부시 호원동 50-17,0.0,677.0,1.0,"[['괜찮다', '\n          회룡역 도보 1~2분 2층에 있어요원래 가려던 오마카세 가게 사정으로 하루전 취소당해서급하게 스시진솔 예약했어요<런치 오마카세>1부 12:00~13:002부 13:30~14:30<디너 오마카세>1부 19:00~21:00오픈한지 얼마 안돼서 깔끔한 스시진솔짐,옷은 보관하는 공간 있답니당쉐프님께서 12시에 음식 내어준다고 하셨어용쉐프님 두 분이서 반 나눠서 해주셔요가쓰오부시 올라간 일본식 계란찜 차완무시말해뭐해 부드러운데다가쓰오부시 식감과 짭짤함 더해져서 맛있어요전복술찜 내장이랑 밥 나와요전복 찍어먹고 남은 내장 밥에 비벼 먹으면 돼요 ◡̈감태가루 올라간 아귀튀김바삭한 튀김에 엄청 부드러운 오동통한 아귀살속만 봤을땐 돈까스 같아요간 되어 있어서 짭쪼름하니 맛있어요아귀간초밥 사실 비주얼 된장같아서 뭘까 걱정했었어요아귀간 처음 먹어보는데 엄청 고소해요마지막에 앵콜스시해주셨어요❤️\u200d❤️\u200d❤️\u200d녹차 아이스크림나뚜루인가? 녹차맛 진하지 않고 은은해요마지막 디저트로 입가심 완벽하게 했어요ෆ음식 나오는데 텀 있어서 중간중간 비는 느낌있어요ㅎㅎ\n        ']]",[],"
회 / 스시
",4만원 이상,없음,없음,의정부시
4,일미만두,경기도 의정부시 호원동 435-1,0.0,5208.0,7.0,"[['맛있다', '\n          [솔직리뷰] 국물이 끝내줌. 궁중만두 추천.\n        '], ['맛있다', '\n          만두전골 커플세트로 둘이 먹었는데 여전히 맛있네요. 양은 넉넉해서 모질라진 않을 거에요. 튀김만두는 제대로 바삭해서 맛있고, 전골에는 김치, 고기, 유부 만두가 다양하니 골라먹는 재미가 있어서 좋아요. 얼큰하게 드시고 싶은 분들을 위해 고춧가루 양념을 따로 주셔서 또 다양하게 즐길 수 있어요.  백김치도 아삭하고 너무 맛있어요. 요즘은 밀키트로도 판매하시더라구요.매장 분위기도 깔끔하고 넓은 편이에요. 주차는 건물 바로 뒤에 하시면 됩니다.#다시먹어봄\n        '], ['맛있다', '\n          [깔끔한 맛의 숭채만두전골]근처에 사쿠라멘 먹으러갔다가 문닫는시간이 이른줄 몰라서 뭘 먹을까 해메이다가 초이스한 만두전골. 근처에 만두전골집이 하나 더 있는데, 내부가 깔끔해 보여서 초이스했어요. 근데 왠걸 깨끗한 내부도 내부지만 배추로 돌돌만 숭채만두가 너무 깔끔하고 맛있어서 아주 대만족이었어요.포장도 되서 나중에 시댁이나 친정에 사가면 매우 좋겠다싶을만큼 배추로 곱게 싼 숭채만두 비주얼이 참 좋았어요. 게다가 반찬으로 나온 동치미가 아주 깔끔하니 좋았고, 만두에 찍어먹는 소스도 칠리,간장으로 두가지가 있어 취향것 좋았습니다. 기본전골은 13,900원육계만두전골은 14,900원저희는 특제 소스가 들어간 육계만두전골로 했는데 나중에 기본전골도 먹어보러 재방문의사 있습니다. \n        '], ['맛있다', '\n          만두전골로 든든하게 배 채우고 싶으면 여기죠! 커플 세트를 주문하면 전골과 튀김만두, 음료수, 칼국수면까지 나오는데 만두 양이 어마어마해서 다 먹기 전에 배가 불러요 ㅎㅎ 처음엔 슴슴한 육수의 전골을 즐기다가 따로 주시는 양념과 고사리를 추가하면 육개장 같은 칼칼한 맛도 볼 수 있어요. 만두 속은 같은것 같은데 피를 여러가지를 사용하셔서 보기에도 좋고 맛도 다양해서 좋아요.  튀김만두는 비주얼 그대로 정말 바삭해요. 전체적으로 간이 세지 않아서 아기들이 먹기에도 좋을 것 같아요. 건물 바로 뒤에 주차장이 있는데 약 6대 정도 들어갈 수 있을 것 같아요. 자리가 없으면 근처 빕스 무료주차장을 사용하면 된다고 하네요. \n        ']]",[],"
탕 / 찌개 / 전골
",만원-2만원,11:00 - 22:00,없음,의정부시
5,삼화반점,경기도 의정부시 의정부동 378-10,0.0,3050.0,2.0,"[['괜찮다', '\n          노포집지인이 어릴적 와봤던 추억의 곳이라 같이 가봄개인적으로 노포집 취향은 아님청결이나 등등의 이유로 ~ 친절하시고 그랬으나 역시 청결부터가 나랑은 안맞는 느낌 맛은 나는 와! 맛있다 느낌 아니였음 그냥 괜찮다 정도였음 가격이 엄청 저렴한 중국집이였다지인은 추억 먹느라 그래도 나보다 맛있었던듯 나는 짜장면은 기본적으로 의정부에선 오형제 손짜장이 제일 맛나는것 같음 그거 먹고 다른거가 맛있다 느낀적이 별로 없는듯 거기 짜장 소스랑 해산물이랑이 가장 맛있다여기는 고기가 조금씩 섞여 있는데 나는 또 그게 맛이 없었네여튼 재방문 의사는 없음 이다 \n        '], ['맛있다', '\n          #경기 #의정부 #삼화반점""절제된 맛의 조화와 구수한 장맛의 멋진 간짜장 한 그릇""1. 의정부에도 짜장면을 맛있게하는 노포 중국집들이 꽤 여럿이 있다. 본인도 몇 군데 찜콩해둔 곳들이 있는데, 그 중 하나인 <삼화반점>에서 유명한 간짜장을 경험해 봤다.업력을 여쭤보니 현재 자리에서 89년 부터 시작하셨단다.  올 해로 33년째다. 잘은 모르지만 그 전부터 영업을 하셨다면 40년 가까이 된 옛날식 중국요리를 맛볼 수 있는 곳으로 볼 수 있다.2. 테이블 6개 정도의 작은 중국집인데, 허리 살짝 굽으신 사부께서 연신 웍질을 하시고 어머니가 보조를 하시는 것 같다.홀은 친절하고 싹싹한 아드님이 맡아 운영을 하시는 전형적인 가족 중식의 식당이다.주위에 아파트 재개발이 한 참 진행중이라 점심에는 공사에 참여하시는 분들이 가득하다.(계속 이렇게 손님이 많으셨으면 좋겠다)3. 간짜장을 부탁드리고 기다리니 주방에서는 연식 웍질하는 소리가 가득하다.볶음밥과 간짜장이 가장 유명하다는 것을 대부분의 손님들이 아시는지 간짜장과 볶음밥 주문이 대부분이라 주방 웍질 소리는 식사 내내 멈추질 않는다.4. 간짜장 잘하는 노포 답게 비주얼은 본인 스타일과 거의 부합할 정도로 완벽하다.잘게 칼질한 양파가 희끝하게 보이고 장의 색은 진한 검은색이다. 면은 순백에 가까울 정도로 하얀색을 유지하고 있으니 간짜장 메니아라면 기분부터 좋아지는 비주얼이다.5. 양파, 양배추, 아주 잘게 칼질한 주키니호박, 돼지고기, 그리고 <대파>가 들어간다.대파가 들어간 간짜장에 대한 기억이 없는 걸 보니 아마도 이집이 본인이 경험한 대파가 들어가는 첫 간짜장인가보다.거무죽죽하고 완벽한 점도를 가진 장은 냄새가 참 구수하다.살짝 물기가 있긴 하지만 오히려 면과 융화가 잘 되게 하는 매개체가 된다.6. 맛은 기가막히다.노포답게 단맛과 조미료는 절제가 확실하고 과하지 않은 수준에서 맛을 돋군다.이집은 장맛이 튀는 간짜장이다. 샤프한 춘장맛이 잘 표현이 되었지만 그 속에서 된장 같은 구수함이 스멀스멀 피어오른다.다른 곳과는 다른 구수함이라 아주 맛있게 먹었다.7. 면빨도 참 좋다.순백의 면이라 부드러울 것이라는 예상과는 달리, 삶기를 잘 조절하셔서 면빨이 너무 무르지 않고 쫀득함을 잘 갖추었다.꽤 진한 장맛과 잘 어울리는 면빨이다.8. 온도감도 참 좋다. 이날은 간짜장 비주얼의 황홀경에 빠져 꽤 사진을 이리저리 많이 찍었음에도 뜨거운 온기가 여전히 남아있다.짜장면이라는 음식의 온도감이 중요하다는 것을 아시는 짜장면 고수시라면 참 맘에 들어하실 곳이다.9. 이집도 사부께서 꽤 연세가 있으신 것 같다.아드님이 주방을 배우시는 것 같지가 않아 맛있는 간짜장을 먹은 기쁨과 함께 이집이 사라지면 어쩌나... 하는 걱정의 마음도 생기는 식사였다.사부, 사모님 건강 잘 유지하셔서 오래 맛볼 수 있으면 좋겠다.PS: 덤으로 삶은 계란 반쪽을 주시니 참 정겨다. 단면도 7-80년대 유행하던 물결무늬 칼로 물결컷!!! ㅎㅎPS2: 가게에선 해물덮밥을 밀고계신다. 아마도 잡탕밥 스타일일 듯 한데 기회 되면 먹고싶은 메뉴. #동네식당응원프로젝트#먹어서응원\n        ']]",[],"
정통 중식 / 일반 중식
",만원 미만,없음,없음,의정부시
6,더치480,경기도 의정부시 의정부동 378-3,0.0,6125.0,6.0,"[['맛있다', '\n           처음 맛 본 큐브라떼. 여기 더치480의 시그니처 메뉴라던데. 무심코 맛 본 첫 맛부터 날 사로잡았다. 은은하며. 적당한 단맛이 감도는게 무척이나 매력있는 음료다. 여기에 궁궐같은 커다란 카페 안. 아름다운 뷰도. 조용한 분위기도. 널찍한 공간도. 무엇보다 스타벅스 만큼이나. 카페 안에서 간단한 업무를 보기 가장 완벽한 구조로 설계된 공간이다. 별 생각없이 앉아. 노트북을 켰다가. 우리집보다 더 편히 앉아 쉬다 갔다 개성있고 깊이있는 음료 맛도 좋았고. 앉아있어도 피로감이 들지 않는 카페도 오랜만이었다. 내 머릿 속 의정부하면 가장 먼저 떠오를 카페로 기억에 남았다.\n        ']]",[],"
카페 / 디저트
",만원 미만,11:00 - 23:00,없음,의정부시
7,조금느린집,경기도 의정부시 호원동 431-1 1F,0.0,3169.0,6.0,"[['맛있다', '\n          여기는 라떼가 찐 맛있어요! 라떼가 특히 맛이 좋아서 아이스로도 먹고 핫으로도 먹고동네 카페라서 동네 사람들이 자주 찾는 집이에요디카페인도 맛있는집 잘 없는데 디카페인도 맛있구요디저트를 판매하지 않아서 밖에서 먹을거 사와서 먹겠다고 말씀드리면 허락해주신답니당 크그리고 여긴 야외자리가 핵꿀이에요~ 뷰가 뷰가~ 여름 봄 가을 겨울 다 좋아요 야외자리 뷰가 진짜 좋거든요 특히 봄에 벚꽃 피었을때 말해모해요~ 커피 맛있으니 맛있는 디저트 사오셔서 밖에 미세먼지 없고 날씨 좋을때 오셔서 라떼드세요 길거리 지나가는 동네 강아지 구경도 쉽구요양옆에 치킨집이 있어서 배고프면 양옆 치킨집으로 이동하시면 됩니당 크크 \n        '], ['맛있다', '\n          여기 라떼 ~~~ 최고겨울엔 핫라떼여름엔 아이스라떼게다가 테라스 쪽에 큰 나무 있고 중랑천 보여서 사계절이 온전히 느껴지는 곳 가을 쯤 주중 오전이나 낮에 앉아서 라떼 한잔하면 크으~~ 동네 사랑방이라 주말엔 시끌 전에 주인이 로스팅한 디카페인 라떼 맛났는데어느날 너무 맛이 안좋아서 원두 바뀌엇냐니깐 매번 사장이 로스팅하다가 이번엔 알바가 로스팅했다고 흠... 웬만하면 로스팅은 사장님이... 그리구 오후 4시 이후로 카페인이 불면증 불어오는 나같은 사람도 맛있는 라떼 먹어야죠\n        '], ['맛있다', '\n          커피를 좋아하진 않지만 책읽고싶을때 가는 분위기 좋은카페\n        ']]","[['아메리카노', '3,500원']]","
카페 / 디저트
",만원 미만,10:00 - 23:00,월,의정부시
8,만자레,경기도 의정부시 호원동 431-3 1F,0.0,1949.0,4.0,"[['맛있다', '\n          개인적으로 이태리식 보다 미국식을 선호하지만 이태리식의 매력은 확실히 느껴진다 자극적이지 않고 토마토의 수분감 때문에 식어도 퍽퍽함이 훨씬 덜하며 치즈의 담백함도 더 잘 느낄수있었다. 무엇보다 다이어트 중인데 죄책감이 훨씬 덜 느껴서서 생맥 두 잔 시킬수있었던게 큰 장점..ㅋㅋ 처음이라 마르게리타먹었는데 재방문해서 다른 피자도 먹어봐야겠다 \n        '], ['맛있다', '\n          너무 맛있는 것들 천지입니다,, 육즙이라고 표현하기엔 고기가 없고 수분감이 맞을까요? 그 치즈에서 흘러나오는 즙이 너무 가득해서 마치 수제버거를 먹는 듯 합니다. 동시에 느끼하지도 않게 느껴집니다. 전 그런 느낌을 좋아해서요:) 벽 한 켠에 적혀있던 셰프님의 경력을 보고 고개를 끄덕이게 되었고 재방문은 ing~ 계속 들르고 있어요 포장도 되지만 화덕피자는 포장이 좀 아쉽네요 ㅠㅠ 꼭 가서드세요 날도 좋은 지금 같은 때에~:)\n        '], ['맛있다', '\n          의정부 회룡역쪽에 있는 핏제리아 만자레. 화덕피자 전문이고 블로그에 꽤 호평들이 있기도 하고 모양을 봐도 괜찮은 것 같아서 가봤다. 쉐프님이 키친 살바토레 쿠오모에서 오래 일한 경력이 있다고 하니 적어도 실패할 일은 없을 것 같았다.파스타도 피자도 대부분 만원 초중반에 가격대가 형성되어 있는 지역 친화적인 가격대다. 예약해야 주문 가능한 티본의 가격이 600g에 66000원으로 정망 저렴한 편.살라미 피자를 먹어봤는데 올려진 재료만 봐도 약간은 동네 친화적으로 바꾸신듯 ㅠ 외국에선 캔옥수수 피자에 올리는거 극혐한다는걸로 알고있었는데 내가 잘 못 알았던걸까? 찰지고 가벼운 맛이 마쁘지 않았지만 좀더 현지 스타일이면 좋았을 듯. 요리류는 먹진 않았지만 좀 생소한 메뉴도 있던걸 보면 그쪽으로 기대해보는게 좋을 수도 있겠다.\n        ']]",[],"
이탈리안
",만원-2만원,11:30 - 22:00,월,의정부시
9,이순례김치만두,경기도 의정부시 호원동 317-17,0.0,2461.0,1.0,"[['맛있다', '\n          의정부 시청 근처에서 칼국수집을 하다가. 최근 호원동으로 이사해 만두만 팔고 있는 집이다. 원래 알고 있던 곳은 아니고. 검색하다 맛있어 보이길래 찾았다. 현재는 포장 만두만 판매 중. 직접 조리해 먹어야 되는 생만두(10알)와 조리된 찐만두(8알) 딱 두 메뉴뿐이다. 원래는 찐만두를 포장하려 했는데. 주문과 동시 10분 이상 소요된다는 이야기를 듣고 생만두로 포장했다.주인아주머니가 되도록 찜기에 해먹는 게 최고라고. 근데 쪄 먹으려면 안 쓰는 도구를 꺼내야 해서 귀찮다. 쉽게 쉽게 5알은 끓는 물에 넣어 찐만두로. 5알은 기름에 튀겨 군만두로 만들었다. 설명서는 찐만두로 해먹는 게 가장 맛있다지만 실상은 군만두가 최고다. 피도 두껍지 않고 보드라운 편이라 군만두로도 무척 어울린다. 게다가 조리시간도 짧아 간단하기까지. 맛있게 먹었다.만두는 오로지 김치만두다. 적당히 매콤하고. 김치의 신맛 보다 고기와 야채들의 달고 고소한 맛의 비중을 크게 해 빚었다. 취향을 크게 타지 않을 맛이다. 스탠다드인 찐만두도 괜찮았지만. 아까의 군만두나 뜨뜻한 국물에 빠트려 탕처럼 조리한다면 훨씬 어울렸을 것 같다. 집에서 찌개나 탕에 만두가 필요할 때 재워두고 하나씩 넣어 먹기 참 좋을 만두다.\n        ']]",[],"
한정식 / 백반 / 정통 한식
",만원 미만,없음,없음,의정부시
